,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1348601,13486,1,101,-1,0,-1,0,101,0,0,1
,1348602,13486,2,301,301,0,-1,0,101,0,0,1
,1348603,13486,3,201,301,0,-1,0,201,100213,0,1
,1348604,13486,4,301,301,0,-1,0,-1,0,0,1
,1348605,13486,5,301,301,0,-1,0,-1,0,0,1
,1348606,13486,6,301,301,0,-1,0,-1,0,0,1
,1348607,13486,7,101,301,0,-1,0,101,0,0,1
,1348608,13486,8,201,301,0,-1,0,201,100213,0,1
,1348609,13486,9,301,301,0,-1,0,-1,0,0,1
,1348701,13487,1,3005,-1,0,-1,0,3005,0,0,1
,1348702,13487,2,301,301,0,-1,0,3005,0,0,1
,1348801,13488,1,301,301,0,-1,0,-1,0,0,1
,1348802,13488,2,3042,301,0,-1,0,3042,0,0,1
,1348803,13488,3,301,301,0,-1,0,3042,0,0,1
,1348804,13488,4,3042,301,0,-1,0,3042,0,0,1
,1348901,13489,1,301,301,0,-1,0,-1,0,0,1
,1348902,13489,2,3080,301,0,-1,0,3080,202002,0,1
,1348903,13489,3,301,301,0,-1,0,3080,202002,0,1
,1349001,13490,1,301,301,0,-1,0,-1,0,0,1
,1349002,13490,2,3043,301,0,-1,0,3043,0,0,1
,1349003,13490,3,301,301,0,-1,0,3043,0,0,1
,1349004,13490,4,3043,301,0,-1,0,3043,0,0,1
,1349005,13490,5,301,301,100306,-1,0,3043,0,0,1
,1349101,13491,1,301,301,0,-1,0,-1,0,0,1
,1349102,13491,2,301,301,0,-1,0,-1,0,0,1
,1349201,13492,1,301,301,0,-1,0,-1,0,0,1
,1349202,13492,2,3042,301,0,-1,0,3042,0,0,1
,1349203,13492,3,3042,301,0,-1,0,3042,0,0,1
,1349204,13492,4,3042,301,0,-1,0,3042,0,0,1
,1349205,13492,5,301,301,0,-1,0,3042,0,0,1
,1349206,13492,6,3042,301,0,-1,0,3042,0,0,1
,1349207,13492,7,3184,-1,0,-1,0,3184,0,0,1
,1349208,13492,8,101,101,0,-1,0,3184,0,0,1
,1349301,13493,1,3184,-1,0,-1,0,3184,0,0,1
,1349302,13493,2,101,101,100103,-1,0,3184,0,0,1
,1349303,13493,3,3042,-1,0,-1,0,3042,0,0,1
,1349304,13493,4,3042,-1,0,-1,0,3042,0,0,1
,1349305,13493,5,301,301,0,-1,0,3042,0,0,1
,1349401,13494,1,-1,-1,0,-1,0,-1,0,0,1
,1350001,13500,1,3005,-1,0,-1,0,3005,0,0,1
,1350002,13500,2,3005,-1,0,-1,0,3005,0,0,1
,1350003,13500,3,3005,-1,0,-1,0,3005,0,0,1
,1350004,13500,4,3005,-1,0,-1,0,3005,0,0,1
,1350201,13502,1,301,301,0,-1,0,-1,0,0,1
