,required,required,required,required
,uint32,uint32,uint32,uint32
,id,monster_id,status_id,team
备注,任务id,核心怪物id,特性id,分组
,60357,1001701,1011,1
,60358,1001702,1021,1
,60359,1001703,1031,1
,60360,1001704,1041,1
,60362,1001706,1011,1
,60363,1001707,1021,1
,60364,1001708,1031,1
,60365,1001709,1041,1
,60367,1001711,1011,1
,60368,1001712,1021,1
,60369,1001713,1031,1
,60370,1001714,1041,1
,60372,1001716,1011,1
,60373,1001717,1021,1
,60374,1001718,1031,1
,60375,1001719,1041,1
,60377,1001721,1011,1
,60378,1001722,1021,1
,60379,1001723,1031,1
,60380,1001724,1041,1
,60382,1001726,1011,1
,60383,1001727,1021,1
,60384,1001728,1031,1
,60385,1001729,1041,1
,60387,1001731,1011,1
,60388,1001732,1021,1
,60389,1001733,1031,1
,60390,1001734,1041,1
,60392,1001736,1011,1
,60393,1001737,1021,1
,60394,1001738,1031,1
,60395,1001739,1041,1
,60397,1001741,1011,1
,60398,1001742,1021,1
,60399,1001743,1031,1
,60400,1001744,1041,1
,60402,1001746,1011,1
,60403,1001747,1021,1
,60404,1001748,1031,1
,60405,1001749,1041,1
