,required,required,required,required,repeated,repeated,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string,string,string,string
,id,hard,clew,boss_id,status1,status2,site1,site2,site3,site4
备注,副本id,副本难度,线索标记,怪物id,特性组1, 特性组2,小怪3个坐标,小怪3个坐标,小怪3个坐标,小怪3个坐标
,3163,0,0,200864,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3164,0,0,200869,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3165,0,0,200874,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3166,0,0,200879,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3167,0,0,200884,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3168,0,0,200889,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3169,0,0,200894,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3170,0,0,200899,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3171,0,0,200904,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3172,0,0,200909,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
