,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,21279,3163,"6,6,6",0,1,荒漠异蝎,0,0,1,10027,0,,
,21280,3163,"6,6,6",0,1,雾夜女巫,0,0,1,10054,0,,
,21281,3163,"6,6,6",0,1,幽冥鬼煞,0,0,1,9002,0,,
,21282,3163,"6,6,6",0,1,魅影幻像,0,0,1,10057,0,,
,21283,3163,"10,10,10",0,1,极渊领主,0,0,1,9003,0,,
,21284,3163,"0,0,0",0,1,荒漠异蝎,0,0,1,10027,0,,
,21285,3163,"0,0,0",0,1,雾夜女巫,0,0,1,10054,0,,
,21286,3163,"0,0,0",0,1,幽冥鬼煞,0,0,1,9002,0,,
,21287,3163,"0,0,0",0,1,魅影幻像,0,0,1,10057,0,,
,21288,3164,"6,6,6",0,1,荒漠异蝎,0,0,1,10027,0,,
,21289,3164,"6,6,6",0,1,雾夜女巫,0,0,1,10054,0,,
,21290,3164,"6,6,6",0,1,幽冥鬼煞,0,0,1,9002,0,,
,21291,3164,"6,6,6",0,1,魅影幻像,0,0,1,10057,0,,
,21292,3164,"10,10,10",0,1,极渊领主,0,0,1,9003,0,,
,21293,3164,"0,0,0",0,1,荒漠异蝎,0,0,1,10027,0,,
,21294,3164,"0,0,0",0,1,雾夜女巫,0,0,1,10054,0,,
,21295,3164,"0,0,0",0,1,幽冥鬼煞,0,0,1,9002,0,,
,21296,3164,"0,0,0",0,1,魅影幻像,0,0,1,10057,0,,
,21297,3165,"6,6,6",0,1,荒漠异蝎,0,0,1,10027,0,,
,21298,3165,"6,6,6",0,1,雾夜女巫,0,0,1,10054,0,,
,21299,3165,"6,6,6",0,1,幽冥鬼煞,0,0,1,9002,0,,
,21300,3165,"6,6,6",0,1,魅影幻像,0,0,1,10057,0,,
,21301,3165,"10,10,10",0,1,极渊领主,0,0,1,9003,0,,
,21302,3165,"0,0,0",0,1,荒漠异蝎,0,0,1,10027,0,,
,21303,3165,"0,0,0",0,1,雾夜女巫,0,0,1,10054,0,,
,21304,3165,"0,0,0",0,1,幽冥鬼煞,0,0,1,9002,0,,
,21305,3165,"0,0,0",0,1,魅影幻像,0,0,1,10057,0,,
,21306,3166,"6,6,6",0,1,荒漠异蝎,0,0,1,10027,0,,
,21307,3166,"6,6,6",0,1,雾夜女巫,0,0,1,10054,0,,
,21308,3166,"6,6,6",0,1,幽冥鬼煞,0,0,1,9002,0,,
