,required,optional,optional,optional,repeated,optional,optional,repeated,optional,optional
,uint32,string,string,string,uint32,uint32,uint32,uint32,int32,int32
,id,effectPath,iconPath,defaultAnim,talk_ids,talk_time,talk_wait_time,dialog_ids,trap_stay,is_turn
备注,npcGroupID,魔法阵路径,显示图标,默认动作,气泡id组,气泡显示时长,等待时间,对话id组,0 陷阱触发方式不变 1 陷阱停留触发,是否对话时进行转向，1不可转向
,21279,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21280,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21281,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21282,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21283,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21288,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21289,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21290,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21291,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21292,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21297,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21298,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21299,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21300,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21301,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21306,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21307,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21308,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21309,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21310,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21315,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21316,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21317,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21318,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21319,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21324,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21325,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21326,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21327,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21328,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21333,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21334,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21335,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21336,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,21337,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
