,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时
,60357,0,7,0,0,0,3,1 3163 21279,1,,2,0,0,0,0,0,0,0,0
,60358,0,7,0,0,0,3,1 3163 21280,1,,2,0,0,0,0,0,0,0,0
,60359,0,7,0,0,0,3,1 3163 21281,1,,2,0,0,0,0,0,0,0,0
,60360,0,7,0,0,0,3,1 3163 21282,1,,2,0,0,0,0,0,0,0,0
,60361,0,7,0,0,0,3,1 3163 21283,1,,2,0,0,0,0,0,0,0,0
,60362,0,7,0,0,0,3,1 3164 21288,1,,2,0,0,0,0,0,0,0,0
,60363,0,7,0,0,0,3,1 3164 21289,1,,2,0,0,0,0,0,0,0,0
,60364,0,7,0,0,0,3,1 3164 21290,1,,2,0,0,0,0,0,0,0,0
,60365,0,7,0,0,0,3,1 3164 21291,1,,2,0,0,0,0,0,0,0,0
,60366,0,7,0,0,0,3,1 3164 21292,1,,2,0,0,0,0,0,0,0,0
,60367,0,7,0,0,0,3,1 3165 21297,1,,2,0,0,0,0,0,0,0,0
,60368,0,7,0,0,0,3,1 3165 21298,1,,2,0,0,0,0,0,0,0,0
,60369,0,7,0,0,0,3,1 3165 21299,1,,2,0,0,0,0,0,0,0,0
,60370,0,7,0,0,0,3,1 3165 21300,1,,2,0,0,0,0,0,0,0,0
,60371,0,7,0,0,0,3,1 3165 21301,1,,2,0,0,0,0,0,0,0,0
,60372,0,7,0,0,0,3,1 3166 21306,1,,2,0,0,0,0,0,0,0,0
,60373,0,7,0,0,0,3,1 3166 21307,1,,2,0,0,0,0,0,0,0,0
,60374,0,7,0,0,0,3,1 3166 21308,1,,2,0,0,0,0,0,0,0,0
,60375,0,7,0,0,0,3,1 3166 21309,1,,2,0,0,0,0,0,0,0,0
,60376,0,7,0,0,0,3,1 3166 21310,1,,2,0,0,0,0,0,0,0,0
,60377,0,7,0,0,0,3,1 3167 21315,1,,2,0,0,0,0,0,0,0,0
,60378,0,7,0,0,0,3,1 3167 21316,1,,2,0,0,0,0,0,0,0,0
,60379,0,7,0,0,0,3,1 3167 21317,1,,2,0,0,0,0,0,0,0,0
,60380,0,7,0,0,0,3,1 3167 21318,1,,2,0,0,0,0,0,0,0,0
,60381,0,7,0,0,0,3,1 3167 21319,1,,2,0,0,0,0,0,0,0,0
,60382,0,7,0,0,0,3,1 3168 21324,1,,2,0,0,0,0,0,0,0,0
,60383,0,7,0,0,0,3,1 3168 21325,1,,2,0,0,0,0,0,0,0,0
,60384,0,7,0,0,0,3,1 3168 21326,1,,2,0,0,0,0,0,0,0,0
,60385,0,7,0,0,0,3,1 3168 21327,1,,2,0,0,0,0,0,0,0,0
,60386,0,7,0,0,0,3,1 3168 21328,1,,2,0,0,0,0,0,0,0,0
,60387,0,7,0,0,0,3,1 3169 21333,1,,2,0,0,0,0,0,0,0,0
,60388,0,7,0,0,0,3,1 3169 21334,1,,2,0,0,0,0,0,0,0,0
,60389,0,7,0,0,0,3,1 3169 21335,1,,2,0,0,0,0,0,0,0,0
,60390,0,7,0,0,0,3,1 3169 21336,1,,2,0,0,0,0,0,0,0,0
,60391,0,7,0,0,0,3,1 3169 21337,1,,2,0,0,0,0,0,0,0,0
,60392,0,7,0,0,0,3,1 3170 21342,1,,2,0,0,0,0,0,0,0,0
,60393,0,7,0,0,0,3,1 3170 21343,1,,2,0,0,0,0,0,0,0,0
,60394,0,7,0,0,0,3,1 3170 21344,1,,2,0,0,0,0,0,0,0,0
,60395,0,7,0,0,0,3,1 3170 21345,1,,2,0,0,0,0,0,0,0,0
,60396,0,7,0,0,0,3,1 3170 21346,1,,2,0,0,0,0,0,0,0,0
,60397,0,7,0,0,0,3,1 3171 21351,1,,2,0,0,0,0,0,0,0,0
,60398,0,7,0,0,0,3,1 3171 21352,1,,2,0,0,0,0,0,0,0,0
,60399,0,7,0,0,0,3,1 3171 21353,1,,2,0,0,0,0,0,0,0,0
,60400,0,7,0,0,0,3,1 3171 21354,1,,2,0,0,0,0,0,0,0,0
,60401,0,7,0,0,0,3,1 3171 21355,1,,2,0,0,0,0,0,0,0,0
,60402,0,7,0,0,0,3,1 3172 21360,1,,2,0,0,0,0,0,0,0,0
,60403,0,7,0,0,0,3,1 3172 21361,1,,2,0,0,0,0,0,0,0,0
,60404,0,7,0,0,0,3,1 3172 21362,1,,2,0,0,0,0,0,0,0,0
,60405,0,7,0,0,0,3,1 3172 21363,1,,2,0,0,0,0,0,0,0,0
,60406,0,7,0,0,0,3,1 3172 21364,1,,2,0,0,0,0,0,0,0,0
