,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,int64,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,life,phy_atk,mgc_atk,phy_def,mgc_def,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,hit_rate,dodge_rate,critical_rate,critical_dmg,critical_def,parry_rate,parry_def,hitbreak_rate,hitback_xp,dmg_add,dmg_cut,ice_atk,fire_atk,dark_atk,light_atk,ice_def,fire_def,light_def,dark_def
备注,属性id,生命值,物理攻击,魔法攻击,物理防御,魔法防御,生命加成,物攻加成,魔攻加成,物防加成,魔防加成,命中率,闪避率,暴击率,暴击伤害,抗爆率,格挡率,格挡减伤,破击率,受击回复xp,伤害加成,伤害减免,冰元素伤害,火元素伤害,暗元素伤害,光元素伤害,冰元素抗性,火元素抗性,光元素抗性,暗元素抗性
,1001701,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001702,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001703,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001704,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001705,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001706,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001707,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001708,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001709,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001710,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001711,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001712,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001713,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001714,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001715,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001716,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001717,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001718,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001719,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001720,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001721,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001722,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001723,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001724,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001725,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001726,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001727,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001728,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001729,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001730,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001731,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001732,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001733,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001734,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001735,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001736,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001737,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001738,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001739,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001740,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001741,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001742,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001743,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001744,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001745,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001746,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001747,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001748,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001749,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
,1001750,10000,1000,1000,400,400,0,0,0,0,0,10000,0,0,5000,10000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
