,required,required,required
,uint32,uint32,uint32
,id,lookface,hint_vis
备注,怪物ID,模型ID,0不可见1可
,1001701,10027,1
,1001702,10054,1
,1001703,9002,1
,1001704,10057,1
,1001705,9003,1
,1001706,10027,1
,1001707,10054,1
,1001708,9002,1
,1001709,10057,1
,1001710,9003,1
,1001711,10027,1
,1001712,10054,1
,1001713,9002,1
,1001714,10057,1
,1001715,9003,1
,1001716,10027,1
,1001717,10054,1
,1001718,9002,1
,1001719,10057,1
,1001720,9003,1
,1001721,10027,1
,1001722,10054,1
,1001723,9002,1
,1001724,10057,1
,1001725,9003,1
,1001726,10027,1
,1001727,10054,1
,1001728,9002,1
,1001729,10057,1
,1001730,9003,1
,1001731,10027,1
,1001732,10054,1
,1001733,9002,1
,1001734,10057,1
,1001735,9003,1
,1001736,10027,1
,1001737,10054,1
,1001738,9002,1
,1001739,10057,1
,1001740,9003,1
,1001741,10027,1
,1001742,10054,1
,1001743,9002,1
,1001744,10057,1
,1001745,9003,1
,1001746,10027,1
,1001747,10054,1
,1001748,9002,1
,1001749,10057,1
,1001750,9003,1
