,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,string,float,float,float,uint32,uint32,float,uint32,uint32,string
,id,levelId,pathId,position,rotation,safePos,patrolSpeed,fightDistance,triggerDistance,triggerAngle,noColor,attack_radius,patrolMinStayTime,patrolMaxStayTime,paths
备注,id,场景ID,路径ID,坐标,角度,英雄安全点,巡逻速度,战斗距离,触发距离,触发角度,视野颜色0可见1不可见,偷袭距离,巡逻最小停留时间,巡逻最大停留时间,路径
,3097001,3097,1,"-14.95414,0.08621788,7.085532","0,0,0","-1.114143,0.08621788,1.185532",1,3,0,360,0,3,500,2000,
,3097002,3097,2,"-8.87,0.08622169,16.73","0,0,0","-1.14,0.08621788,1.16",1,3,0,360,0,3,500,2000,
,3098001,3098,1,"-223.285,-21.08,-30.982","0,0,0","-234.4,-21,-49.3",0.5,7,7,80,0,1.8,500,2000,"-211.619,-21.08,-29.434;-193.777,-21.08,-29.413;"
,3098002,3098,2,"-170.96,-21.08,-24.256","0,0,0","-234.4,-21,-49.3",0.5,7,7,80,0,1.8,500,2000,"-170.87,-21.08,-11;-171.029,-21.08,-26.183;"
,3098003,3098,3,"-158.102,-21.08,5.022","0,0,1.39","-179.607,-21.08,5.787",0.5,7,7,80,0,1.8,500,2000,"-160.019,-21.08,4.932;-143.776,-20.958,4.357;-139.357,-20.945,-12.063;"
,3098004,3098,4,"-170,-21,4","0,180,0","-234.4,-21,-49.3",1.2,7,7,360,0,1.8,100,300,
,3098005,3098,5,"-138.715,-21.08,-28.213","0,0,0","-234.4,-21,-49.3",0.5,5,5,360,0,1.8,500,2000,
,3098006,3098,6,"-142.276,-21.08,-33.158","0,0,0","-150.181,-21.08,-25.423",0.5,5,5,360,0,1.8,500,2000,
,3098007,3098,7,"-134.956,-21.08,-33.059","0,0,0","-149.066,-21.08,-25.324",0.5,5,5,360,0,1.8,500,2000,
,3098008,3098,8,"-233.868,-21.08,-30.092","0,0,0","-234.4,-21,-49.3",0.5,7,7,360,0,1.8,500,2000,
,3098009,3098,9,"-170.89,-21.25,18.928","0,0,0","-179.773,-21.25,5.625",0.5,7,7,80,0,1.8,500,2000,"-170.948,-21.25,19.276;-170.956,-21.25,39.551;"
,3098010,3098,10,"-173.517,-21.25,13.056","0,180,0","-179.645,-21.25,5.729",1,7,7,45,0,1.8,500,2000,
,3098011,3098,11,"-167.596,-21.25,13.056","0,180,0","-179.645,-21.25,5.729",1,7,7,45,0,1.8,500,2000,
,3098018,3098,18,"-268.37,-21.13,-29.24","0.00,82.11,0.00","-234.54,-21.17,-58.58",0.5,7,7,360,0,1.8,500,2000,
,3098019,3098,19,"-302.49,-21.17,-28.05","0.00,99.28,0.00","-234.54,-21.17,-58.59",0.5,7,7,360,0,1.8,500,2000,
,3098020,3098,20,"-302.54,-21.17,6.47","0.00,180.00,0.00","-234.54,-21.17,-58.60",0.5,7,7,360,0,1.8,500,2000,
,3098021,3098,21,"-303.10,-21.17,63.50","0.00,180.00,0.00","-303.08,-21.17,46.40",0.5,7,7,360,0,1.8,500,2000,
,3098022,3098,22,"-234.66,-21.17,2.57","0.00,180.00,0.00","-234.54,-21.17,-58.62",0.5,7,7,360,0,1.8,500,2000,
,3098023,3098,23,"-235.65,-21.17,29.00","0.00,184.09,0.00","-234.54,-21.17,-58.63",0.5,7,7,360,0,1.8,500,2000,
,3098024,3098,24,"-235.84,-21.17,50.36","0.00,180.00,0.00","-232.11,-21.17,40.70",0.5,7,7,360,0,1.8,500,2000,
,3098025,3098,25,"-236.27,-12.67,90.87","0.00,180.00,0.00","-232.11,-21.17,40.70",0.5,7,7,360,0,1.8,500,2000,
,3098026,3098,26,"-202.21,-21.17,-29.01 ","0.00,271.07,0.00","-234.54,-21.17,-58.66",0.5,7,7,360,0,1.8,500,2000,
,3098027,3098,27,"-169.85,-21.17,4.62 ","0.00,180.00,0.00","-234.54,-21.17,-58.67",0.5,7,7,360,0,1.8,500,2000,
,3098028,3098,28,"-140.14,-21.25,-9.55","0.00,340.00,0.00","-151.11,-21.11,4.84",0.5,7,7,360,0,1.8,500,2000,
,3098029,3098,29,"-137.9,-21.25,-31.34","0,319.09,0","-150.177,-21.11,-25.57064",0.5,7,7,360,0,1.8,500,2000,
,3098030,3098,30,"-233.85,-21.17,-29.60","0.00,180.00,0.00","-234.54,-21.17,-58.70",0.5,7,7,360,0,1.8,500,2000,
,3098031,3098,31,"-234.48,-21,-36.76","0,180,0","-234.4,-21,-49.3",0.5,7,7,360,0,1.8,500,2000,
,3098032,3098,32,"-138.715,-21.08,-28.213","0,0,0","-139.39,-21.25,-9.81",0.5,5,5,360,0,1.8,500,2000,
,3098033,3098,33,"-234.35,-21.16,-57.98","0,139,0","-234.65,-21.17,-64.25",0.5,5,5,80,0,1.8,500,2000,"-236.28,-21.16,-52.31;-233.29,-21.16,-44.48;-236.28,-21.16,-52.31;-234.35,-21.16,-57.98"
,3098034,3098,34,"-240.68,-21.16,-26.06","0,90,0","-234.65,-21.17,-64.25",0.5,5,5,80,0,1.8,500,2000,"-242.93,-21.16,-31.98;-236.38,-21.16,-36.19;-242.93,-21.16,-31.98;-240.68,-21.16,-26.06"
,3098035,3098,35,"-231.34,-21.16,-25.99","0,-105,0","-234.65,-21.17,-64.25",0.5,5,5,80,0,1.8,500,2000,"-225.88,-21.16,-31.79;-230.60,-21.16,-35.67;-225.88,-21.16,-31.79;-231.34,-21.16,-25.99"
,3098036,3098,36,"-303.45,-21.25,-12.3","0,108,0","-280.4861,-21.25,-29.2246",0.5,5,5,80,0,1.8,500,2000,"-303.468,-21.258,-13.258;-303.451,-21.258,-25.399;-298.281,-21.258,-29.378;-289.679,-21.266,-29.442;"
,3098037,3098,37,"-303.7,-21.25,10.9","0,180,0","-280.486,-21.25,-29.241",0.5,5,5,80,0,1.8,500,2000,"-303.77,-21.258,9.748;-303.77,-21.258,-8.923;"
,3098038,3098,38,"-303.4,-21.25,23.6","0,180,0","-280.487,-21.25,-29.245",0,7,7,360,0,0,500,2000,
,3098039,3098,39,"-239.93,-21.17,42.9","0,180,0","-235.9728,-21.16669,31.78541",0,5,5,360,0,0,500,2000,
,3098040,3098,40,"-231.39,-21.17,42.9","0,180,0","-235.9728,-21.16669,31.78541",0,5,5,360,0,0,500,2000,
,3098041,3098,41,"-231.39,-21.17,51.442","0,180,0","-235.9728,-21.16669,31.78541",0,5,5,360,0,0,500,2000,
,3098042,3098,42,"-239.93,-21.17,51.442","0,180,0","-235.9728,-21.16669,31.78541",0,5,5,360,0,0,500,2000,
,3098043,3098,43,"-239.351,-12.666,83.174","0,180,0","-239.351,-12.666,82.174",0,5,5,360,0,0,500,2000,
,3098044,3098,44,"-231.76,-12.666,83.174","0,180,0","-231.76,-12.666,82.174",0,5,5,360,0,0,500,2000,
,3098045,3098,45,"-229.056,-12.666,92.425","0,180,0","-229.056,-12.666,91.425",0,5,5,360,0,0,500,2000,
,3098046,3098,46,"-242.48,-12.666,92.425","0,180,0","-242.48,-12.666,91.425",0,5,5,360,0,0,500,2000,
,3103001,3103,1,"-223.285,-21.08,-30.982","0,0,0","-234.4,-21,-49.3",0.5,7,7,80,0,1.8,500,2000,"-211.619,-21.08,-29.434;-193.777,-21.08,-29.413;"
