,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,string,float,float,float,uint32,uint32,float,uint32,uint32,string
,id,levelId,pathId,position,rotation,safePos,patrolSpeed,fightDistance,triggerDistance,triggerAngle,noColor,attack_radius,patrolMinStayTime,patrolMaxStayTime,paths
备注,id,场景ID,路径ID,坐标,角度,英雄安全点,巡逻速度,战斗距离,触发距离,触发角度,视野颜色0可见1不可见,偷袭距离,巡逻最小停留时间,巡逻最大停留时间,路径
,3096001,3096,1,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3096002,3096,2,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3096003,3096,3,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3096004,3096,4,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3096005,3096,5,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",1,9,9,360,0,0,500,2000,
,3097003,3097,3,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",1,3,3,360,0,0,500,2000,
,3097004,3097,4,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",1,3,3,360,0,0,500,2000,
,3097005,3097,5,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",1,3,3,360,0,0,500,2000,
,3098047,3098,47,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3098048,3098,48,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3098049,3098,49,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3098050,3098,50,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3098051,3098,51,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",1,9,9,360,0,0,500,2000,
,3099001,3099,1,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3099002,3099,2,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3099003,3099,3,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3099004,3099,4,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3099005,3099,5,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",0,7,7,360,0,0,0,0,
,3101001,3101,1,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,3,0,360,0,3,500,2000,
,3101002,3101,2,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,3,0,360,0,3,500,2000,
,3101003,3101,3,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",1,3,3,360,0,0,500,2000,
,3101004,3101,4,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",1,3,3,360,0,0,500,2000,
,3101005,3101,5,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",1,3,3,360,0,0,500,2000,
,3102001,3102,1,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3102002,3102,2,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3102003,3102,3,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3102004,3102,4,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3102005,3102,5,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",0,7,7,360,0,0,0,0,
,3103047,3103,47,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3103048,3103,48,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3103049,3103,49,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3103050,3103,50,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3103051,3103,51,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",1,9,9,360,0,0,500,2000,
,3104001,3104,1,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3104002,3104,2,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3104003,3104,3,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3104004,3104,4,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",0,5,5,360,0,0,0,0,
,3104005,3104,5,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",0,7,7,360,0,0,0,0,
,3105047,3105,47,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3105048,3105,48,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3105049,3105,49,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3105050,3105,50,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3105051,3105,51,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",1,9,9,360,0,0,500,2000,
,3106047,3106,47,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3106048,3106,48,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3106049,3106,49,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3106050,3106,50,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3106051,3106,51,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",1,9,9,360,0,0,500,2000,
,3107047,3107,47,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3107048,3107,48,"-20.80,0.08,-20.1","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3107049,3107,49,"-20.96,0.08,5.391","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3107050,3107,50,"21.65,0.08,4.1011","0,0,0","0.38,0.08621979,-29.60559",1,9,9,360,0,0,500,2000,
,3107051,3107,51,"0.4527,2.22,18.75","0,0,0","-0.0589,2.227085,21.27719",1,9,9,360,0,0,500,2000,
