,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时
,60191,0,7,0,0,0,3,1 3099 21025,1,,2,0,0,0,0,0,0,502,0
,60192,0,7,0,0,0,3,1 3099 21026,1,,2,0,0,0,0,0,0,502,0
,60193,0,7,0,0,0,3,1 3099 20669,1,,2,0,0,0,0,0,0,503,0
,60231,0,7,0,0,0,3,1 3107 20765,1,,2,0,0,0,0,0,0,0,0
,60232,0,7,0,0,0,3,1 3107 20766,1,,2,0,0,0,0,0,0,0,0
,60233,0,7,0,0,0,3,1 3107 20767,1,,2,0,0,0,0,0,0,0,0
,60234,0,7,0,0,0,3,1 3107 20768,1,,2,0,0,0,0,0,0,0,0
,60235,0,7,0,0,0,3,1 3107 20769,1,,2,0,0,0,0,0,0,0,0
,60276,0,7,0,0,0,3,1 3116 20847,1,,2,0,0,0,0,0,0,0,0
,60277,0,7,0,0,0,3,1 3116 20848,1,,2,0,0,0,0,0,0,0,0
,60278,0,7,0,0,0,3,1 3116 20849,1,,2,0,0,0,0,0,0,0,0
,60279,0,7,0,0,0,3,1 3116 20850,1,,2,0,0,0,0,0,0,0,0
,60280,0,7,0,0,0,3,1 3116 20851,1,,2,0,0,0,0,0,0,0,0
,60336,0,7,0,0,0,3,1 3099 20667,1,,2,0,0,0,0,0,0,502,0
,60337,0,7,0,0,0,3,1 3099 20668,1,,2,0,0,0,0,0,0,502,0
