,required,required,required,optional,optional
,uint32,uint32,uint32,uint32,uint32
英雄进阶,id,level,need_exp,ap_point,ap_reward
备注,id,战队等级,升级经验,体力值上限,奖励体力值
,1,1,100,30,0
,2,2,100,32,2
,3,3,200,34,2
,4,4,200,36,2
,5,5,400,38,2
,6,6,400,40,2
,7,7,800,42,2
,8,8,800,44,2
,9,9,1200,46,2
,10,10,1600,48,2
,11,11,2000,50,2
,12,12,2400,52,2
,13,13,3000,54,2
,14,14,3500,56,2
,15,15,4500,58,2
,16,16,5500,60,2
,17,17,6500,62,20
,18,18,7500,64,20
,19,19,9000,66,20
,20,20,9500,68,20
,21,21,11500,70,20
,22,22,13500,72,20
,23,23,16000,74,20
,24,24,18600,76,20
,25,25,22150,78,20
,26,26,26800,80,20
,27,27,31200,81,20
,28,28,38600,82,20
,29,29,41600,83,20
,30,30,45000,84,20
,31,31,53800,85,20
,32,32,72000,86,20
,33,33,78500,87,20
,34,34,87500,88,20
,35,35,96900,89,20
,36,36,101900,90,20
,37,37,106900,90,20
,38,38,111900,91,20
,39,39,116900,91,20
,40,40,137800,92,20
,41,41,154200,92,20
,42,42,168800,93,20
,43,43,183800,93,20
,44,44,199400,94,20
,45,45,215600,94,20
,46,46,233900,95,20
,47,47,259600,95,20
,48,48,289200,96,20
,49,49,319800,96,20
,50,50,354600,97,20
,51,51,390500,97,20
,52,52,439400,98,20
,53,53,485700,98,20
,54,54,533500,99,20
,55,55,586300,99,20
,56,56,644200,100,20
,57,57,703900,100,20
,58,58,769000,100,20
,59,59,839800,100,20
,60,60,916500,100,20
,61,61,999100,101,20
,62,62,1088100,101,20
,63,63,1179300,101,20
,64,64,1277100,101,20
,65,65,1381500,101,20
,66,66,1492900,102,20
,67,67,1611300,102,20
,68,68,1737000,102,20
,69,69,1870200,102,20
,70,70,2015600,102,20
,71,71,2169000,103,20
,72,72,2330600,103,20
,73,73,2500600,103,20
,74,74,2683900,103,20
,75,75,2876200,103,20
,76,76,3077600,104,20
,77,77,3293200,104,20
,78,78,3518500,104,20
,79,79,3758800,104,20
,80,80,0,104,20
