,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1230102,12301,2,301,-1,0,-1,0,301,0,0,1
,1233102,12331,2,101,101,0,-1,0,3042,0,0,1
,1233103,12331,3,3184,101,0,-1,0,3184,0,0,1
,1236101,12361,1,3837,-1,0,-1,0,3837,0,0,1
,1236102,12361,2,301,301,100308,-1,0,3837,0,0,1
,1272001,12720,1,101,101,0,-1,0,-1,0,0,1
,1272002,12720,2,301,101,0,-1,0,301,0,0,1
,1272101,12721,1,3838,101,0,-1,0,3838,0,0,1
,1349205,13492,5,3042,301,0,-1,0,3042,0,0,1
,1349206,13492,6,3184,-1,0,-1,0,3184,0,0,1
,1349207,13492,7,3042,-1,0,-1,0,3042,0,0,1
,1349208,13492,8,3184,-1,0,-1,0,3184,0,0,1
