,required,required,required,required,required,required,required,required,required,required,required,repeated,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,string,uint32,uint32,uint32,uint32,int32,int32,string,string,int32,int32,int32,string
,id,guide_id,step,wait,complete,type,mode,name,path,follow,duration,showObject,data_1,data_2,data_3,str_1,str_2,direction,effectType,finger_to,iconPath
Mark,流水id,引导索引,步骤,等待服务端消息 0否 1是,完成引导消息,引导类型 1:UI界面 2:对话 3:战斗引导,引导方式 0:遮罩按钮点击 1:预先隐藏物体,索引名,目标路径,遮罩跟随 0否 1是,跟随时间（毫秒）,显示隐藏对象,"特殊数据 (type=1,data=CgTalk表的对话ID)","特殊数据 (type=1,data=CgTalk表的对话ID)","特殊数据 (type=1,data=CgTalk表的对话ID)",字符数据,字符数据,文字方向,指引特效类型,特效手指方向,精灵路径
,20501,205,1,0,0,1,102,WantedBadlyMainPanel,,0,0,,0,0,0,,,1,0,0,
,20502,205,2,0,0,1,104,WantedBadlyMainPanel,layer1/ArrestBtn,0,0,,0,0,0,,,1,0,0,
,20601,206,1,0,0,1,104,MainCommonCampPanel,layer1/bottom/BtnCamp,1,0,,0,0,0,,,1,0,0,
,20602,206,2,0,0,1,104,CampFuncPanel,layer1/right/Up/BtnActivity,1,0,,0,0,0,,,1,0,0,
,20603,206,3,0,0,1,102,LimitActivityMainPanel,,1,0,,0,0,0,,,1,0,0,
,20604,206,4,0,0,1,104,LimitActivityMainPanel,layer1/right/Rank/Scroll View/Viewport/Content/activityBtn1,1,50,,0,0,0,,,1,0,0,
,20605,206,5,0,0,1,102,ActivityPanel,,1,0,,0,0,0,,,1,0,0,
,20606,206,6,0,0,1,104,ActivityPanel,headItems/itemPoint (2)/bg/Button,1,0,,0,0,0,,,1,0,0,
