,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,name,percent,position,isalive,listen_actor,trigger_type,trigger_arg1,trigger_arg2,trigger_arg3,trigger_arg4,respond_actor,respond_type,respond_arg1,respond_arg2,respond_arg3,respond_arg4
备注,流水号,name,生效概率,所在位置才触发,存活状态才触发,监听触发的角色,触发事件的类型,触发事件条件参数1,触发事件条件参数2,触发事件条件参数3,触发事件条件参数4,响应事件的角色,响应事件的类型,响应事件参数1,响应事件参数2,响应事件参数3,响应事件参数4
,4791,,10000,1,1,10,112,0,0,0,0,10,11,72,0,80,
,4792,,10000,1,1,10,112,0,0,0,0,10,11,72,0,120,
,4793,,10000,1,1,10,112,0,0,0,0,10,11,72,0,160,
,4801,,10000,0,1,10,40,0,0,0,0,10,99,480101,480102,0,
,4802,,10000,0,1,10,40,0,0,0,0,10,99,480201,480202,0,
,4803,,10000,0,1,10,40,0,0,0,0,10,99,480301,480302,0,
,4811,,5000,1,1,20,125,0,0,0,0,10,40,4,6,3000,
,4812,,7500,1,1,20,125,0,0,0,0,10,40,4,6,3000,
,4813,,10000,1,1,20,125,0,0,0,0,10,40,4,6,3000,
,4831,,10000,0,1,10,12,50,0,0,0,10,11,72,0,500,
,4832,,10000,0,1,10,12,50,0,0,0,10,11,72,0,750,
,4833,,10000,0,1,10,12,50,0,0,0,10,11,72,0,1000,
,480101,,10000,0,1,10,1,0,0,0,0,10,11,13,0,1000,
,480102,,10000,0,1,10,204,0,2,0,0,10,155,1,500,0,
,480201,,10000,0,1,10,1,0,0,0,0,10,11,13,0,1500,
,480202,,10000,0,1,10,204,0,2,0,0,10,155,1,500,0,
,480301,,10000,0,1,10,1,0,0,0,0,10,11,13,0,2000,
,480302,,10000,0,1,10,204,0,2,0,0,10,155,1,500,0,
,1049203,,10000,0,0,10,1,0,0,0,0,11,21,100901,1,0,
,1049303,,10000,0,0,10,1,0,0,0,0,11,21,100901,1,0,
,1119101,,10000,1,1,10,71,0,0,0,0,10,99,16,5,2000,
,1119102,,10000,1,1,10,42,24,1,1,0,10,158,74,3000,0,
,1119201,,10000,1,1,10,71,0,0,0,0,10,99,16,5,2500,
,1119202,,10000,1,1,10,42,24,1,1,0,10,158,74,4500,0,
,1119301,,10000,1,1,10,71,0,0,0,0,10,99,16,5,3000,
,1119302,,10000,1,1,10,42,24,1,1,0,10,158,74,6000,0,
,4019103,,10000,0,0,10,44,0,0,0,0,10,99,4019104,0,0,
,4019104,,5000,0,0,20,24,1024,1,1,0,10,21,200903,1,0,
