,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,string,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,pet_name,pet_type,start_life,growth_life,start_phy_atk,growth_phy_atk,start_mgc_atk,growth_mgc_atk,start_phy_def,growth_phy_def,start_mgc_def,growth_mgc_def,skill0_id,skill0_id2,skill0_id3,exclusive_hero,pet_money
"备注,",幻兽id,,幻兽类型,初始生命值,生命成长值,初始物攻值,物攻成长值,初始魔攻值,魔攻成长值,初始物防值,物防成长值,初始魔防值,魔防成长值,天赋技能id,天赋技能2id,天赋技能3id,专属英雄,拆解获得幻兽币
,4012,灾亡龙巴哈姆特,1,1400,1625000,89,104000,89,104000,49,57200,49,57200,401,0,0,0,2
,4022,喵灵贝斯忒,1,1400,1625000,89,104000,89,104000,49,57200,49,57200,402,0,0,0,2
,4032,傲狮利奥,2,1344,1560000,100,117000,67,78000,62,72800,35,41600,403,0,0,0,2
,4042,幻蝶泰拉,3,1344,1560000,67,78000,100,117000,35,41600,62,72800,404,0,0,0,2
,4052,狩林者艾妮丝,3,1008,1170000,100,117000,140,162500,26,31200,44,52000,405,0,0,0,2
,4062,狮鹫格里菲,2,1120,1300000,123,143000,100,117000,53,62400,31,36400,406,0,0,0,2
,4072,重甲列奥尼达,1,1400,1625000,89,104000,89,104000,49,57200,49,57200,407,0,0,0,2
,4082,巨树约顿海姆,3,1344,1560000,67,78000,100,117000,35,41600,62,72800,408,0,0,0,2
,4092,暴雪苏里尔,2,1008,1170000,140,162500,100,117000,44,52000,26,31200,409,0,0,0,2
,4102,风暴龙皮扎兰姆,3,1120,1300000,100,117000,123,143000,31,36400,53,62400,410,0,0,0,2
,4112,巨鲸伊维亚,2,1120,1300000,123,143000,100,117000,53,62400,31,36400,411,0,0,0,2
,4122,阿噗米修,1,1120,1300000,112,130000,112,130000,44,52000,44,52000,412,0,0,0,2
,101164,战神奥兹,2,1900,2376000,190,237600,0,0,76,96000,76,96000,10116,0,0,101,100
,102164,神辉泰恩,2,1868,2335200,193,242400,0,0,78,98400,72,91200,10216,0,0,102,100
,103164,匿影的菲林斯,2,1828,2285600,209,262100,0,0,80,100800,80,100800,10316,0,0,103,100
,104164,静谧的维达尔,2,2092,2616000,178,223200,0,0,82,103200,71,88800,10416,0,0,104,100
,105164,驭风者西尔芙,3,1804,2256000,0,0,192,240000,76,96000,80,100800,10516,0,0,105,100
,106164,暗渊者沃娜,2,1964,2455200,182,228000,0,0,78,98400,78,98400,10616,0,0,106,100
,107164,暗裔亚卡莎,2,1759,2200000,213,267100,0,0,80,100800,80,100800,10716,0,0,107,100
,108164,森羚莎缇雅,3,1964,2455200,0,0,190,237600,72,91200,76,96000,10816,0,0,108,100
,111164,肃正王巴托斯,2,2231,2789600,185,231800,0,0,80,100800,80,100800,11116,0,0,111,100
,112164,苍穹莱德尔,2,1895,2368800,211,264600,0,0,80,100800,74,93200,11216,0,0,112,100
,114164,屠魔者哈蕾尔,2,1837,2296800,197,247200,0,0,78,98400,71,88800,11416,0,0,114,100
,201164,圣迹之瑟涅雅,3,1772,2215200,0,0,197,247200,72,91200,80,100800,20116,0,0,201,100
,301164,强御之席恩,2,1964,2455200,186,232800,0,0,80,100800,72,91200,30116,0,0,301,100
,302164,荆冠奥利安瑞,3,2092,2616000,0,0,186,232800,72,91200,72,91200,30216,0,0,302,100
,401164,暗黑龙斐基德拉,3,1828,2285600,0,0,211,264600,78,98300,80,100800,40116,0,0,401,100
