,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,name,percent,position,isalive,listen_actor,trigger_type,trigger_arg1,trigger_arg2,trigger_arg3,trigger_arg4,respond_actor,respond_type,respond_arg1,respond_arg2,respond_arg3,respond_arg4
备注,流水号,name,生效概率,所在位置才触发,存活状态才触发,监听触发的角色,触发事件的类型,触发事件条件参数1,触发事件条件参数2,触发事件条件参数3,触发事件条件参数4,响应事件的角色,响应事件的类型,响应事件参数1,响应事件参数2,响应事件参数3,响应事件参数4
,4641,,10000,0,1,10,2,1,0,0,0,10,148,4000,0,0,
,4642,,10000,0,1,10,2,1,0,0,0,10,148,6000,0,0,
,4643,,10000,0,1,10,2,1,0,0,0,10,148,8000,0,0,
,4691,,5000,0,1,10,40,70,0,0,0,10,99,469101,469102,0,
,4692,,7500,0,1,10,40,70,0,0,0,10,99,469201,469202,0,
,4693,,10000,0,1,10,40,70,0,0,0,10,99,469301,469302,0,
,4701,,10000,0,1,10,44,1,0,0,0,10,21,410401,1,0,
,4702,,10000,0,1,10,44,1,0,0,0,10,21,410402,1,0,
,4703,,10000,0,1,10,44,1,0,0,0,10,21,410403,1,0,
,4721,,10000,0,1,10,11,72,1,1000,0,10,11,32,0,1500,
,4722,,10000,0,1,10,11,72,1,1000,0,10,11,32,0,2200,
,4723,,10000,0,1,10,11,72,1,1000,0,10,11,32,0,3000,
,4771,,4000,1,1,30,39,80,0,0,0,30,39,10000,0,0,
,4772,,6000,1,1,30,39,80,0,0,0,30,39,10000,0,0,
,4773,,8000,1,1,30,39,80,0,0,0,30,39,10000,0,0,
,10491,,10000,1,1,10,1,0,0,0,0,10,99,1049101,0,0,
,10691,,7000,0,0,20,21,2013,0,0,0,10,160,1069102,0,0,
,10692,,7000,0,0,20,21,2013,0,0,0,10,160,1069202,0,0,
,10693,,7000,0,0,20,21,2013,0,0,0,10,160,1069302,0,0,
,11191,,10000,0,1,10,1,0,0,0,0,10,99,1119101,1119102,0,
,11192,,10000,0,1,10,1,0,0,0,0,10,99,1119201,1119202,0,
,11193,,10000,0,1,10,1,0,0,0,0,10,99,1119301,1119302,0,
,40191,,10000,0,0,10,40,0,0,0,0,10,99,4019101,4019102,4019103,
,40192,,10000,0,0,10,40,0,0,0,0,10,99,4019101,4019102,4019201,
,40193,,10000,0,0,10,40,0,0,0,0,10,99,4019301,4019102,4019301,
,469101,,10000,0,1,10,1,0,0,0,0,10,11,73,5,500,
,469102,,10000,0,1,10,1,0,0,0,0,10,11,72,0,150,
,469201,,10000,0,1,10,1,0,0,0,0,10,11,73,5,500,
,469202,,10000,0,1,10,1,0,0,0,0,10,11,72,0,150,
,469301,,10000,0,1,10,1,0,0,0,0,10,11,73,5,500,
,469302,,10000,0,1,10,1,0,0,0,0,10,11,72,0,150,
,1049101,,10000,1,1,30,44,80,0,0,0,10,99,1049102,0,0,
,1049102,,10000,0,0,10,1,0,0,0,0,11,21,100901,1,0,
,1049201,,10000,0,0,10,1,0,0,0,0,10,115,100902,100901,0,
,1049202,,10000,1,1,30,44,80,0,0,0,10,99,1049203,0,0,
,1049301,,10000,0,0,10,1,0,0,0,0,10,115,100903,100901,0,
,1049302,,10000,1,1,30,44,80,0,0,0,10,99,1049303,0,0,
,1069202,,10000,0,0,10,1,0,0,0,0,10,11,73,5,150,
,1069302,,10000,0,0,10,1,0,0,0,0,10,11,73,5,200,
,3019101,,10000,0,1,10,11,73,2,10000,0,10,11,13,0,1500,
,3019102,,10000,0,1,10,11,73,2,5000,0,10,11,13,0,2500,
,3019103,,10000,0,1,10,11,73,2,2000,0,10,11,13,0,3500,
,3019201,,10000,0,1,10,11,73,2,10000,0,10,11,13,0,2200,
,3019202,,10000,0,1,10,11,73,2,5000,0,10,11,13,0,3200,
,3019203,,10000,0,1,10,11,73,2,2000,0,10,11,13,0,4200,
,3019301,,10000,0,1,10,11,73,2,10000,0,10,11,13,0,3000,
,3019302,,10000,0,1,10,11,73,2,5000,0,10,11,13,0,4000,
,3019303,,10000,0,1,10,11,73,2,2000,0,10,11,13,0,5000,
,4019101,,10000,0,0,10,21,2009,0,0,0,10,115,200903,200901,0,
,4019102,,10000,0,0,10,21,2009,0,0,0,10,115,200903,200902,0,
,4019201,,7500,0,0,20,24,1024,1,1,0,10,99,4019104,0,0,
,4019301,,10000,0,0,10,21,2009,0,0,0,10,99,4019104,0,0,
