,required,optional,required,required,required,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,part,star,limit_level,need_order,bonus_percentage,money,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3,material_id4,material_num4
备注,ID,name,部位,星级,英雄等级需求,品阶需求,属性加成百分比,所需金币数量,材料1,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,材料4ID,材料4数量
,14,,1,4,40,0,2000,40000,2120013,10,2120102,5,0,0,0,0
,15,,1,5,50,0,3000,80000,2120013,10,2120014,2,2120102,10,2120103,3
,16,,1,6,60,0,4000,150000,2120013,15,2120014,5,2120102,10,2120103,5
,17,,1,7,70,0,5000,300000,2120013,20,2120014,10,2120103,10,2120104,2
,24,,2,4,40,0,2000,40000,2120013,10,2120202,5,0,0,0,0
,25,,2,5,50,0,3000,80000,2120013,10,2120014,2,2120202,10,2120203,3
,26,,2,6,60,0,4000,150000,2120013,15,2120014,5,2120202,10,2120203,5
,27,,2,7,70,0,5000,300000,2120013,20,2120014,10,2120203,10,2120204,2
,34,,3,4,40,0,2000,40000,2120013,10,2120302,5,0,0,0,0
,35,,3,5,50,0,3000,80000,2120013,10,2120014,2,2120302,5,2120303,3
,36,,3,6,60,0,4000,150000,2120013,15,2120014,5,2120302,10,2120303,5
,37,,3,7,70,0,5000,300000,2120013,20,2120014,10,2120303,10,2120304,2
,44,,4,4,40,0,2000,40000,2120013,10,2120402,5,0,0,0,0
,45,,4,5,50,0,3000,80000,2120013,10,2120014,2,2120402,10,2120403,3
,46,,4,6,60,0,4000,150000,2120013,15,2120014,5,2120402,10,2120403,5
,47,,4,7,70,0,5000,300000,2120013,20,2120014,10,2120403,10,2120404,2
