,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,717001,7170,1,9999,-1,0,-1,0,9999,260001,0,1
,717002,7170,2,9999,-1,0,-1,0,9999,260001,0,1
,717003,7170,3,101,101,0,-1,0,9999,260001,0,1
,717101,7171,1,9999,-1,0,-1,0,9999,102000,0,1
,717102,7171,2,101,101,100108,-1,0,9999,102000,0,1
,717103,7171,3,9999,101,100108,-1,0,9999,102000,0,1
,717104,7171,4,101,101,100102,-1,0,-1,0,0,1
,717105,7171,5,101,101,100102,-1,0,-1,0,0,1
,717106,7171,6,-1,-1,0,-1,0,-1,0,0,1
,717107,7171,7,4121,4121,0,-1,0,-1,0,0,1
,717108,7171,8,3705,4121,0,-1,0,3705,0,0,1
,717109,7171,9,4121,4121,0,-1,0,3705,0,0,1
,717201,7172,1,101,101,100109,-1,0,-1,0,0,1
,717202,7172,2,9999,101,100109,-1,0,9999,226001,0,1
,717203,7172,3,9999,101,100109,-1,0,9999,226001,0,1
,717301,7173,1,101,101,0,-1,0,-1,0,0,1
,717302,7173,2,301,101,0,-1,0,301,0,0,1
,717303,7173,3,301,101,0,-1,0,301,0,0,1
,717304,7173,4,301,101,0,-1,0,301,0,0,1
,717305,7173,5,201,201,100205,-1,0,301,0,0,1
,717306,7173,6,301,201,100205,-1,0,301,0,0,1
,717401,7174,1,9999,-1,0,-1,0,9999,141001,0,1
,717402,7174,2,301,301,0,-1,0,9999,141001,0,1
,717403,7174,3,9999,301,0,-1,0,9999,141001,0,1
,717404,7174,4,9999,301,0,-1,0,9999,141001,0,1
,717405,7174,5,301,301,0,-1,0,9999,141001,0,1
,717501,7175,1,9999,-1,0,-1,0,9999,198001,0,1
,717502,7175,2,301,301,100308,-1,0,9999,198001,0,1
