,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,708404,7084,4,201,201,100205,-1,0,9999,178001,0,1
,708801,7088,1,9999,-1,0,-1,0,9999,174001,0,1
,708802,7088,2,9999,-1,0,-1,0,9999,174001,0,1
,708803,7088,3,301,301,100308,-1,0,9999,174001,0,1
,708903,7089,3,9999,101,100108,-1,0,9999,175001,0,1
,708904,7089,4,9999,101,100108,-1,0,9999,175001,0,1
,708905,7089,5,101,101,0,-1,0,9999,175001,0,1
,708906,7089,6,9999,101,0,-1,0,9999,175001,0,1
,708908,7089,8,9999,201,100205,-1,0,9999,175001,0,1
,708909,7089,9,201,201,100205,-1,0,-1,0,0,1
,708910,7089,10,101,201,100205,-1,0,101,0,0,1
,708911,7089,11,301,301,0,-1,0,101,0,0,1
