,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3101001,复仇妖姬,3101,1,20699,0,1,0,0,0,0,0,"-8.8000,0.08,-19.1",180,1
,3101002,暗夜潜行者,3101,1,20700,0,1,0,0,0,0,0,"9.79999,0.08,-20.1",180,1
,3101003,虚死惩戒者,3101,1,20701,0,1,0,0,0,0,0,"-9.7000,0.08,2.931",180,1
,3101004,鬼刃剑士,3101,1,20702,0,1,0,0,0,0,0,"9.95000,0.08,2.931",180,1
,3101005,千纸领主洛伊,3101,1,20703,0,1,0,0,0,0,0,"-0.3200,2.22,35.14",180,1
,3101006,复仇妖姬,3101,2,200499,1,1,1,0,0,0,76,,0,1
,3101007,暗夜潜行者,3101,2,200500,2,1,1,0,0,0,76,,0,1
,3101008,虚死惩戒者,3101,2,200501,3,1,1,0,0,0,76,,0,1
,3101009,鬼刃剑士,3101,2,200502,4,1,1,0,0,0,76,,0,1
,3101010,千纸领主洛伊,3101,2,200503,5,1,1,0,0,0,76,,0,1
,3101012,障碍墙,3101,4,1094,0,1,0,0,0,0,0,"-9.2,0.01,-15",180,1
,3101013,障碍墙,3101,4,1094,0,1,0,0,0,0,0,"9.2,0.01,-15",180,1
,3101014,复仇妖姬,3101,1,20704,0,1,0,0,0,0,0,"-20.800,0.08,-20.1",90,1
,3101015,暗夜潜行者,3101,1,20705,0,1,0,0,0,0,0,"22.4000,0.08,-22.3",-90,1
,3101016,虚死惩戒者,3101,1,20706,0,1,0,0,0,0,0,"-20.960,0.08,5.391",90,1
,3101017,鬼刃剑士,3101,1,20707,0,1,0,0,0,0,0,"21.6500,0.08,4.101",-90,1
,3102001,炎尾魔蝎,3102,2,200504,1,1,1,0,0,0,76,,0,1
,3102002,梦魇灰狐,3102,2,200505,2,1,1,0,0,0,76,,0,1
,3102003,蚀骨毒蜂,3102,2,200506,3,1,1,0,0,0,76,,0,1
,3102004,阔刃鬼武士,3102,2,200507,4,1,1,0,0,0,76,,0,1
,3102005,荒沼领主贝格,3102,2,200508,5,1,1,0,0,0,76,,0,1
,3102006,炎尾魔蝎,3102,1,20710,0,1,0,0,0,0,0,"-8.8000,0.08,-19.1",180,1
,3102007,梦魇灰狐,3102,1,20711,0,1,0,0,0,0,0,"9.79999,0.08,-20.1",180,1
,3102008,蚀骨毒蜂,3102,1,20712,0,1,0,0,0,0,0,"-9.7000,0.08,2.931",180,1
,3102009,阔刃鬼武士,3102,1,20713,0,1,0,0,0,0,0,"9.95000,0.08,2.931",180,1
,3102010,荒沼领主贝格,3102,1,20714,0,1,0,0,0,0,0,"-0.3200,2.22,35.14",180,1
,3102011,空气墙,3102,4,1094,0,1,0,0,0,0,0,"0.27871,0.01,12.15",180,1
,3102012,炎尾魔蝎,3102,1,20715,0,1,0,0,0,0,0,"-20.800,0.08,-20.1",90,1
,3102013,梦魇灰狐,3102,1,20716,0,1,0,0,0,0,0,"22.4000,0.08,-22.3",-90,1
