,required,required,optional,optional,optional,optional,optional,optional,optional,repeated,repeated,optional,repeated,optional,repeated,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,1000761,绯红女巫,0,0,1,6,2,34,1000761,1604,1005401;1005402;1005403,"0,1,2;0,1,2",0,"1,0,1;1,0,1;0,1,2",0,0
,1000762,女巫忠仆,0,0,1,6,2,32,1000762,1621,1005801;1005802,"0,0,1",0,"0,0,1;0,1,1",0,0
,1000763,黑夜异教徒,0,0,1,3,2,32,1000763,1607,1001301;1001302;1001303,"0,1,2;1,0,1",0,"2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000764,亡魂傀儡,0,0,1,3,2,32,1000764,1618,1004001;1004002,"0,1,0;1,0,1,0;0,1",0,"1,0,1,0,1;0,1,0;1,0,1",0,0
,1000765,苍蓝领主拉弥娅,0,2,1,6,2,32,1000765,,1005701;1005702;1005703;1005704,"0,1,2;0,1,2",0,"0,0,1;0,1,2;0,1,2",0,0
,1000768,白骨孤狼,0,0,1,1,1,25,1000768,,1002601;1002602;1002603,"0,1,0;0,1,2",0,"0,1,0;0,1;0,1,2",0,0
,1000769,被捕的叛军,0,0,1,4,1,23,1000769,,1005001;1005002;1005003,"1,1,2;1,0,1,2;1,0,1,0",0,"0,2;1,0,1,0;0,1,2,2",0,0
,1000770,铁卫领主阿特斯,0,2,1,6,1,23,1000770,,5201801;5201802;5201803,"0,2;2,0,1,0",0,"0,2;2,1,1,1,0;0,0,1",0,0
,1000812,亵职的官员,0,0,1,4,1,26,1000812,1031,1004801;1004802;1004803,"0,2;1,0,1,0;1,0,1,2",0,"0,2;1,0,1,0;1,2",0,0
,1000813,禁卫军逃兵,0,0,1,3,1,26,1000813,1041,5200101;5200102;5200103,"0,1,1;0,1,2",0,"0,1,1;0,1,2",0,0
,1000814,幽岚领主塔伦,0,2,1,6,1,26,1000814,,5201001;5201002;5201003,"0,2",0,"0,0;0,0,2;0,0;0,0,2",0,0
,1000821,复仇妖姬,0,0,1,4,1,37,1000821,1606,1002101;1002102;1002103,"0,1,2;0,1,0",0,"0,1;0,0,2;0,1;1,2,0;0,1,1",0,0
,1000822,暗夜潜行者,0,0,1,4,1,35,1000822,1621,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1;0,1,2;1,0,1;0,1;1,0,2",0,0
