,optional,optional,optional,optional,repeated,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,fight,multi_boss,monster,money,user_exp,hero_exp,hero_impression,exp_ball,reward_id,action_id,max_battle_time,battle_check,attack_status_id,fight_type
备注,ID,备注,战力,多人boss,怪物id,掉落金币,战队经验,英雄经验,英雄好感度,经验球经验,奖励id,事件id,战斗限时,战斗检测,偷袭状态,战斗力压制算法类型
,200459,,12504,0,1000761,0,0,0,5,0,0,0,600000,0,0,0
,200460,,11180,0,1000762,0,0,0,5,0,0,0,600000,0,0,0
,200461,,11180,0,1000763,0,0,0,5,0,0,0,600000,0,0,0
,200462,,11180,0,1000764,0,0,0,5,0,0,0,600000,0,0,0
,200463,,11180,0,1000765,0,0,0,10,0,0,0,600000,0,0,0
,200466,,7074,0,1000768,0,0,0,5,0,0,0,600000,0,0,0
,200467,,6067,0,1000769,0,0,0,5,0,0,0,600000,0,0,0
,200468,,6067,0,1000770,0,0,0,10,0,0,0,600000,0,0,0
,200491,,7607,0,1000812,0,0,0,5,0,0,0,600000,0,0,0
,200492,,7607,0,1000813,0,0,0,5,0,0,0,600000,0,0,0
,200493,,7607,0,1000814;1001632,0,0,0,10,0,0,0,600000,0,0,0
,200499,,14604,0,1000821,0,0,0,5,0,0,0,600000,0,0,0
,200500,,13189,0,1000822,0,0,0,5,0,0,0,600000,0,0,0
,200501,,13189,0,1000823,0,0,0,5,0,0,0,600000,0,0,0
,200502,,13189,0,1000824,0,0,0,5,0,0,0,600000,0,0,0
,200503,,13189,0,1000825,0,0,0,10,0,0,0,600000,0,0,0
,200504,,16075,0,1000826,0,0,0,5,0,0,0,600000,0,0,0
,200505,,14604,0,1000827,0,0,0,5,0,0,0,600000,0,0,0
,200506,,14604,0,1000828,0,0,0,5,0,0,0,600000,0,0,0
,200507,,14604,0,1000829,0,0,0,5,0,0,0,600000,0,0,0
,200508,,14604,0,1000830,0,0,0,10,0,0,0,600000,0,0,0
,200509,,23296,0,1000836,0,0,0,5,0,0,0,600000,0,0,0
,200510,,21615,0,1000837,0,0,0,5,0,0,0,600000,0,0,0
,200511,,21615,0,1000838,0,0,0,5,0,0,0,600000,0,0,0
,200512,,21615,0,1000839,0,0,0,5,0,0,0,600000,0,0,0
,200513,,21615,0,1000840;1001771,0,0,0,10,0,0,0,600000,0,0,0
,200514,,17598,0,1000841,0,0,0,5,0,0,0,600000,0,0,0
,200515,,16075,0,1000842,0,0,0,5,0,0,0,600000,0,0,0
,200516,,16075,0,1000843,0,0,0,5,0,0,0,600000,0,0,0
,200517,,16075,0,1000844,0,0,0,5,0,0,0,600000,0,0,0
,200518,,16075,0,1000845,0,0,0,10,0,0,0,600000,0,0,0
,200519,,22451,0,1000846,0,0,0,5,0,0,0,600000,0,0,0
,200520,,20790,0,1000847,0,0,0,5,0,0,0,600000,0,0,0
,200521,,20790,0,1000848,0,0,0,5,0,0,0,600000,0,0,0
,200522,,20790,0,1000849,0,0,0,5,0,0,0,600000,0,0,0
,200523,,20790,0,1000850,0,0,0,10,0,0,0,600000,0,0,0
,200524,,27655,0,1000851,0,0,0,5,0,0,0,600000,0,0,0
,200525,,25887,0,1000852,0,0,0,5,0,0,0,600000,0,0,0
,200526,,25887,0,1000853,0,0,0,5,0,0,0,600000,0,0,0
,200527,,25887,0,1000854,0,0,0,5,0,0,0,600000,0,0,0
,200528,,25887,0,1000855,0,0,0,10,0,0,0,600000,0,0,0
,200529,,26767,0,1000856,0,0,0,5,0,0,0,600000,0,0,0
,200530,,25015,0,1000857,0,0,0,5,0,0,0,600000,0,0,0
,200531,,25015,0,1000858,0,0,0,5,0,0,0,600000,0,0,0
,200532,,25015,0,1000859,0,0,0,5,0,0,0,600000,0,0,0
,200533,,25015,0,1000860,0,0,0,10,0,0,0,600000,0,0,0
,200534,,25015,0,1000861,0,0,0,5,0,0,0,600000,0,0,0
,200535,,23296,0,1000862,0,0,0,5,0,0,0,600000,0,0,0
,200536,,23296,0,1000863,0,0,0,5,0,0,0,600000,0,0,0
,200537,,23296,0,1000864,0,0,0,5,0,0,0,600000,0,0,0
,200538,,23296,0,1000865,0,0,0,10,0,0,0,600000,0,0,0
,200539,,28551,0,1000866,0,0,0,5,0,0,0,600000,0,0,0
,200540,,26767,0,1000867,0,0,0,5,0,0,0,600000,0,0,0
,200541,,26767,0,1000868,0,0,0,5,0,0,0,600000,0,0,0
,200542,,26767,0,1000869,0,0,0,5,0,0,0,600000,0,0,0
,200543,,26767,0,1000870,0,0,0,10,0,0,0,600000,0,0,0
,200544,,25887,0,1000959,0,0,0,5,0,0,0,600000,0,0,0
,200545,,24151,0,1000960,0,0,0,5,0,0,0,600000,0,0,0
,200546,,24151,0,1000961,0,0,0,5,0,0,0,600000,0,0,0
,200547,,24151,0,1000962,0,0,0,5,0,0,0,600000,0,0,0
,200548,,24151,0,1000963;1001772,0,0,0,10,0,0,0,600000,0,0,0
,200549,,19171,0,1000964,0,0,0,5,0,0,0,600000,0,0,0
,200550,,17598,0,1000965,0,0,0,5,0,0,0,600000,0,0,0
,200551,,17598,0,1000966,0,0,0,5,0,0,0,600000,0,0,0
,200552,,17598,0,1000967,0,0,0,5,0,0,0,600000,0,0,0
,200553,,17598,0,1000968,0,0,0,10,0,0,0,600000,0,0,0
,200554,,30361,0,1000974,0,0,0,5,0,0,0,600000,0,0,0
,200555,,28551,0,1000975,0,0,0,5,0,0,0,600000,0,0,0
,200556,,28551,0,1000976,0,0,0,5,0,0,0,600000,0,0,0
,200557,,28551,0,1000977,0,0,0,5,0,0,0,600000,0,0,0
,200558,,28551,0,1000978,0,0,0,10,0,0,0,600000,0,0,0
,200559,,24151,0,1000969,0,0,0,5,0,0,0,600000,0,0,0
,200560,,22451,0,1000970,0,0,0,5,0,0,0,600000,0,0,0
,200561,,22451,0,1000971,0,0,0,5,0,0,0,600000,0,0,0
,200562,,22451,0,1000972,0,0,0,5,0,0,0,600000,0,0,0
,200563,,22451,0,1000973,0,0,0,10,0,0,0,600000,0,0,0
,200564,,31276,0,1000979,0,0,0,5,0,0,0,600000,0,0,0
,200565,,29453,0,1000980,0,0,0,5,0,0,0,600000,0,0,0
,200566,,29453,0,1000981,0,0,0,5,0,0,0,600000,0,0,0
,200567,,29453,0,1000982,0,0,0,5,0,0,0,600000,0,0,0
,200568,,29453,0,1000983,0,0,0,10,0,0,0,600000,0,0,0
,200569,,20790,0,1000871,0,0,0,5,0,0,0,600000,0,0,0
,200570,,19171,0,1000872,0,0,0,5,0,0,0,600000,0,0,0
,200571,,19171,0,1000873,0,0,0,5,0,0,0,600000,0,0,0
,200572,,19171,0,1000874,0,0,0,5,0,0,0,600000,0,0,0
,200573,,19171,0,1000875;1001770,0,0,0,10,0,0,0,600000,0,0,0
,200574,,29453,0,1000876,0,0,0,5,0,0,0,600000,0,0,0
,200575,,27655,0,1000877,0,0,0,5,0,0,0,600000,0,0,0
,200576,,27655,0,1000878,0,0,0,5,0,0,0,600000,0,0,0
,200577,,27655,0,1000879,0,0,0,5,0,0,0,600000,0,0,0
,200578,,27655,0,1000880,0,0,0,10,0,0,0,600000,0,0,0
,200777,,8728,0,1001254,0,0,0,5,0,0,0,600000,0,0,0
,200778,,6561,0,1001255,0,0,0,5,0,0,0,600000,0,0,0
,200779,,10542,0,1001249,0,0,0,5,0,0,0,600000,0,0,0
,200780,,9315,0,1001251,0,0,0,5,0,0,0,600000,0,0,0
,200781,,9315,0,1001252,0,0,0,5,0,0,0,600000,0,0,0
,200782,,9315,0,1001253,0,0,0,5,0,0,0,600000,0,0,0
,200783,,9315,0,1001250,0,0,0,10,0,0,0,600000,0,0,0
,200860,,32196,0,1001701,0,0,0,5,0,0,0,600000,0,0,0
,200861,,30361,0,1001702,0,0,0,5,0,0,0,600000,0,0,0
,200862,,30361,0,1001703,0,0,0,5,0,0,0,600000,0,0,0
,200863,,30361,0,1001704,0,0,0,5,0,0,0,600000,0,0,0
,200864,,30361,0,1001705,0,0,0,10,0,0,0,600000,0,0,0
,200865,,33121,0,1001706,0,0,0,5,0,0,0,600000,0,0,0
,200866,,31276,0,1001707,0,0,0,5,0,0,0,600000,0,0,0
,200867,,31276,0,1001708,0,0,0,5,0,0,0,600000,0,0,0
,200868,,31276,0,1001709,0,0,0,5,0,0,0,600000,0,0,0
,200869,,31276,0,1001710,0,0,0,10,0,0,0,600000,0,0,0
,200870,,34051,0,1001711,0,0,0,5,0,0,0,600000,0,0,0
,200871,,32196,0,1001712,0,0,0,5,0,0,0,600000,0,0,0
,200872,,32196,0,1001713,0,0,0,5,0,0,0,600000,0,0,0
,200873,,32196,0,1001714,0,0,0,5,0,0,0,600000,0,0,0
,200874,,32196,0,1001715,0,0,0,10,0,0,0,600000,0,0,0
,200875,,34985,0,1001716,0,0,0,5,0,0,0,600000,0,0,0
,200876,,33121,0,1001717,0,0,0,5,0,0,0,600000,0,0,0
,200877,,33121,0,1001718,0,0,0,5,0,0,0,600000,0,0,0
,200878,,33121,0,1001719,0,0,0,5,0,0,0,600000,0,0,0
,200879,,33121,0,1001720,0,0,0,10,0,0,0,600000,0,0,0
,200880,,35923,0,1001721,0,0,0,5,0,0,0,600000,0,0,0
,200881,,34051,0,1001722,0,0,0,5,0,0,0,600000,0,0,0
,200882,,34051,0,1001723,0,0,0,5,0,0,0,600000,0,0,0
,200883,,34051,0,1001724,0,0,0,5,0,0,0,600000,0,0,0
,200884,,34051,0,1001725,0,0,0,10,0,0,0,600000,0,0,0
,200885,,36865,0,1001726,0,0,0,5,0,0,0,600000,0,0,0
,200886,,34985,0,1001727,0,0,0,5,0,0,0,600000,0,0,0
,200887,,34985,0,1001728,0,0,0,5,0,0,0,600000,0,0,0
,200888,,34985,0,1001729,0,0,0,5,0,0,0,600000,0,0,0
,200889,,34985,0,1001730;1001773,0,0,0,10,0,0,0,600000,0,0,0
,200890,,37810,0,1001731,0,0,0,5,0,0,0,600000,0,0,0
,200891,,35923,0,1001732,0,0,0,5,0,0,0,600000,0,0,0
,200892,,35923,0,1001733,0,0,0,5,0,0,0,600000,0,0,0
,200893,,35923,0,1001734,0,0,0,5,0,0,0,600000,0,0,0
,200894,,35923,0,1001735;1001774,0,0,0,10,0,0,0,600000,0,0,0
,200895,,38757,0,1001736,0,0,0,5,0,0,0,600000,0,0,0
,200896,,36865,0,1001737,0,0,0,5,0,0,0,600000,0,0,0
,200897,,36865,0,1001738,0,0,0,5,0,0,0,600000,0,0,0
,200898,,36865,0,1001739,0,0,0,5,0,0,0,600000,0,0,0
,200899,,36865,0,1001740,0,0,0,10,0,0,0,600000,0,0,0
,200900,,39706,0,1001741,0,0,0,5,0,0,0,600000,0,0,0
,200901,,37810,0,1001742,0,0,0,5,0,0,0,600000,0,0,0
,200902,,37810,0,1001743,0,0,0,5,0,0,0,600000,0,0,0
,200903,,37810,0,1001744,0,0,0,5,0,0,0,600000,0,0,0
,200904,,37810,0,1001745,0,0,0,10,0,0,0,600000,0,0,0
,200905,,40657,0,1001746,0,0,0,5,0,0,0,600000,0,0,0
,200906,,38757,0,1001747,0,0,0,5,0,0,0,600000,0,0,0
,200907,,38757,0,1001748,0,0,0,5,0,0,0,600000,0,0,0
,200908,,38757,0,1001749,0,0,0,5,0,0,0,600000,0,0,0
,200909,,38757,0,1001750,0,0,0,10,0,0,0,600000,0,0,0
