,id,dialog
备注,NPC对话配置的id,对话文字
,10341,阴谋、实验，我全不在乎。我只为刀痴狂！
,10342,我相信只要跟随希德大人，我会安全离开的。
,10343,我们没有做错，我们是在自救！
,10344,救，救我！再下去，我就再也开不了口了！
,10345,不，我不想成为实验品，还有人在等我回家！
,10346,交易而已，我感兴趣的对象是帝国第一剑士。
,10347,哈哈哈，什么盛世景象，都是那些贵族的自欺欺人！
,10348,嘘，你们安静点。不听话的话，会被带走的。
,10349,为什么？明明说几个月就能出去……现在却要变成实验品！
,10350,隔壁的人又被带走了，下一个会是我吗？
,10351,看清楚了！这里不是监狱，是大型的实验室！
,10352,逃不掉了，我注定要沦为实验品了……
,10353,被打上标记了，完蛋了！完蛋了！
,10354,那些研究员身上的标志……原来是大家族的爪牙！
,10355,该死，197号实验品被带走了，下一个就是我了吗？
,10356,空有一双翅膀，我却飞不出这间噬人的监狱。
,10357,我不要做检查，我不要做身体检查！你们滚啊！
,10358,财富、权力，我都不要了，我只想活下去！
,10359,唯一的出路是反抗，兄弟们，冲啊！
,10360,绝不能坐以待毙！再往下走，就是实验室了。
,10361,妾身也不过是想活着走出这里，然后过上平静的生活。
,10362,不能犹豫不决，否则我们没有明天。
,10363,贵族子弟都不是什么好东西，你们也是！
,10364,我的命是不值钱，但我拼了命，也要撕破贵族们的伪装！
,10365,我听到了，下面每天都会传来凄厉的惨叫声……
,10366,兄弟们，趁着还有点力气，我们一块冲出去！
,10367,我的身体似乎变得有些奇怪……
,10368,放开！我不要注射这奇怪的东西，啊——！
,10369,降低存在感，降低存在感……我要想办法逃走。
,10370,看到了吧？所谓的谣言才是真相！
,10371,这里是没有明天的恶魔岛！我要出去，她还在等我……
,10372,别动我！恶魔……研究员……
,10373,不，再也受不了了……放开我！吼——
,10374,身体变得好奇怪……血液仿佛要烧掉我的皮肤！
,10375,再过几个小时，研究员就要来了。躲不过了吗？
,10376,我的身体，我的力量，全都奉献给那位大人！
,10377,身体里有奇怪的力量在流动……好热，它在灼烧我……
,10378,他们是群疯子！那种实验怎么会成功？我要逃……逃……
,10379,嘶——伤口……溃烂了。要死，我也要找个垫背！
,10380,我会施加最恶毒的诅咒，诅咒那些贵族……
,10381,贵族们表现光鲜亮丽，其实早就腐朽肮脏透了。
,10382,嗬，呼——嗬，呼——心脏跳得快爆炸了……
,10383,呃——清醒的时间越来越少了……
,10384,我知道，那个标志是魔法家族的……
,10385,我没力气说话了……可心中的恨意不灭……
,10386,我如今的模样，全拜他们所赐。我为什么不能反抗？！
,10387,莱克大人说得对……就是死，我们也只能悄无声息地死，咳……
,10388,好冷……我仿佛在雪山里……
,10389,那个军官……曾在这里待过……
,10390,闭嘴，他交代过不能透露……
,10391,那样的王……哪配称王？唯有魔神……大人，万岁！
,10392,他们竟然敢用禁术……这群欧斯……啊，我的头！疼！
,10393,永远……跟随女巫大人……
,10394,即使是王……也渴求力量……
,10395,那个无能的王……也能做这些事了……
,10396,莱克说的人怎么还不到……这里不能留待了……
,10397,那些贵族……我不会放过他们……啊——！
,10398,疼，全是都疼……再也……忍不住了——吼！
,10399,不，不想成为怪物……你们走啊！
,10400,好痛苦……杀了我……
,10401,啊——痛！恨……贵……
,10402,吼！啊——吼！
,10403,饿——吼，吼！
,10404,死……啊——嗬嗷！
,10405,啊——呃，吼吼！
,10406,啊——吼！饥渴……！
,10407,呃啊——吼！吼，吼吼！
,10408,饿……肉……啊——吼！
,10409,吼——吼——吼吼！
,10410,啊——啊——吼！
,10411,啊——痛！恨……贵……
,10412,吼！啊——吼！
,10413,饿——吼，吼！
,10414,死……啊——嗬嗷！
,10415,啊——呃，吼吼！
,10416,啊——吼！饥渴……！
,10417,呃啊——吼！吼，吼吼！
,10418,饿……肉……啊——吼！
,10419,吼——吼——吼吼！
,10420,啊——啊——吼！
,10421,啊——痛！恨……贵……
,10422,吼！啊——吼！
,10423,饿——吼，吼！
,10424,死……啊——嗬嗷！
,10425,啊——呃，吼吼！
,10426,啊——吼！饥渴……！
,10427,呃啊——吼！吼，吼吼！
,10428,饿……肉……啊——吼！
,10429,吼——吼——吼吼！
,10430,啊——啊——吼！
,10431,啊——痛！恨……贵……
,10432,吼！啊——吼！
,10433,饿——吼，吼！
,10434,死……啊——嗬嗷！
,10435,啊——呃，吼吼！
,10436,啊——吼！饥渴……！
,10437,呃啊——吼！吼，吼吼！
,10438,饿……肉……啊——吼！
,10439,吼——吼——吼吼！
,10440,啊——啊——吼！
,10441,啊——痛！恨……贵……
,10442,吼！啊——吼！
,10443,饿——吼，吼！
,10444,死……啊——嗬嗷！
,10445,啊——呃，吼吼！
,10446,啊——吼！饥渴……！
,10447,呃啊——吼！吼，吼吼！
,10448,饿……肉……啊——吼！
,10449,吼——吼——吼吼！
,10450,啊——啊——吼！
