,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,707801,,这群囚犯仅凭几句危言耸听的谣言，就敢做出这种罪不可赦的事情！,,,,这群囚犯仅凭几句危言耸听的谣言，就敢做出这种罪不可赦的事情！
,707803,,典狱长大人，现在我们该怎么办？再不控制局面，恐怕我们都……,,,,典狱长大人，现在我们该怎么办？再不控制局面，恐怕我们都……
,707804,,联系的帝国禁卫军迟迟未到，仅靠这里的兄弟们，怕是撑不了多久！而且那批囚犯都是亡命之徒，现在他们跟疯了一样！我们……,,,,联系的帝国禁卫军迟迟未到，仅靠这里的兄弟们，怕是撑不了多久！而且那批囚犯都是亡命之徒，现在他们跟疯了一样！我们……
,707806,,是，典狱长大人。,,,,是，典狱长大人。
,707901,,那个魔族说是一名军官和她提议加入这次的行动。<br>你们觉得会是史莱克吗？,,,,那个魔族说是一名军官和她提议加入这次的行动。<br>你们觉得会是史莱克吗？
,707906,,小子，也许正是你想的这样。不过事情真相到底怎么样，只有继续走下去才知道了。,,,,小子，也许正是你想的这样。不过事情真相到底怎么样，只有继续走下去才知道了。
,708004,,啧，比这个可怕的猜想多了去了。就说这个监狱吧，如果它真的是一个实验室，那么它背后牵连到的人，说不定会是……,,,,啧，比这个可怕的猜想多了去了。就说这个监狱吧，如果它真的是一个实验室，那么它背后牵连到的人，说不定会是……
,708406,,（苍蓝领主拉弥娅被重新关押起来，而屋内仿佛还在回荡着<br>    她嘲讽的笑声。西蒙等人思考着这些犯人所说的话。）,,,,（苍蓝领主拉弥娅被重新关押起来，而屋内仿佛还在回荡着<br>    她嘲讽的笑声。西蒙等人思考着这些犯人所说的话。）
,708603,千纸领主洛伊,呵，还没有发现吗？他早就不在这里了。他被拖到第18层了，现在去的话，你们只能找到变成实验品的躯体吧。,,,,呵，还没有发现吗？他早就不在这里了。他被拖到第18层了，现在去的话，你们只能找到变成实验品的躯体吧。
,708606,莱克,那边已经迫不及待了吗？<br>喂，你们不要忘了我们之间的交易。,,,,那边已经迫不及待了吗？<br>喂，你们不要忘了我们之间的交易。
,708608,莱克,敢推我？你，守卫马克么……我知道了。,,,,敢推我？你，守卫马克么……我知道了。
,708610,莱克,蠢货。,,,,蠢货。
,708611,,史莱克被守卫关到第10层了，典狱长为什么要说谎？,,,,史莱克被守卫关到第10层了，典狱长为什么要说谎？
,708613,,哈哈哈，我说谎？小年轻，被骗得团团转的是你们吧。,,,,哈哈哈，我说谎？小年轻，被骗得团团转的是你们吧。
,708708,,呃……好的。请问莱克是被移监到了第18层吗？之前典狱长告诉我们他被关押在第5层。,,,,呃……好的。请问莱克是被移监到了第18层吗？之前典狱长告诉我们他被关押在第5层。
,708709,,是的，12183号囚犯莱克已被移监到第18层。典狱长大人事务繁忙，或许是记错了。,,,,是的，12183号囚犯莱克已被移监到第18层。典狱长大人事务繁忙，或许是记错了。
,708801,怒涛领主奥古斯,痛快，痛快，真痛快！我被你们关在这里数十年，终于等到这天。人类相互撕咬的嘴脸，比深渊还要恶臭。,,,,痛快，痛快，真痛快！我被你们关在这里数十年，终于等到这天。人类相互撕咬的嘴脸，比深渊还要恶臭。
,708802,怒涛领主奥古斯,你们违背自然元素的规律，进行非法实验，迟早会被吞噬。<br>我们魔神大人，才是世界之主！,,,,你们违背自然元素的规律，进行非法实验，迟早会被吞噬。<br>我们魔神大人，才是世界之主！
,708803,,少逼逼，给我回原来的地方待着吧！,,,,少逼逼，给我回原来的地方待着吧！
,708901,狼蛛领主玛丽,小弟弟，长得还挺俊~要不要和大姐姐合作呀？我知道你们是来找莱克的哦，正好我也受雇救他。,,,,小弟弟，长得还挺俊~要不要和大姐姐合作呀？我知道你们是来找莱克的哦，正好我也受雇救他。
,708902,,救他？是他雇你来的？,,,,救他？是他雇你来的？
,708903,狼蛛领主玛丽,嗯啊，按照约定，他散布谣言，扰乱秩序后，我们去5层救他。没想到他的对手反应也很快，直接把他带下去了。,,,,嗯啊，按照约定，他散布谣言，扰乱秩序后，我们去5层救他。没想到他的对手反应也很快，直接把他带下去了。
,708904,狼蛛领主玛丽,这下可有点麻烦，毕竟再往下，是实验室了呀。虽然赚钱很重要，但是我也不想没命花。所以，我们合作吧。,,,,这下可有点麻烦，毕竟再往下，是实验室了呀。虽然赚钱很重要，但是我也不想没命花。所以，我们合作吧。
,708905,,你是重刑犯人，理应接受应有的惩罚。我绝对不会与你合作。,,,,你是重刑犯人，理应接受应有的惩罚。我绝对不会与你合作。
,708906,狼蛛领主玛丽,小弟弟，你长得挺俊，可惜脑袋却不太好使呀。互惠共利的事情，你怎么就不愿意呢。算了，懒得和你说，我自己想办法。,,,,小弟弟，你长得挺俊，可惜脑袋却不太好使呀。互惠共利的事情，你怎么就不愿意呢。算了，懒得和你说，我自己想办法。
,708907,,你和莱克是同谋，想必你知道他散布谣言的目的。,,,,你和莱克是同谋，想必你知道他散布谣言的目的。
,708908,狼蛛领主玛丽,呵呵，这还用想吗？搅乱局面，是为了自保，也为了突破啊。,,,,呵呵，这还用想吗？搅乱局面，是为了自保，也为了突破啊。
,708909,,自保、突破……我明白了。西蒙，莱克是在利用我们对付他的敌人。也许他根本不知道兰奇的事情，我们还要继续吗？,,,,自保、突破……我明白了。西蒙，莱克是在利用我们对付他的敌人。也许他根本不知道兰奇的事情，我们还要继续吗？
,708910,,大小姐，你也说是也许。不管怎样，我都想赌这一丝机会。况且监狱现在十分混乱，我们也不能置之不理。,,,,大小姐，你也说是也许。不管怎样，我都想赌这一丝机会。况且监狱现在十分混乱，我们也不能置之不理。
,708911,,行了，那就继续向下吧。反正这个小子一向不达目的不罢休。,,,,行了，那就继续向下吧。反正这个小子一向不达目的不罢休。
