,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,string,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,sort,time_type,time_min,time_max,amount_limit,flag,price,awardid,actionid,exchange_id,exchange_ratio
备注,物品id,名称,物品类型,时间类型,时间上限,时间下限,叠加上限,物品flag,售出金币,奖励id,Action id,兑换物品id,兑换率万分比
,3011014,奥兹勋章,2,0,,,9999,128,100,0,0,31,300000
,3011024,帝国双刃,2,0,,,9999,128,100,0,0,31,300000
,3011034,炼狱锁链,2,0,,,9999,128,100,0,0,32,500000
专属勋章(木禅),3011044,世界树枝,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(碧洛丝),3011054,精灵之矢,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(檐鬼),3011064,合金飞镖,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(该影),3011074,般若面具,2,0,,,9999,128,1000,0,0,32,500000
专属勋章(德鲁伊),3011084,萌态熊爪,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(迪罗赞),3011114,黄金臂铠,2,0,,,9999,128,100,0,0,32,500000
,3011124,舰长勋章,2,0,,,9999,128,100,0,0,32,500000
专属勋章(纳塔娜),3011134,粉红兔布偶,2,0,,,9999,128,1000,0,0,32,500000
专属勋章(萨米尔),3011144,盖乌斯巨斧,2,0,,,9999,128,1000,0,0,31,300000
专属勋章(尼薇),3011154,霜天之织,2,0,0,0,9999,128,1000,0,0,32,500000
,3012014,芙蕾雅魔法书,2,0,,,9999,128,100,0,0,31,300000
,3013014,异能手环,2,0,,,9999,128,100,0,0,31,300000
,3013024,荆棘玫瑰,2,0,,,9999,128,100,0,0,31,300000
专属勋章(乔伊),3014014,暗龙图腾,2,0,,,9999,128,1000,0,0,32,500000
