,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,1292002,,我说铁臂，你从哪找来的小鬼。看起来个头小小的，拿着个扑克牌倒是挺厉害的。,,,,
,1292003,,是在问纳塔娜吗？纳塔娜是魔术师哦，最擅长的是追踪魔术和扑克魔法！,,,,
,1292004,,对啦大叔，你之前说的合作人，纳塔娜的扑克牌已经选定答案了♠纳塔娜非常喜欢大哥哥大姐姐他们！,,,,
,1292005,,哦？哈哈哈哈那倒是个不错的选择！西蒙，捉拿通缉犯这事，我一直想给纳塔娜找一些帮手。,,,,
,1292006,,既然纳塔娜这么喜欢你们，而且你们的实力我也十分认同，就决定是你们了！你们愿意负责吗？,,,,
,1292007,,没问题！铁臂大叔，这件事以后就交给我们吧！,,,,
,1292008,,耶！！虽然纳塔娜很高兴，也想马上去和大家抓坏蛋。不过，马戏团开演时间就要到了，纳塔娜的表演秀可不能迟到……,,,,
,1292009,,马戏团表演秀？纳塔娜，你还在马戏团打工吗？,,,,
,1292010,,打工？不是的，纳塔娜可是魔耳朵马戏团的团长呢！哎呀，纳塔娜要迟到了……这样吧，纳塔娜一到休息时间，便马上去找你们！,,,,
,1292011,,哈哈，这纳塔娜倒是一溜烟就跑得没影了。纳塔娜在马戏团的休息时间是周一至周三。到时你们再和她一起合作追踪逃犯吧。,,,,
,1349801,,亲爱的冒险者，你是想参加<color=#bd4104>王牌通缉</color>吗？那必须先完成任务<color=#bd4104>神奇的扑克魔法</color>才行哦。现在你想立即开启这段冒险吗？,当然！,再让我考虑下。,,
