,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,1355301,,努力终有回报，我们小队又在自律联盟更进一步。如今，我们已经成为有资历的赏金猎人，安道夫给的奖励也一定比之前更好。,,,,
,1355401,,安道夫，这么频繁地从你这儿拿走奖金可真是不好意思，我们的升级速度大概让你吃惊了吧？,,,,
,1355402,,哈哈哈，如果每位赏金猎人都像你们这样，那我可就没白发这些奖金了。这是你们这次晋级的奖励，收好了。,,,,
,1355403,,对了，安道夫先生，上次那件事情过后，自律联盟内的谣言有没有平息下来？我听说大部分猎人现在都能接到“遗迹发掘”任务了。,,,,
,1355404,,是我下的命令，允许大部分赏金猎人接取这个类型的任务。虽说还需要些额外的监督人手，不过谣言似乎也渐渐平息下来了。,,,,
,1355405,,中途，我联系了一次乌塔。但这家伙似乎太专注于遗迹探索，只是捎了个口信让我自行处置，真是的，到底他是会长还是我？。,,,,
,1355406,,这还真有点奇怪，自律联盟的会长乌塔先生，他的大名我也听过不止一次了，还以为能见上一面呢。,,,,
,1355407,,那么安道夫先生，现在自律联盟人手不足的话，有没有什么我们能帮上忙的地方？,,,,
,1355408,,不，我想让你们去做更重要的一件事情。,,,,
,1355409,,更重要的事？,,,,
,1355410,,你们上次去“蜜酒与三月兔”的时候，不是提到了看板娘米蕾有些可疑么，我想让你们再去那儿试探她一下。,,,,
,1355411,,毕竟，我也从自己的情报渠道得知，米蕾在之前的谣言散播中，确实起到了推波助澜的作用。,,,,
,1355412,,和我想的一样，那个兔子果然不简单。我们走，去那个酒馆，把这件事情当面问个明白。,,,,
,1355501,,奇怪，米蕾小姐平时不是一直在酒馆门口招揽客人的吗？今天怎么不在？,,,,
,1355502,,不会吧，这个时候玩消失？该不会真的是心里有鬼吧。我们去问问酒馆其他的工作人员，说不定有人知道她的行踪。,,,,
,1355601,,您好，请问您知道米蕾小姐去什么地方了吗？,,,,
,1355602,,米蕾？一小时前，她向我请了个假，然后就匆匆忙忙从后门跑出去了。真是的，店铺生意她都不管了，大家可都是冲着她来的啊。,,,,
,1355603,,从后门跑出去了么？谢谢您。,,,,
,1355701,,麦肯，你来得正好！有看到一个兔族的小姑娘从这里跑过去么？,,,,
,1355702,,您问的是米蕾小姐么？她不久前刚刚经过我的摊位。,,,,
,1355703,,就是她！别客套了，快说她去哪了，我们赶时间。,,,,
,1355704,,她往卡诺萨城后巷方向去了，只是……在你们几位来之前，还有几个打扮很奇怪的人，向我打听过米蕾小姐的行踪。,,,,
,1355705,,奇怪的人？爱琳娜姐姐，我们快点去后巷，这其中说不定还有什么我们所不知道的秘密。,,,,
,1355801,？？？,束手、就擒。,,,,
