,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,sub_type,award_id,money,Core_num,Item1_ID,Item1_num
备注,物品ID,类型,子类型,合成结果,所需金钱数量,核心材料数量,材料1ID,材料1数量
,111,1,4,6000329,1,0,610022,10
,112,1,5,6000327,1,0,610023,10
,113,1,6,6000328,1,0,610024,10
,121,1,1,6000330,1,0,610012,10
,122,1,2,6000331,1,0,610013,10
,123,1,3,6000332,1,0,610014,10
,211,2,1,6000327,1,5,5000012,1
,212,2,2,6000328,1,4,5000023,1
,213,2,3,6000328,1,3,5000034,1
