,required,optional,optional,optional,optional
,uint32,string,string,string,uint32
,id,path,tiny_path,approach,red_flag
备注,物品id,图标路径,小图标路径,来源,是否一直显示红点
,1,Textures/Atlas/Dyn/Item/1.png,Textures/Atlas/Dyn/ItemTiny/1.png,5000;1001;404;9000,0
,4,Textures/Atlas/Dyn/Item/4.png,Textures/Atlas/Dyn/ItemTiny/4.png,601;303;1,0
,8,Textures/Atlas/Dyn/Item/8.png,Textures/Atlas/Dyn/ItemTiny/8.png,601;303,0
,21,Textures/Atlas/Dyn/Item/6.png,,400;404;408,0
,22,Textures/Atlas/Dyn/Item/2.png,Textures/Atlas/Dyn/ItemTiny/2.png,10004,0
,31,Textures/Atlas/Dyn/Item/16.png,,1006,0
,32,Textures/Atlas/Dyn/Item/16.png,,1007,0
,102,Textures/Atlas/Dyn/Item/102.png,,1001,0
,103,Textures/Atlas/Dyn/Item/103.png,,1001,0
,120012,Textures/Atlas/Dyn/Item/120012.png,Textures/Atlas/Dyn/ItemTiny/120012.png,901;1000;9007,0
,120013,Textures/Atlas/Dyn/Item/120013.png,Textures/Atlas/Dyn/ItemTiny/120013.png,10001;10002;303,0
,120023,Textures/Atlas/Dyn/Item/120023.png,,9007;9008;9004,0
,204010,Textures/Atlas/Dyn/Item/204010.png,,1001;406;1,0
,204020,Textures/Atlas/Dyn/Item/204020.png,,1001;406;9004;1,0
,210000,Textures/Atlas/Dyn/Item/210000.png,Textures/Atlas/Dyn/ItemTiny/210000.png,1001;1000;302,0
,210010,Textures/Atlas/Dyn/Item/210010.png,,1,0
,210023,Textures/Atlas/Dyn/Item/210023.png,,1001;603;408,0
,210033,Textures/Atlas/Dyn/Item/19.png,Textures/Atlas/Dyn/ItemTiny/19.png,,0
,410012,Textures/Atlas/Dyn/Item/410012.png,,1,0
,410040,Textures/Atlas/Dyn/Item/410024.png,,400,0
,410041,Textures/Atlas/Dyn/Item/410024.png,,400,0
,410042,Textures/Atlas/Dyn/Item/410024.png,,400,0
,410043,Textures/Atlas/Dyn/Item/410024.png,,400,0
,410044,Textures/Atlas/Dyn/Item/410024.png,,400,0
,421034,Textures/Atlas/Dyn/Item/421024.png,,0,0
,610012,Textures/Atlas/Dyn/Item/16.png,,9007;802;9008,0
,610013,Textures/Atlas/Dyn/Item/16.png,,9007;802;9008,0
,610014,Textures/Atlas/Dyn/Item/16.png,,9007;802;9008,0
,610022,Textures/Atlas/Dyn/Item/16.png,,9007;802;9008,0
,610023,Textures/Atlas/Dyn/Item/16.png,,9007;802;9008,0
,610024,Textures/Atlas/Dyn/Item/16.png,,9007;802;9008,0
,2000054,Textures/Atlas/Dyn/Item/2000054.png,,7007;700;302,0
,2000064,Textures/Atlas/Dyn/Item/2000064.png,,7010;700;302,0
,2000074,Textures/Atlas/Dyn/Item/2000074.png,,1,0
,2011021,Textures/Atlas/Dyn/Item/2011021.png,,7001;7016;700;302,0
,2011032,Textures/Atlas/Dyn/Item/2011032.png,,7016;700;1002;302,0
,2011043,Textures/Atlas/Dyn/Item/2011043.png,,1002,0
,2012021,Textures/Atlas/Dyn/Item/2012021.png,,7001;7016;700;302,0
,2012032,Textures/Atlas/Dyn/Item/2012032.png,,7016;700;1002;302,0
,2012043,Textures/Atlas/Dyn/Item/2012043.png,,1002,0
,2013021,Textures/Atlas/Dyn/Item/2013021.png,,7003;7020;700;302,0
,2013032,Textures/Atlas/Dyn/Item/2013032.png,,7020;700;1002;302,0
