,required,required,required,required
,uint32,uint32,uint32,uint32
,id,approach_skip,data1,data2
备注,来源id,跳转的界面功能id,数据1,数据2
,0,0,0,0
,1,0,0,0
,2,0,0,0
,3,0,0,0
,4,0,0,0
,100,0,0,0
,201,710,0,0
,202,720,0,0
,301,1610,0,0
,302,1660,0,0
,303,1650,0,0
,304,1680,0,0
,400,400,0,0
,401,421,0,0
,402,422,0,0
,403,423,0,0
,404,410,0,0
,405,420,0,0
,406,0,0,0
,407,0,0,0
,408,0,0,0
,500,1300,0,0
,501,1310,0,1
,502,1311,0,1
,503,1310,0,1
,601,1500,0,0
,602,1500,0,0
,603,1500,0,0
,700,2500,10005,0
,701,2500,10005,0
,702,2500,10005,0
,703,2500,10005,0
,801,0,0,0
,802,0,0,0
,901,1800,0,0
,902,1000,0,0
,1000,2600,0,0
,1001,1200,0,0
,1002,0,0,0
,1003,500,0,0
,1004,0,0,0
,1005,0,0,0
,1006,0,0,0
,1007,0,0,0
,5000,0,0,0
,6000,0,0,0
,7000,2200,0,0
,7001,2201,10039,3038
,7002,2202,10039,3029
,7003,2203,10039,3030
,7004,2204,10039,3139
,7005,2205,10039,3028
,7006,2206,10039,3036
,7007,2207,10039,3026
,7008,2208,10039,3043
,7009,2209,10039,3040
,7010,2210,10039,3039
,7011,2211,10039,3041
,7012,2212,10039,3047
,7013,2213,10039,3048
,7014,2214,10039,3143
,7015,2215,10039,3140
,7016,2216,10039,3142
,7017,2217,10039,3146
,7018,2218,10039,3144
,7019,2219,10039,3145
,7020,2220,10039,3141
,9000,1400,10002,0
,9001,3000,10025,0
,9002,3100,10026,0
,9003,1100,10037,0
,9004,2900,10015,0
,9005,0,0,0
,9006,0,0,0
,9007,0,0,0
,9008,0,0,0
,10001,2300,0,0
,10002,2400,0,0
,10004,0,0,0
,100000,201,0,0
,100001,202,0,0
,100002,203,0,0
,100003,204,0,0
,100004,205,0,0
,100005,206,0,0
,100006,207,0,0
,100007,208,0,0
,100008,209,0,0
,100009,801,0,0
,100010,802,0,0
,100011,1900,0,0
