,required,required,required,required,required,required,optional,optional,required
,uint32,uint32,uint32,uint32,uint32,uint32,string,string,string
,id,sceneId,eventType,action,eventType1,action1,Fade,FadeColor,prefabPath
Mark,id,归属场景ID,事件,事件行为,事件,事件行为,淡入淡出 a;b  a:进入对白 b：对白退出 类型：0：无 1：完整的淡入淡出 2：衔接的淡入或者淡出,淡入淡出过渡颜色RGBA,预制路径
,301,3,3,3,6,0,,,Prefab/Cutscene/cg_ShenYuHuiYi.prefab
,1005,10,0,0,0,0,,,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_01.prefab
,1006,10,0,0,0,0,,,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_02.prefab
,1007,10,0,0,0,0,,,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_03.prefab
,1008,10,0,0,0,0,,,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_04.prefab
,1009,10,0,0,0,0,,,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_05.prefab
,1010,10,0,0,0,0,,,Prefab/Cutscene/cg_KaNuoSaZhanZheng_01.prefab
,1011,10,0,0,0,0,,,Prefab/Cutscene/cg_maincity_patroltask_01.prefab
,1012,10,0,0,0,0,,,Prefab/Cutscene/cg_maincity_patroltask_02.prefab
,1013,10,0,0,0,0,,,Prefab/Cutscene/cg_maincity_qianwangfeichuan.prefab
,1014,10,0,0,0,0,1;1,"0,0,0,100",Prefab/Cutscene/cg_HuPanZhenIamComing.prefab
,1015,10,0,0,0,0,,,Prefab/Cutscene/cg_WangPaiTongJi_01.prefab
,1016,10,0,0,0,0,,,Prefab/Cutscene/cg_WangPaiTongJi_02.prefab
,1017,10,0,0,0,0,1;0,"0,0,0,100",Prefab/Cutscene/cg_yesekanuosa_02.prefab
,1018,10,0,0,0,0,1;1,"0,0,0,100",Prefab/Cutscene/cg_Yesekanuosa_03.prefab
,1019,10,0,0,0,0,,,Prefab/Cutscene/cg_GoldMonster.prefab
,1020,10,0,0,0,0,1;0,"0,0,0,100",Prefab/Cutscene/cg_yesekanuosa_01.prefab
,1021,10,0,0,0,0,,,Prefab/Cutscene/cg_YuCiTongShi_AnYueCheng.prefab
,1022,10,0,0,0,0,1;0,"0,0,0,100",Prefab/Cutscene/cg_BackQiDian.prefab
,1023,10,0,0,0,0,1;0,"0,0,0,100",Prefab/Cutscene/cg_BackQiDian2.prefab
,1024,10,0,0,0,0,,,Prefab/Cutscene/cg_ZhanDouLiFenXi.prefab
,1025,10,0,0,0,0,,,Prefab/Cutscene/cg_ZiLvLianMengPre.prefab
,1026,10,0,0,0,0,,,Prefab/Cutscene/cg_RewardTask_FirstTask_MainCity.prefab
,1027,10,0,0,0,0,1;0,"0,0,0,100",Prefab/Cutscene/cg_ZuoNa_Confession_1.prefab
,2131,21,0,0,0,0,,,Prefab/Cutscene/cg_LuXiPass_01.prefab
,2132,21,0,0,0,0,,,Prefab/Cutscene/cg_lmdl_FengChe.prefab
,2133,21,0,0,0,0,,,Prefab/Cutscene/cg_SceneAnimation_Dengta.prefab
,2134,21,0,0,0,0,,,Prefab/Cutscene/cg_WenLiMengJingZhiXian_01.prefab
,2135,21,0,0,0,0,,,Prefab/Cutscene/cg_HangHaiChuanQi_JiSuiJiaoShi.prefab
,2136,21,0,0,0,0,,,Prefab/Cutscene/cg_yucitongshi_1.prefab
,2138,21,0,0,0,0,,,Prefab/Cutscene/cg_yucitongshi_03.prefab
,2139,21,0,0,0,0,,,Prefab/Cutscene/cg_lmdl_ZhuXian_AiHaoShenDian_01.prefab
,2140,21,0,0,0,0,,,Prefab/Cutscene/cg_RewardTask_FirstArrest.prefab
,2718,27,0,0,0,0,,,Prefab/Cutscene/AiHaoShenDian_CG06.prefab
,2719,27,0,0,0,0,,,Prefab/Cutscene/cg_ahsd_HuoBaYinDao.prefab
