,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,levelId,groupId,playWay,battleResult,action,actionId,triggerType,data1,data2,loop
Mark,id,关卡id,怪物组id,播放时机,战斗结果,事件行为,事件参数,触发类型,触发参数,触发参数,是否每次执行
,100000,3001,2701,1,0,0,111,0,0,0,0
,100003,3021,200068,1,0,1,5007,1,0,0,0
,100004,3021,200067,2,1,1,5009,1,0,0,0
,100006,3032,200105,1,0,1,5018,1,0,0,0
,100007,3033,200101,2,1,1,5020,1,0,0,0
,100008,3033,200102,2,1,1,5020,1,0,0,0
,100009,3033,200103,2,1,1,5020,1,0,0,0
,100010,3033,200104,2,1,1,5020,1,0,0,0
,100011,3031,200090,1,0,1,5092,1,0,0,0
,100012,3031,200083,1,0,1,5005,1,0,0,0
,100013,3031,200083,2,0,2,15302,1,0,0,0
,100021,3023,200182,2,1,1,5109,1,0,0,0
,100022,3023,200179,2,1,1,5110,1,0,0,0
,100026,3021,200068,2,1,1,5144,1,0,0,0
,100033,3027,200202,2,1,1,5173,1,0,0,0
,100035,3029,300104,2,1,1,6891,1,0,0,0
,100036,3027,200204,2,1,2,15902,1,0,0,0
,100037,3030,200224,1,0,1,5187,1,0,0,0
,100038,3030,200224,2,1,1,5188,1,0,0,0
,100041,3030,200230,2,1,1,6891,1,0,0,0
,100042,3038,200236,2,1,1,6891,1,0,0,0
,100043,3036,200220,2,1,1,6891,1,0,0,0
,100050,3027,200209,1,0,1,5216,1,0,0,1
,100052,3023,200176,1,0,1,5217,1,0,0,1
,100053,3023,200177,1,0,1,5217,1,0,0,1
,100054,3023,200175,1,0,1,5217,1,0,0,1
,100055,3028,200208,2,1,1,6891,1,0,0,0
,100056,3041,200249,2,1,1,6891,1,0,0,1
,100058,3042,200251,2,1,2,16301,1,0,0,0
,100059,3045,200263,1,0,1,5264,1,0,0,0
,100060,3045,200266,1,0,1,5267,1,0,0,0
,100061,3046,200271,1,0,1,5268,1,0,0,0
,100062,3046,200271,2,1,1,5269,1,0,0,0
,100063,2001,900271,2,1,1,10784,1,0,0,0
,100067,3042,200254,2,1,1,5247,1,0,0,0
,100068,3045,200266,2,1,1,5280,1,0,0,0
,100069,3047,200276,2,1,1,6891,1,0,0,0
,100070,3048,200285,2,1,1,6891,1,0,0,0
,100071,2001,900264,2,1,1,11976,1,0,0,0
,100072,3052,200303,1,0,1,5287,1,0,0,0
,100073,3052,200303,2,1,1,5288,1,0,0,0
,100074,3053,200304,1,0,1,5303,1,0,0,0
,100075,3053,200304,2,1,1,5304,1,0,0,0
,100076,2003,900290,2,1,1,11532,1,0,0,0
,100077,2003,900298,2,1,1,11018,1,0,0,0
,100078,2003,900295,2,1,1,11032,1,0,0,0
,100082,3056,200138,1,0,1,5804,1,0,0,0
,100083,3056,200138,2,1,1,5809,1,0,0,0
,100088,3058,200140,1,0,1,5914,1,0,0,0
,100089,3058,200337,1,0,1,5955,1,0,0,0
,100104,3054,200310,2,1,1,5412,1,0,0,0
,100106,2001,900308,2,1,1,11159,1,0,0,0
,100107,2001,900261,2,1,1,11153,1,0,0,0
,100108,2001,900265,2,1,1,11233,1,0,0,0
,100110,2003,900329,1,0,1,11325,1,0,0,0
,100111,2003,900330,1,0,1,11327,1,0,0,0
,100112,2003,900331,1,0,1,11329,1,0,0,0
,100113,2003,900332,1,0,1,11331,1,0,0,0
,100114,2001,900316,2,1,1,11333,1,0,0,0
,100115,2003,900336,1,0,1,11340,1,0,0,0
,100116,2003,900337,1,0,1,11341,1,0,0,0
,100117,2003,900338,1,0,1,11342,1,0,0,0
,100118,2003,900344,1,0,1,11360,1,0,0,0
,100119,2003,900345,1,0,1,11362,1,0,0,0
,100120,2003,900346,1,0,1,11370,1,0,0,0
,100121,2003,900347,1,0,1,11372,1,0,0,0
,100122,2003,900347,2,1,1,11373,1,0,0,0
,100123,2003,900348,1,0,1,11375,1,0,0,0
,100124,2003,900349,1,0,1,11377,1,0,0,0
,100125,2003,900343,2,1,1,11356,1,0,0,0
,100126,2003,900350,1,0,1,11386,1,0,0,0
,100127,2003,900351,1,0,1,11388,1,0,0,0
,100129,2003,900353,1,0,1,11392,1,0,0,0
,100133,3056,200343,2,1,1,5843,1,0,0,0
,100134,3071,200330,2,1,1,5447,1,0,0,0
,100137,3060,200315,1,0,1,5542,1,0,0,0
,100151,2002,900366,2,1,1,11491,1,0,0,0
,100152,2003,900294,2,1,1,11547,1,0,0,0
,100153,2003,900291,2,1,1,11536,1,0,0,0
,100154,2003,900368,2,1,1,11527,1,0,0,0
,100156,2003,900293,2,1,1,11549,1,0,0,0
,100157,3073,200353,2,1,2,16801,1,0,0,0
,100158,3073,200355,2,1,1,7091,1,0,0,0
,100159,3073,200356,1,0,1,6173,1,0,0,0
,100160,3073,200356,2,1,1,6174,1,0,0,0
,100161,3060,200341,2,1,1,5568,1,0,0,0
,100162,3058,200338,1,0,1,6177,1,0,0,0
,100163,3058,200337,2,1,1,6178,1,0,0,0
,100164,3056,200342,2,1,1,6179,1,0,0,0
,100166,2003,900378,1,0,1,11616,1,0,0,0
,100167,2003,900379,1,0,1,11618,1,0,0,0
,100170,2003,900377,1,0,1,11603,1,0,0,0
,100174,2003,900380,1,0,1,11651,1,0,0,0
,100175,2003,900381,1,0,1,11653,1,0,0,0
,100176,3078,200376,2,1,1,6226,1,0,0,0
,100181,3081,200380,1,0,1,6240,1,0,0,0
,100182,3081,200380,2,1,1,6241,1,0,0,0
,100189,3086,200412,1,0,1,6294,1,0,0,0
,100190,3086,200416,2,1,1,6298,1,0,0,0
,100192,3087,200409,2,1,2,17003,1,0,0,0
,100193,2004,900434,1,0,1,12014,1,0,0,0
,100194,2004,900435,1,0,1,12016,1,0,0,0
,100195,2004,900436,1,0,1,12018,1,0,0,0
,100196,2005,900442,1,0,1,12127,1,0,0,0
,100197,2005,900443,1,0,1,12129,1,0,0,0
,100198,2005,900444,1,0,1,12131,1,0,0,0
,100199,2005,900445,1,0,1,12133,1,0,0,0
,100200,2005,900446,1,0,1,12147,1,0,0,0
,100201,2005,900448,1,0,1,12151,1,0,0,0
,100202,2005,900449,1,0,1,12153,1,0,0,0
,100204,2005,900450,1,0,1,12171,1,0,0,0
,100205,2005,900452,1,0,1,12172,1,0,0,0
,100206,3024,200191,2,1,1,5122,1,0,0,0
,100208,3043,200262,2,1,1,6891,1,0,0,0
,100210,3023,200424,2,1,1,6322,1,0,0,0
,100217,3073,200436,2,1,1,6343,1,0,0,0
,100219,3085,200402,2,1,2,16503,1,0,0,0
,100220,3032,200437,2,1,1,6390,1,0,0,0
,100221,3032,200438,2,1,1,6390,1,0,0,0
,100226,3091,200426,1,0,1,6455,1,0,0,0
,100227,3091,200426,2,1,1,6460,1,0,0,0
,100228,3091,200441,1,0,1,6456,1,0,0,0
,100229,3091,200441,2,1,1,6460,1,0,0,0
,100230,3091,200442,1,0,1,6457,1,0,0,0
,100231,3091,200442,2,1,1,6460,1,0,0,0
,100232,3091,200443,1,0,1,6458,1,0,0,0
,100233,3091,200443,2,1,1,6460,1,0,0,0
,100234,3091,200444,1,0,1,6459,1,0,0,0
,100235,3091,200444,2,1,1,6460,1,0,0,0
,100236,3091,200427,1,0,1,6478,1,0,0,0
,100237,3091,200445,1,0,1,6479,1,0,0,0
,100238,3091,200446,1,0,1,6480,1,0,0,0
,100239,3091,200447,1,0,1,6481,1,0,0,0
,100240,3091,200448,1,0,1,6482,1,0,0,0
,100245,2005,900457,2,1,1,12268,1,0,0,0
,100298,2005,900562,1,0,1,12611,1,0,0,0
,100299,2005,900564,1,0,1,12615,1,0,0,0
,100300,2001,900529,2,1,1,12491,1,0,0,0
,100301,2001,900560,2,1,1,12655,1,0,0,0
,100302,3145,200721,2,1,1,6891,1,0,0,0
,100303,3039,200241,2,1,1,6891,1,0,0,0
,100304,3139,200689,2,1,1,6891,0,0,0,0
,100305,3140,200692,2,1,1,6891,1,0,0,0
,100306,3141,200699,2,1,1,6891,1,0,0,0
,100307,3142,200704,2,1,1,6891,1,0,0,0
,100308,3143,200709,2,1,1,6891,1,0,0,0
,100309,3144,200713,2,1,1,6891,1,0,0,0
,100310,3146,200735,2,1,1,6891,1,0,0,0
,100311,1000,900592,2,1,1,12712,1,0,0,0
,100314,3147,200738,2,1,1,6913,1,0,0,0
,100317,2001,900595,2,1,1,12791,1,0,0,0
,100318,2001,900479,1,0,1,12825,1,0,0,0
,100320,1000,900593,2,1,1,12910,1,0,0,0
,100322,2001,800115,1,0,1,60023,1,0,0,0
,100323,2001,800116,1,0,1,60025,1,0,0,0
,100324,2001,800117,1,0,1,60027,1,0,0,0
,100325,2001,800118,1,0,1,60029,1,0,0,0
,100326,2001,800119,1,0,1,60031,1,0,0,0
,100327,2001,800120,1,0,1,60033,1,0,0,0
,100328,2001,800121,1,0,1,60035,1,0,0,0
,100329,2001,800122,1,0,1,60037,1,0,0,0
,100330,2001,800123,1,0,1,60039,1,0,0,0
,100331,2001,800236,1,0,1,60041,1,0,0,0
,100332,2001,800237,1,0,1,60043,1,0,0,0
,100333,2001,800115,2,1,1,60024,1,0,0,0
,100334,2001,800116,2,1,1,60026,1,0,0,0
,100335,2001,800117,2,1,1,60028,1,0,0,0
,100336,2001,800118,2,1,1,60030,1,0,0,0
,100337,2001,800119,2,1,1,60032,1,0,0,0
,100338,2001,800120,2,1,1,60034,1,0,0,0
,100339,2001,800121,2,1,1,60036,1,0,0,0
,100340,2001,800122,2,1,1,60038,1,0,0,0
,100341,2001,800123,2,1,1,60040,1,0,0,0
,100342,2001,800236,2,1,1,60042,1,0,0,0
,100343,2001,800237,2,1,1,60044,1,0,0,0
,100344,3152,200771,1,0,1,6945,1,0,0,0
,100345,3151,200748,1,0,1,6933,1,0,0,0
,100346,3151,200749,1,0,1,6933,1,0,0,0
,100347,3151,200750,1,0,1,6933,1,0,0,0
,100348,3151,200751,1,0,1,6933,1,0,0,0
,100349,3151,200752,1,0,1,6933,1,0,0,0
,100350,3151,200753,1,0,1,6933,1,0,0,0
,100351,3154,200785,1,0,2,1022,0,0,0,1
,100352,3154,200786,1,0,2,1022,0,0,0,1
,100353,3154,200787,1,0,2,1022,0,0,0,1
,100354,3154,200788,1,0,2,1023,0,0,0,1
,100355,3154,200789,1,0,2,1023,0,0,0,1
