,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,301,,战斗教学,,,,战斗教学
,1001,,既然他不打算手下留情，那我也全力以赴以示尊敬吧。,,,,既然他不打算手下留情，那我也全力以赴以示尊敬吧。
,1101,,好，造成伤害了。就让我一鼓作气将这家伙打倒吧。,,,,好，造成伤害了。就让我一鼓作气将这家伙打倒吧。
,1201,,这家伙，真是有点棘手……<br>看来他的攻击已经告一段落，到我出手了！,,,,这家伙，真是有点棘手……<br>看来他的攻击已经告一段落，到我出手了！
,2001,,哈，来得正好，我正想熟悉熟悉前阵子新学的两个剑招。<br>就麻烦你充当一下木桩，供我练习招式衔接咯！,,,,哈，来得正好，我正想熟悉熟悉前阵子新学的两个剑招。<br>就麻烦你充当一下木桩，供我练习招式衔接咯！
,2101,,哦，刚好奥义值已经累积得足够了，那么<br>接招吧，量化·正义裁决！,,,,哦，刚好奥义值已经累积得足够了，那么<br>接招吧，量化·正义裁决！
,2201,,什么，我的攻击刚告一段落，他就抓准时机攻了过来？<br>这家伙……真是顽强！,,,,什么，我的攻击刚告一段落，他就抓准时机攻了过来？<br>这家伙……真是顽强！
,2202,,生命条下方有<color=#bd4104>三个标记</color>，代表他这轮攻击能施放三个技能。<br>得小心应对，不能大意了。,,,,生命条下方有<color=#bd4104>三个标记</color>，代表他这轮攻击能施放三个技能。<br>得小心应对，不能大意了。
,3001,,奥兹家族的家训说过，要认真对待每一场挑战。<br>虽说你是女生，但我也不会手下留情的。,,,,奥兹家族的家训说过，要认真对待每一场挑战。<br>虽说你是女生，但我也不会手下留情的。
,3002,,……话是这么说，但这女生还挺强的，我可不想输在她的<br>手上。看来，得好好规划一下战斗的策略了……,,,,……话是这么说，但这女生还挺强的，我可不想输在她的<br>手上。看来，得好好规划一下战斗的策略了……
,3101,,首先，用飞天·重斩<color=#bd4104>（技能2）</color>给它施加<color=#bd4104>碎甲</color>状态，<br>降低它的防御力！,,,,首先，用飞天·重斩<color=#bd4104>（技能2）</color>给它施加<color=#bd4104>碎甲</color>状态，<br>降低它的防御力！
