,id,des
备注,系统解锁Id,系统功能说明
羁绊（备注中写实际解锁的按钮）,2,羁绊
英雄升级,3,英雄升级
英雄突破,4,英雄突破
装备,5,装备强化
符文镶嵌,9,符文
符文升级,10,符文升级
本命助力,11,本命
装备进阶,6,装备进阶
装备升星,7,装备升星
英雄,8,技能升级
本命升级,12,本命
本命升星,13,本命升星
速递,14,速递
编队,16,编队
公会,17,公会
竞技场,18,竞技场
帝国红蓝特典,19,帝国红蓝特典
改名,20,改名
好友,21,好友
好友宝箱,22,好友宝箱
商城,23,商城
讨伐领主,24,讨伐领主
多人副本,25,多人副本
自律联盟,26,自律联盟
每日副本,27,每日副本
温丽的梦境,28,温丽的梦境
每日课程,29,每日课程
问卷1,30,问卷1
问卷2,31,问卷2
限时副本-魔物入侵,32,雾海的危机
佣兵考核,33,佣兵考核
战技研习,34,战技研习
英雄特训,35,英雄特训
福利,36,福利
风迹速递,37,风迹速递
秘境探索,38,秘境探索
王牌通缉,39,王牌通缉
战力显示,40,战力显示
奥兹光与暗,41,奥兹光与暗
魔法议会,42,魔法议会
奇迹学院,43,奇迹学院
密林国度,44,密林国度
圣界活动,45,圣界活动
英豪领域,46,英豪领域
冒险方略,47,冒险方略
新插入的CBT1版本问卷,48,问卷3
王牌通缉,53,王牌通缉
温丽梦境,54,温丽梦境
雾海的危机,55,雾海的危机
自律联盟前置第二阶段,56,喂猫、美食
