,id,name,desc
备注,id,名字,描述
,0,暂无玩法或活动,目前暂无获取途径
,1,部分玩法或活动,可从<color=#FFA517>部分玩法或活动</color>中获得
,2,预约活动,可在<color=#FFA517>预约人数满300000</color>时获得
,3,消耗干劲,可通过<color=#FFA517>消耗干劲</color>获得
,4,时间回复,可通过<color=#FFA517>时间流逝</color>得到回复
,100,充值活动,可通过<color=#FFA517>充值活动</color>获得
,201,速递·艾恩速达,可通过<color=#FFA517>速递·艾恩速达</color>获得
,202,速递·友达投递,可通过<color=#FFA517>速递·友达投递</color>获得
,301,贩售商城·公会,<color=#FFA517>贩售商城·公会</color>中<color=#FFA517>刷新出现</color>后可购买
,302,贩售商城·梦境,<color=#FFA517>贩售商城·梦境</color>中<color=#FFA517>刷新出现</color>后可购买
,303,贩售商城·勇者,可在<color=#FFA517>贩售商城·勇者</color>中购买
,304,贩售商城·速递,<color=#FFA517>贩售商城·速递</color>中<color=#FFA517>刷新出现</color>后可购买
,401,自律联盟·巡查,可通过完成<color=#FFA517>自律联盟·巡查</color>任务获得
,402,自律联盟·委托,可通过完成<color=#FFA517>自律联盟·委托</color>任务获得
,403,自律联盟·悬赏,可通过完成<color=#FFA517>自律联盟·悬赏</color>任务获得
,406,自律联盟·美食,可通过完成<color=#FFA517>自律联盟·美食</color>任务获得
,407,自律联盟·逗猫,可通过完成<color=#FFA517>自律联盟·逗猫</color>任务获得
,408,自律联盟·随机,可通过完成<color=#FFA517>自律联盟·随机</color>任务获得
,500,公会,可通过<color=#FFA517>公会</color>获得
,501,公会募捐,可通过<color=#FFA517>公会募捐</color>获得
,502,帝国悬赏,可通过<color=#FFA517>帝国悬赏</color>获得
,503,公会礼袋,可通过<color=#FFA517>公会礼袋</color>获得
,601,抵御魔族·经验,可通过<color=#FFA517>抵御魔族·经验</color>获得
,602,区域探索·金币,可通过<color=#FFA517>区域探索·金币</color>获得
,603,区域探索·物资,可通过<color=#FFA517>区域探索·物资</color>获得
,700,多人副本,可在<color=#FFA517>多人副本</color>中获得
,701,多人副本·卡诺萨战争,可在<color=#FFA517>多人副本·卡诺萨战争</color>中获得
,702,多人副本·森之幻界,可在<color=#FFA517>多人副本·森之幻界</color>中获得
,703,多人副本·魔族之心,可在<color=#FFA517>多人副本·魔族之心</color>中获得
,801,探索层·野外怪物,可通过战胜<color=#FFA517>探索层野外怪物</color>获得
,802,探索层·宝箱,可通过开启<color=#FFA517>探索层宝箱</color>获得
,901,好友宝箱,可通过开启<color=#FFA517>好友宝箱</color>获得
,902,讨伐领主,可通过<color=#FFA517>讨伐领主</color>获得
,1000,每日签到,可通过<color=#FFA517>每日签到</color>获得
,1001,每日课程,可通过完成<color=#FFA517>每日课程</color>获得
,1002,晶尘合成,可通过<color=#FFA517>晶尘合成</color>获得
,1003,符文合成,可通过<color=#FFA517>符文合成</color>获得
,1004,羁绊,可通过提升<color=#FFA517>羁绊</color>获得
,1005,分解本命,可通过<color=#FFA517>分解本命</color>获得
,1006,兑换,可通过<color=#FFA517>SR英雄共鸣材料</color>兑换获得
,1007,兑换,可通过<color=#FFA517>SSR英雄共鸣材料</color>兑换获得
,5000,主线任务,可通过<color=#FFA517>主线任务</color>获得
,6000,支线任务,可通过<color=#FFA517>支线任务</color>获得
,7000,秘境探索,可在<color=#FFA517>秘境探索</color>中获得
,7001,秘境探索·饿狼巢穴,可在<color=#FFA517>秘境探索·饿狼巢穴</color>中获得
,7002,秘境探索·玫瑰团驻地,可在<color=#FFA517>秘境探索·玫瑰团驻地</color>中获得
,7003,秘境探索·哥布林巢穴,可在<color=#FFA517>秘境探索·哥布林巢穴</color>中获得
,7004,秘境探索·诡异的左相府,可在<color=#FFA517>秘境探索·诡异的左相府</color>中获得
,7005,秘境探索·露西蒂尼之墓,可在<color=#FFA517>秘境探索·露西蒂尼之墓</color>中获得
,7006,秘境探索·哀嚎神殿,可在<color=#FFA517>秘境探索·哀嚎神殿</color>中获得
,7007,秘境探索·魔族之心,可在<color=#FFA517>秘境探索·魔族之心</color>中获得
,7008,秘境探索·荒原古堡,可在<color=#FFA517>秘境探索·荒原古堡</color>中获得
,7009,秘境探索·沙海虫巢,可在<color=#FFA517>秘境探索·沙海虫巢</color>中获得
,7010,秘境探索·风沙堡,可在<color=#FFA517>秘境探索·风沙堡</color>中获得
,7011,秘境探索·银母矿洞,可在<color=#FFA517>秘境探索·银母矿洞</color>中获得
,7012,秘境探索·凋零之地,可在<color=#FFA517>秘境探索·凋零之地</color>中获得
,7013,秘境探索·树心城,可在<color=#FFA517>秘境探索·树心城</color>中获得
,7014,秘境探索·失事飞船,可在<color=#FFA517>秘境探索·失事飞船</color>中获得
,7015,秘境探索·枭鹰矿洞,可在<color=#FFA517>秘境探索·枭鹰矿洞</color>中获得
,7016,秘境探索·枭鹰邦域,可在<color=#FFA517>秘境探索·枭鹰邦域</color>中获得
,7017,秘境探索·神迹实验室,可在<color=#FFA517>秘境探索·神迹实验室</color>中获得
,7018,秘境探索·深海实验室,可在<color=#FFA517>秘境探索·深海实验室</color>中获得
,7019,秘境探索·黄金立方,可在<color=#FFA517>秘境探索·黄金立方</color>中获得
,7020,秘境探索·黑龙战舰,可在<color=#FFA517>秘境探索·黑龙战舰</color>中获得
,9000,温丽的梦境,可在<color=#FFA517>温丽的梦境</color>中获得
,9001,圣界来袭,可在<color=#FFA517>圣界来袭</color>中获得
,9002,王牌通缉,可在<color=#FFA517>王牌通缉</color>中获得
,9003,帝国红蓝特典,可在<color=#FFA517>帝国红蓝特典</color>中获得
,9004,雾海的危机,可在<color=#FFA517>雾海的危机</color>中获得
,9005,每日速递,可在<color=#FFA517>每日速递</color>中获得
,9006,黄金怪盗之约,可在<color=#FFA517>黄金怪盗之约</color>中获得
,9007,泰坦沙场,可在<color=#FFA517>泰坦沙场</color>中获得
,9008,月夜狼人,可在<color=#FFA517>月夜狼人</color>中获得
,10001,骑士转正考核,可在<color=#FFA517>骑士转正考核</color>中获得
,10002,新人登入福利,可在<color=#FFA517>新人登入福利</color>中获得
,10004,荣光夺还战,可在<color=#FFA517>荣光夺还战</color>中获得
