,id,title,desc
备注,id,标题,描述
,1010161,称号·战痕,一次战斗中，西蒙获得4层奥兹刻痕。
,1010162,称号·裂羽,一次战斗中，米兰达触发10次暴击。
,1010163,称号·王牌,一次战斗中，纳塔娜抽取10张鬼牌。
,1010164,称号·狂怒,一次战斗中，萨米尔获得20层怒刃印记。
,1010165,称号·焰祭,一次战斗中，温丽获得15个焰火祭典。
,1010166,称号·烈击,一次战斗中，爱琳娜施加4次虚弱状态。
,1010167,称号·圣卫,一次战斗中，泰雷成功格挡10次。
,1010168,称号·炫华,一次战斗中，爱琪释放10次【技能1】。
,1010169,称号·堕狱,一次战斗中，兰奇获得5枚炼狱之痕。
,1010170,称号·幽林,一次战斗中，木禅施加5次缠绕状态。
,1010171,称号·诡刻,一次战斗中，檐鬼施加40层飞镖印记。
,1010172,称号·飒风,一次战斗中，葛莱蒂丝获得40枚风之箭矢。
,1010173,称号·咒月,一次战斗中，夜崎隐使用4次辅助技。
,1010174,称号·森舞,一次战斗中，阿德琳获得20层生命印记。
,1010175,称号·黯咒,一次战斗中，乔伊获得10层暗龙印记。
,1010176,称号·停不下来,一次战斗中，打断对方技能6次。
,1010177,称号·乖乖站好,一次战斗中，施放【奥义技】6次。
,1010178,称号·溜了溜了,一次战斗中，援护登场6次。
,1010179,称号·不服来怼,一次战斗中，施放【辅助技】6次。
,1010180,称号·谢谢参与,累计签收速递200次。
,1010181,称号·豹跳,签收10件速递获得SSR级别以上的英雄2位。
,1010182,称号·舒适,连续签收75次速递未获得SSR及以上的英雄。
,1010183,称号·绅♂士,在签收速递中，连续获得女性英雄5位。
,1010184,称号·淑♀女,在签收速递中，连续获得男性英雄5位。
,1010185,称号·归零,累计清空干劲5次。
,1010515,称号·歼灭者,使用【奥义技】战胜200个怪物。
,1010516,称号·共战者,完成多人秘境50次。
,1010517,称号·么么哒,1位英雄的亲密度达到最高。
,1010518,称号·侦查论,累计开启探索层的霜蓝晶箱300个。
,1010519,称号·炼金术,累计将5个英雄的4件装备提升至橙色SR品质。
,1010520,称号·纹章学,累计将20个紫色及以上品质的符文升至5级。
,1010521,称号·帝国勇士,完成第一片区主线剧情。
,2010000,战队等级达到15级,战队等级达到15级
,2010001,加入公会,加入公会
,2010002,添加3个好友,添加3个好友
,2010003,完成主线任务“哥布林巢穴”,完成主线任务“哥布林巢穴”
,2010004,讨伐5次任意品质领主,讨伐5次任意品质领主
,2010005,任意英雄达到27级,任意英雄达到27级
,2010006,开启1个曜金箱,开启1个曜金箱
