,id,name,des,functionDes,shop_des
备注,id,名称,描述,功能描述,商城功能描述
,1,罗兰钻,仅限帝国官方开采的稀有矿石，闪着魔法之光。,可在“贩售商城”中购买各类奇珍异宝。,可在“贩售商城”中购买各类奇珍异宝。
,2,星石,传说中从星穹殿坠落的神秘结晶，数量稀少。可用于换取罗兰钻。,传说中从星穹殿坠落的神秘结晶，数量稀少。可用于换取罗兰钻。,传说中从星穹殿坠落的神秘结晶，数量稀少。可用于换取罗兰钻。
,3,金币,罗兰帝国官方规定的通用货币，使用黄金铸造。,可在贩售商城中使用，也可在英雄、本命育成时使用。,可在贩售商城中使用，也可在英雄、本命育成时使用。
,4,英雄经验,无论是小镇还是神殿，有你的每一次冒险都值得纪念。,用于英雄升级，丰富的战斗经验是你努力奋斗的证明。,用于英雄升级，丰富的战斗经验是你努力奋斗的证明。
,5,战队经验,纯粹的友情被深深地印在过往岁月之中，感动至今。,用于战队升级，这份经验是独属于你们的光荣。,用于战队升级，这份经验是独属于你们的光荣。
,6,出战经验,与你并肩作战的记忆，是最珍贵的礼物。,用于英雄升级，每一场战斗都会带来丰富的经验。,用于英雄升级，每一场战斗都会带来丰富的经验。
,8,本命经验,冒险后，你将获得本命勋章，可用于本命升级。,用于本命升级，是诸神对本命的祝福。,用于本命升级，是诸神对本命的祝福。
,9,干劲,烈日般的工作热情，浪潮般的工作热情，狂风般的工作热情，总之冲呀！,用于日常活动（包括自律联盟、温丽梦境、秘境探索等相关活动）。,用于日常活动（包括自律联盟、温丽梦境、秘境探索等相关活动）。
,10,新装券,新装，拥抱未来的无限可能。,可在“时装商店”中兑换英雄的时装。,可在“时装商店”中兑换英雄的时装。
,11,荣誉点数,属于冒险者的荣耀，是强悍实力的象征。,可在“荣誉商铺”中购买物品。,可在“荣誉商铺”中购买物品。
,12,公会贡献,自律联盟专门为下属的公会设计制作的的军功章。,可在“贩售商城·公会”中购买物品。,可在“贩售商城·公会”中购买物品。
,13,英雄纹章,自由战争时期的产物，为表彰战士们而铸成。,可在“贩售商城·速递”中兑换英雄共鸣材料。,可在“贩售商城·速递”中兑换英雄共鸣材料。
,14,本命币,神明碎片幻化而成的本命，带来神奇的力量。,可在“贩售商城·速递”中兑换本命异晶、随机本命卡等本命相关物品。,可在“贩售商城·速递”中兑换本命异晶、随机本命卡等本命相关物品。
,15,勇者奖章,激发深埋内心的勇者战魂，展开一场刺激的战斗。,可在“贩售商城·勇者”中购买物品。,可在“贩售商城·勇者”中购买物品。
,16,记忆碎片,时间魔法的结晶，蕴含转换时空的能量。,可在“贩售商城·梦境”中兑换物品。,可在“贩售商城·梦境”中兑换物品。
