,id,dialog
备注,NPC对话配置的id,对话文字
,10000,自律联盟刚成立时非常混乱， 没想到能发展到如此规模。
,10001,我十分敬佩我们的初代会长阿 米达，他既强大又富有魅力。
,10002,我听说初代会长是在一次任务 中身亡，这实在太诡异了。
,10003,希望继任的会长乌塔能继承初 代的意志，继续发扬联盟。
,10004,很高兴大家喜欢我的歌声，希 望大家能从歌声里得到慰藉。
,10005,旋转，跳跃，我闭着眼。嘿！ 别闹，我是歌姬可不是舞姬。
,10006,音乐曾是我的精神支柱，我希 望它也能点亮大家的道路。
,10007,耶！最后是安可曲~水是水，火是火，加起来是水蒸气。
,10008,没有最便宜，只有更便宜。这 些可都是古加尼尔的珍稀品。
,10009,看你骨骼清奇，面相姣好，我 决定将这盔甲卖你，来一个？
,10010,这是最后一件了，你要的话我 就给你最大的折扣，九九折。
,10011,面包在手，天下我有。一式两 用，既能充饥又能防身。
,10012,不要问我家东西为何这么好 吃，没看到我的太阳之手吗？
,10013,这是新品：诺式蛋糕88号泰 坦蛋糕，绝对让你赞不绝口。
,10014,你们不要蛋糕只要面包？可 是，我做的蛋糕也很好吃啊！
,10015,其实我喜欢做的是蛋糕啊！为 什么大家只喜欢我做的面包？
,10016,还好找回了球球最爱的球球，不然球球就没得玩球球了。
,10017,球球的球球像极了球球，但这可不是球球喜欢球球的原因。
,10018,球球的必杀技是啾啾球，啾啾球是充满回旋力的球球，啾~
,10019,咕叽，咕叽咕。（一群傻瓜，跪拜在我可爱的外在下吧！)
,10020,咕，咕，咕叽。（你们这些人科混蛋，不要随便碰我啊！）
,10021,咕叽，叽咕。（别看树精个头小，我们迟早会征服世界。）
,10022,叽！咕叽~（哈哈！到时就让人类当我的饲养工具，叽~）
,10023,求求你们，我已经太老了，只能祈求你们分点小钱给我。
,10024,我相信帝国会再次崛起的，虽然我可能等不到那一天了。
,10025,在将来一天，帝国中将不再有人受苦，我一直这样坚信着。
,10026,有时我不禁在想，如此年老的我真的有乞讨下去的必要吗？
,10027,请问这里有双头三脚蜥蜴吗？我急需这个材料作为食材。
,10028,巫术不能随意透露，我不能告诉你材料是用来做变身剂的。
,10029,我还是小女巫，但老师说我很快会变厉害，只要八十年吧！
,10030,不要看我这样，我可是去过迷雾森林的，那里超级刺激。
,10031,虽然那里充满毒虫、毒草、毒物和野兽，但却没把我难倒。
,10032,很可惜，我无法穿过浓雾到中央，但能活着回来就好了。
,10033,总有一天，我要在世界每处都留下足迹，你真的不一起吗？
,10034,你们知道永夜森林吗？我以前曾经去过，那里暗得可怕。
,10035,如同《永夜之日》描写般：“黑夜长存，白昼永不降临。”
,10036,永夜森林中的银月湖是世间难得一见的奇景，清澈而美丽。
,10037,《森月》中如此描绘银月湖：“幽之光，在靛水中闪烁。”
,10038,薇莉丝，我们的卡诺萨城何其壮丽，让人不禁赞叹连连。
,10039,右相大人，这光景着实令人鼓舞，不愧是人类奋斗的结果。
,10040,最近不详的事情频频发生，帝国的未来让我倍感忧虑啊！
,10041,我们都相信右相大人能化解一切困难，将事情回归正轨的。
,10042,薇莉丝，为何强者往往屈居于弱者之下，这太可笑了。
,10043,能让右相大人如此感慨，想来是遇到十分触动您的事情了。
,10044,即使糖果的糖衣再怎么艳丽，也无法遮掩恶臭的内在。
,10045,若右相大人有任何烦恼，我愿意尽我所能，为您分忧。
,10046,真麻烦，又要为魔法师协会招人，害我都没法陪宝贝孙女。
,10047,有人要来吗？有人要来吗？没有的话我要回去了。
,10048,帝国的魔法人才实在凋零，能力都不及我孙女的千分之一。
,10049,什么？我孙女不过如此？智慧女神之怒，请毁灭眼前的…...
,10050,你有听说过吗？那个哈奇队长前两天又相亲失败了啊！
,10051,你有听说过吗？魔族快来了，我们再不准备就大祸临头了。
,10052,你有听说过吗？好多人都说歌姬露娜其实每次都是在假唱。
,10053,你有听说过吗？歌姬露娜假唱的消息是被诋毁的，好缺德。
,10054,你知道吗？最近有个小男生跟我表白，害我有点小心动呢！
,10055,真的吗？他也太可怜了，这估计都快失败四百次了吧！
,10056,真的吗？待我回去知会一下凯威先生，他一定有办法的。
,10057,真的吗？我就说她肯定是假唱，枉凯威先生那么喜欢她。
,10058,真的吗？我就说她肯定不可能假唱，还好我一直相信着她。
,10059,真的吗？他们真不知廉耻……咦！不对！我说错什么了吗？
,10060,人没有欲望，跟咸鱼有什么分别。快来这里买你想要的吧！
,10061,一件六折，两件八折。什么，要一件？抱歉，两件起售。
,10062,今日最低价！咦！你说比昨天贵？说了是今日”最低啊！
,10063,作为帝国最良心的商家，我是绝不会欺骗消费者的，真的。
,10064,我好喜欢这里，既暖和又好玩，还不会像大草原一样晒。
,10065,对啊，这里不止没有风沙，出门更不用畏惧被沙尘暴吹走。
,10066,作为兔耳族中的可爱代表，我一定要为酒馆带来更多生意。
,10067,我也会努力的，我可不想回到被沙漠包围的三月边陲生活。
,10068,大人，快来尝一下新出的黄瓜西芹绿豆汁，养颜美白哦！
,10069,这可是结合了三月边陲特有的秘方而调成的，能喝又能用。
,10070,都是一些毫无挑战的任务，现在的公告都这么无趣的吗？
,10071,“消灭十个史莱姆”，这是什么任务，莫不是在戏弄人吧！
,10072,啊！为什么公告板上会有羞羞的纸条，到底是谁贴上来的。
