,id,tips
备注,id,提示
,1010161,西蒙施放[量化·正义裁决]，可获得奥兹刻痕。
,1010162,米兰达通过启源，获得天赋[苍翼之诗]；施放[刃翼·闪]/[蓄能爆发]，可提升暴击率。
,1010163,纳塔娜施放[开场扑克秀]，可随机抽取鬼牌。
,1010164,萨米尔施放[怒锋·连袭]/[怒锋·刻击]/[怒锋·环<br>噬]/[怒锋·不屈]，可获得怒刃印记。
,1010165,温丽施放[夏祭幻想焰火]/[空之庆典火鸟]，可获得焰火祭典。
,1010166,爱琳娜施放[百万吨·怒击]，当自身生命值低于<br>20%时，可对敌方施加虚弱状态。
,1010167,泰雷施放[锋刃·肆光]/[奥兹战记·审判]，可提升格挡率。
,1010168,[爱琪的暖场舞]，一回合可触发多次，最少2<br>次，最多5次。奥义值越高触发的几率越高。
,1010169,兰奇施放[量化·深渊束链]，可获得炼狱之痕。
,1010170,木禅施放[万物生]，可对敌方施加缠绕状态。
,1010171,檐鬼施放[鬼之泣]/[狩魂]/[弑神阵]，可对敌方施加飞镖印记。
,1010172,葛莱蒂丝施放[岚之回旋]，可根据当前连击数，获得风之箭矢。
,1010173,夜崎隐消耗1格奥义，可使用[黑咒·鬼气]。
,1010174,阿德琳施放[舞叶]/[荆棘之刺]/[藤蔓冢]/[森系·食人花]，可获得生命印记。
,1010175,乔伊施放[夜读]/[黑暗启示]/[启示录·下篇]，可获得暗龙印记。
,1010176,在场其他英雄援助登场；一些英雄施放[辅助<br>技]，均可打断敌方技能。
,1010177,英雄消耗1格奥义，即可施放[奥义技]。
,1010178,英雄消耗1格奥义，可令在场其他英雄援护登<br>场，达到换人目的。
,1010179,英雄消耗1格奥义，可施放[辅助技]。
,1010185,可通过秘境探索/部分活动，消耗干劲。
,1010473,可前往游戏世界里各个角落探索，寻找并开启铁箱。
,1010474,可前往游戏世界里各个角落探索，寻找并开启铁箱。
,1010475,可前往游戏世界里各个角落探索，寻找并开启铁箱。
,1010476,可前往游戏世界里各个角落探索，寻找并开启铁箱。
,1010477,可前往游戏世界里各个角落探索，寻找并开启铁箱。
,1010478,可前往游戏世界里各个角落探索，寻找并开启铁箱。
,1010479,可前往游戏世界里各个角落探索，寻找并开启曜金箱。
,1010480,可前往游戏世界里各个角落探索，寻找并开启曜金箱。
,1010481,可前往游戏世界里各个角落探索，寻找并开启曜金箱。
,1010482,可前往游戏世界里各个角落探索，寻找并开启曜金箱。
,1010483,可前往游戏世界里各个角落探索，寻找并开启曜金箱。
,1010484,可前往游戏世界里各个角落探索，寻找并开启曜金箱。
,1010485,可前往游戏世界里各个角落探索，寻找并开启霜蓝晶箱。
,1010486,可前往游戏世界里各个角落探索，寻找并开启霜蓝晶箱。
,1010487,可前往游戏世界里各个角落探索，寻找并开启霜蓝晶箱。
,1010488,可前往游戏世界里各个角落探索，寻找并开启霜蓝晶箱。
,1010489,可前往游戏世界里各个角落探索，寻找并开启霜蓝晶箱。
,1010490,可前往游戏世界里各个角落探索，寻找并开启霜蓝晶箱。
,1010515,通过[奥义技]将怪物血量削减至0。
,1010518,可前往艾恩大陆探索，寻找并开启霜蓝晶箱。
,1010521,可前往雷鸣大陆，完成雷鸣大陆上所有的主线任务。
,2010000,可通过联盟特派日常、自律联盟玩法、秘境探索、多人秘境、温丽的梦境获得战队经验。
,2010003,可前往雷鸣大陆-风车镇，完成主线任务<br>“哥布林巢穴”。
,2010006,可前往游戏世界里各个角落探索，寻找并开启曜金箱。
,2010009,可前往雷鸣大陆-哀嚎神殿，完成主线任务<br>“哀嚎神殿”。
,2010010,可通过联盟特派日常、自律联盟玩法、秘境探索、多人秘境、温丽的梦境获得战队经验。
,2010014,可前往雷鸣大陆-魔族之心，完成主线任务<br>“魔族之心”。
,2010016,可前往游戏世界里各个角落探索，寻找并开启霜蓝晶箱。
,2010019,可前往古加尼尔-冒险者营地，完成主线任务<br>“荒原古堡”。
,2010024,可前往古加尼尔-三月边陲，完成主线任务<br>“沙海虫巢”。
,2010025,可通过联盟特派日常、自律联盟玩法、秘境探索、多人秘境、温丽的梦境获得战队经验。
,2010027,可前往游戏世界里各个角落探索，寻找并开启霜蓝晶箱。
,2010030,可前往古加尼尔-三月边陲，完成主线任务<br>“风沙堡”。
,2010035,可前往古加尼尔-月神森林，完成主线任务<br>“银母矿洞”。
