,id,name
备注,怪物ID,名字
,5004,鹿角兽祭司
,5007,黄色金钱哥布林
,9004,亚兹莫
,10001,草原游侠紫
,10002,部落精英战士
,10003,草原游侠蓝
,10004,草原游侠黄
,10005,金钱哥布林
,10007,草原哥布林
,10008,阿噗
,10009,宝箱怪
,10010,草原蝎子
,10012,哈蒙
,10013,丧尸法师
,10014,山岭巨人
,10015,武装熊人战士
,10016,先驱者一号
,10017,小石头人
,10019,A型感染者
,10020,大鱼妖
,10021,黑色荆棘
,10022,绝世舞姬
,10023,狼人战士
,10024,鹿角兽队长
,10025,杀人蜂
,10026,武装狼人
,10027,蝎怪
,10028,鱼妖
,10030,兰奇
,10031,贪婪
,10032,卫队长莱克
,10033,狂化阿噗
,10034,鹿角怪
,10035,萨米尔
,10036,四蹄神
,10037,默希娅
,10038,感染的冒险者
,10039,寄居熊
,10040,僵尸老婆
,10041,卡司族阿噗
,10042,枯叶蜂蜂王
,10044,泪目狼人
,10045,受惊的僵尸
,10046,采矿工兵
,10047,小鱼龙
,10048,要塞守卫官
,10049,萤火熊
,10050,锤子团首领
,10051,森林猎手
,10052,沙漠巨人
,10053,神秘兽
,10054,荒原女巫
,11031,贪婪
,20101,西蒙
,20102,泰雷
,20103,兰奇
,20104,森慧
,20105,碧洛丝
,20106,檐鬼
,20107,该影
,20108,德鲁伊
,20113,纳塔娜
,20201,温丽
,20301,爱林娜
,20302,爱琪
,20401,乔伊
,52001,战魂之灵
,52002,战魂之殇
,52003,嗜血战魂
,52004,战魂之灵火
,52005,战魂之灵冰
,52006,战魂之灵暗
,52007,战魂之灵光
,52008,暗黑战魂
,52009,白袍法师
,52010,黑暗法师
,52011,白银盾战
,52012,枭鹰
,52013,摩尼耶
,52014,合成怪
,52015,黑龙舰兵
,52016,精灵战士
,52017,精灵弓箭手
,52018,海魔
,52020,黑龙战士
,52021,黄金首领
,52022,机械石像
,52023,锡波
,52024,J博士
,701102,泰雷
,701103,兰奇
,802201,温丽
,805107,夜崎隐
,806201,温丽
,807301,爱琳娜
,812107,夜崎隐
,814102,泰雷
,1000078,不死丧尸
,1000079,熔岩丧尸
,1000080,扭曲丧尸
,1000081,禁卫督军莱克
,1000082,制杖丧尸
,1000083,制杖丧尸
,1000084,尸体
,1000085,左相·西莫斯
,1000086,制杖丧尸
,1000087,制杖丧尸
