,required,required,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,string,uint32,uint32,string,string,string,uint32,uint32,uint32
,id,raffle_type,oneorten,cost_type,cost_item_id,cost_num,cost_num_ten,replace_type,replace_item_id,replace_num,replace_num_ten,buy_item,buy_num,open_time,close_time,daily_times_type,total_times_limit,posterPath,bannerPath,bgPath,replaceType,cgId,replaceCgId
"备注,",id,抽取类型,支持单抽/十连,消耗道具类型,消耗道具id,单抽消耗道具的数量,十连消耗道具数量,替代消耗道具类型,替代消耗道具id,单抽替代消耗道具数量,十连替代消耗道具数量,购买物品id,购买物品数量,卡池开启时间,卡池结束时间,版署次数类型,卡池总次数上限,卡池海报路径,Banner路径,卡池结算背景路径,替换类型,过场动画id,替换用过场动画id
,1,1,0,3,120013,1,10,1,0,500,5000,0,0,0,0,0,0,Textures/Atlas/Dyn/LotteryBanner/11.png,Textures/Atlas/Dyn/LotteryBanner/LegendaryHeroes.png,Textures/Atlas/Dyn/LotteryBanner/zuanshibg.png,0,777779,777777
,2,2,0,3,120023,1,10,1,0,300,3000,0,0,0,0,0,0,Textures/Atlas/Dyn/LotteryBanner/11.png,Textures/Atlas/Dyn/LotteryBanner/LegendaryHeroes.png,Textures/Atlas/Dyn/LotteryBanner/zuanshibg.png,0,777779,777777
,3,3,0,3,120012,1,10,0,0,0,0,0,0,0,0,0,0,Textures/Atlas/Dyn/LotteryBanner/22.png,Textures/Atlas/Dyn/LotteryBanner/pic_jichuyingxiong.png,Textures/Atlas/Dyn/LotteryBanner/putongbg.png,0,777778,777778
,4,4,0,3,120013,1,10,1,0,500,5000,0,0,0,0,0,10,Textures/Atlas/Dyn/LotteryBanner/11.png,Textures/Atlas/Dyn/LotteryBanner/LegendaryHeroes.png,Textures/Atlas/Dyn/LotteryBanner/zuanshibg.png,0,777779,777777
,5,5,0,3,120013,1,10,1,0,500,5000,0,0,0,0,0,0,Textures/Atlas/Dyn/LotteryBanner/11.png,Textures/Atlas/Dyn/LotteryBanner/LegendaryHeroes.png,Textures/Atlas/Dyn/LotteryBanner/zuanshibg.png,0,777779,777777
,7,7,0,1,0,500,5000,1,0,500,5000,0,0,2.02E+13,2.02E+13,66,0,Textures/Atlas/Dyn/LotteryBanner/11.png,Textures/Atlas/Dyn/LotteryBanner/LegendaryHeroes.png,Textures/Atlas/Dyn/LotteryBanner/zuanshibg.png,0,777779,777777
,8,8,0,2,0,10,100,1,0,500,5000,0,0,0,0,0,50,Textures/Atlas/Dyn/LotteryBanner/22.png,Textures/Atlas/Dyn/LotteryBanner/pic_jichuyingxiong.png,Textures/Atlas/Dyn/LotteryBanner/putongbg.png,0,777778,777778
