,required,optional,optional,optional,repeated,optional,optional,repeated,optional,optional
,uint32,string,string,string,uint32,uint32,uint32,uint32,int32,int32
,id,effectPath,iconPath,defaultAnim,talk_ids,talk_time,talk_wait_time,dialog_ids,trap_stay,is_turn
备注,npcGroupID,魔法阵路径,显示图标,默认动作,气泡id组,气泡显示时长,等待时间,对话id组,0 陷阱触发方式不变 1 陷阱停留触发,是否对话时进行转向，1不可转向
,10042,Prefab/Effect/Effect_Scene_YWchuansongmen.prefab,,,,0,0,,1,0
,12001,Prefab/Effect/Effect_Scene_YWchuansongmen.prefab,,,,0,0,,0,0
,20046,,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png,cg01,,0,0,,0,0
,20092,,Textures/Atlas/Dyn/CharacterCommonHead/Godofdeath.png,cg02,,0,0,,0,0
,20109,,Textures/Atlas/Dyn/CharacterCommonHead/Thairay01.png,cg01,,0,0,,0,0
,20111,,Textures/Atlas/Dyn/CharacterCommonHead/Greedy.png,cg03,,0,0,,0,0
,20112,,Textures/Atlas/Dyn/CharacterCommonHead/IronwallThomas.png,,,0,0,,0,0
,20113,,Textures/Atlas/Dyn/CharacterCommonHead/Pierre.png,,,0,0,,0,0
,20114,,Textures/Atlas/Dyn/CharacterCommonHead/Gilardino.png,,,0,0,,0,0
,20115,,Textures/Atlas/Dyn/CharacterCommonHead/Manycats.png,,,0,0,,0,0
,20179,,Textures/Atlas/Dyn/CharacterCommonHead/Greedy.png,cg04,,0,0,,0,0
,20226,,Textures/Atlas/Dyn/CharacterCommonHead/Willies.png,,,0,0,,0,0
,20227,Prefab/Effect/Effect_Scene_YWchuansongmen.prefab,,,,0,0,,0,0
,20276,,Textures/Atlas/Dyn/CharacterCommonHead/Zombiewife.png,cg01,,0,0,,0,0
,20277,,,cg01,,0,0,,0,0
,20278,,,cg03,,0,0,,0,0
,20280,Prefab/Effect/Effect_CG_zuoxiang@shifa.prefab,,,,0,0,,0,0
,20281,Prefab/Effect/Effect_CG_zuoxiang@guangmu.prefab,,,,0,0,,0,0
,20323,,,,,0,0,,0,0
,20324,,,,,0,0,,0,0
,20325,,,,,0,0,,0,0
,20326,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0,0
,20335,,,,,0,0,,0,0
,20337,,,,,0,0,,0,0
,20338,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_an.prefab,,,,0,0,,0,0
,20339,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_shui.prefab,,,,0,0,,0,0
,20340,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,20350,,,die_forever,,0,0,,0,0
,20351,,,die_forever,,0,0,,0,0
,20352,,,die_forever,,0,0,,0,0
,20353,,,die_forever,,0,0,,0,0
,20354,,,die_forever,,0,0,,0,0
,20355,,,die_forever,,0,0,,0,0
,20356,,,die_forever,,0,0,,0,0
,20357,,,die_forever,,0,0,,0,0
,20358,,,die_forever,,0,0,,0,0
,20359,,,die_forever,,0,0,,0,0
,20360,,,die_forever,,0,0,,0,0
,20361,,,die_forever,,0,0,,0,0
,20362,,,die_forever,,0,0,,0,0
,20363,,,die_forever,,0,0,,0,0
,20364,,,die_forever,,0,0,,0,0
,20365,,,die_forever,,0,0,,0,0
,20366,,,die_forever,,0,0,,0,0
,20367,,,die_forever,,0,0,,0,0
,20368,,,die_forever,,0,0,,0,0
,20369,,,die_forever,,0,0,,0,0
,20370,,,die_forever,,0,0,,0,0
,20414,,,die_forever,,0,0,,0,0
,20417,,Textures/Atlas/Dyn/CharacterCommonHead/Herly2.png,cg01,,0,0,,0,0
,20430,Prefab/Effect/Scene/Effect_Scene_mozuzhixin_chuansongmen.prefab,,,,0,0,,0,0
,20480,,,,,0,0,,0,0
,20481,,,,,0,0,,0,0
,20486,,,,,0,0,,0,0
,20565,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0,0
,20577,Prefab/Effect/Effect_Scene_YWchuansongmen.prefab,,,,0,0,,0,0
,20613,,,die_forever,,0,0,,0,0
,20614,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,20615,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
,20616,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0,0
