,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32,uint32,string
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show,countdown_type,countdown_icon
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时,是否显示倒计时,倒计时图标路径
,10061,0,1,0,0,0,3,1 2001 30022,1,,2,0,0,0,0,2 1 2001 30022,0,103,0,0,
,10063,0,1,0,0,0,3,1 2001 30022,1,,5,0,0,0,0,2 1 2001 30022,0,101,0,0,
,10064,0,1,0,0,0,3,1 2001 12001,1,,2,0,0,0,0,,0,101,0,0,
,10065,0,1,0,0,0,3,1 2001 20127,1,,5,0,0,0,0,1 1 2001 20127,0,101,0,0,
,10066,0,1,0,0,0,3,1 2001 10027,1,,2,0,0,0,0,2 1 2001 10027,0,101,0,0,
,10067,0,1,0,0,0,3,1 2001 50008,1,,2,0,0,0,0,2 1 2001 50008,0,105,0,0,
,10068,0,1,0,0,0,3,1 2001 30024,1,,5,0,0,0,0,2 1 2001 30024,0,104,0,0,
,10069,0,1,0,0,0,3,1 2001 30024,1,,2,0,0,0,0,2 1 2001 30024,0,101,0,0,
,10070,0,1,1,0,0,3,1 2001 60017,1,,5,0,0,0,0,0,0,101,0,0,
,10071,0,1,0,0,0,3,1 2001 30025,1,,5,0,0,0,0,1 1 2001 30025,0,104,0,0,
,10073,0,1,0,0,0,3,1 2001 30025,1,,2,0,0,0,0,1 1 2001 30025,0,101,0,0,
,10091,0,1,0,0,0,3,1 2001 12001,1,,2,0,0,0,0,,0,101,0,0,
,10092,0,1,0,0,0,3,1 2001 50005,1,,2,0,0,0,0,2 1 2001 50005,0,105,0,0,
抵达湖畔镇,10100,0,1,0,0,0,3,1 2001 30081,1,,2,0,0,0,0,"2 0 2001 -3.40,0.13,14.41",0,101,0,0,
向镇民问路,10101,0,1,0,0,0,3,1 2001 20046,1,,2,0,0,0,0,1 1 2001 20046,0,102,0,0,
击败狐克斯,10102,0,1,0,0,0,3,1 2001 20046,1,,5,0,0,0,0,1 1 2001 20046,0,101,0,0,
