,required,required,required,required
,uint32,uint32,float,float
,id,audio_id,in_time,duration
备注,流水id,音频id,开始时间,持续时间
,1,12539,0,2.5
,2,12440,0,4
,3,11286,0,3
,4,11327,0.7,3.2
,5,10973,4.2,3.6
,6,11424,0,3
,7,10027,3.9,2.9
,8,10605,0.8,3.9
,9,12031,7.2,1.8
,10,12210,1.7,5.5
,11,11005,5.4,1.2
,12,10041,0,3
,13,12415,2.8,4
,14,10235,0,5.6
,15,12017,0,4.5
,16,11385,0,6
,17,11001,5.6,3
,18,11559,5.4,3.6
,19,11627,3,2.7
,20,10873,0,3
,21,11128,0,6.4
,22,11577,4.4,6
,23,11574,2.6,7.4
,24,11586,9,2.5
,25,500133,0,3
,26,11242,0,3.5
,27,11171,0,7
,28,500198,0,2
,29,11208,0,3.5
,30,11460,0,5
,31,11516,0,10
,32,500219,0,1.8
,33,500232,0,1
,34,500239,0,3
,35,500204,0,2.3
,36,500213,1.8,2.2
,37,500214,0,1
,38,500215,0,1.5
,39,500218,0,8
,40,500040,0,1.5
,41,500039,0,2.5
,42,500104,0,1
,43,500106,0,3
,44,500107,0,2
,45,500081,0,2
,46,500080,0,2
,47,500057,0,2
,48,500062,0,1.2
,49,500063,1,4
,50,500064,1,2.5
,51,500065,0,4.5
,52,500133,0,4
,53,500199,0,1
,54,500146,0,2
,55,500243,0,2.5
,56,500242,0,3.5
,57,500251,0,2
,58,500252,0,2.5
,59,500255,0,5.5
,60,500075,0,5
,61,500078,0,5
,62,500079,0,10
,63,500108,0,2
,64,500120,0,1.5
,65,500313,0,4.5
,66,500329,0,2.5
,67,590051,0,2
,68,590060,0,3
,69,590110,0,2.5
,70,590098,0,11
,71,590105,0,5.5
,72,590099,0,3.2
,73,590100,0,5
,74,590101,0,3.2
,75,590102,0,9
,76,590103,0,2
,77,590104,0,2.5
,78,13044,0,2.5
,79,590093,0,2
,80,590094,0,1.5
,81,590095,0,2.5
,82,590096,0,2.7
,83,590097,0,3
,84,590011,0,2
,85,590012,0,1
,86,590013,0,1.5
,87,590014,0,2.5
,88,590015,0,3.5
,89,590016,0,2.5
,90,590017,0,6.9
,91,12536,0,2.2
,92,590044,0,3
,93,590045,0,3
,94,590046,0,3
,95,590047,0,1
,96,590048,0,2.8
,97,590049,0,3.5
,98,590050,0,4.8
,99,12535,0.5,2
,100,590037,0,2.5
,101,590039,0,2
,102,590040,0,2
,103,590041,0,3.5
,104,590042,0,1.7
,105,590043,0,4
,106,12532,0,2.5
,107,590001,0,1.6
,108,590002,0,1.5
,109,590003,1,3
,110,590004,0,2.5
,111,590005,0,3.5
,112,590006,0,4
,113,590007,0,4.8
,114,590008,0,3
,115,590009,0,3.3
,116,590010,0,5
,117,12534,0,2
,118,590018,0,2.5
,119,590019,0,4
,120,590020,0,2.5
,121,590021,0,3.5
,122,590022,0,4
,123,590061,0,2.5
,124,590062,0,3.5
,125,590063,0,3
,126,590064,0,2
,127,590065,0,3.5
,128,590066,0,5
,129,590067,0,3
,130,590086,0,3.5
,131,590087,0,2
,132,590088,0,2
,133,590089,0,1.5
,134,590090,0,2.5
,135,590091,0,3.5
,136,590092,0,3.5
,137,590073,0,3
,138,590074,0,3
,139,590075,0,7
,140,590076,0,2
,141,590077,0,3
,142,590078,0,3.5
,143,590079,0,5.5
,144,590080,0,3
,145,590081,0,3
,146,590082,0,3
,147,590106,0,4
,148,590107,0,3
,149,590108,0,2
,150,590109,0,5
,151,590032,0,4
,152,590033,0,3
,153,590034,0,3
,154,590035,0,3
