,required,required,required,required
,uint32,uint32,uint32,uint32
,id,award_id,item_id,item_num
备注,id,奖励id,物品id,物品数量
,1,6000096,3011014,1
,2,6000096,1,50
,3,6000097,120023,1
,4,6000097,1,80
,5,6000098,120023,1
,6,6000098,1,100
,7,6000099,3011024,1
,8,6000099,1,50
,9,6000100,120023,1
,10,6000100,1,80
,11,6000101,120023,1
,12,6000101,1,100
,13,6000102,3011034,1
,14,6000102,1,50
,15,6000103,120023,1
,16,6000103,1,80
,17,6000104,120023,1
,18,6000104,1,100
,19,6000105,3011044,1
,20,6000105,1,50
,21,6000106,120023,1
,22,6000106,1,80
,23,6000107,120023,1
,24,6000107,1,100
,25,6000108,3011054,1
,26,6000108,1,50
,27,6000109,120023,1
,28,6000109,1,80
,29,6000110,120023,1
,30,6000110,1,100
,31,6000111,3011064,1
,32,6000111,1,50
,33,6000112,120023,1
,34,6000112,1,80
,35,6000113,120023,1
,36,6000113,1,100
,37,6000114,3011074,1
,38,6000114,1,50
,39,6000115,120023,1
,40,6000115,1,80
,41,6000116,120023,1
,42,6000116,1,100
,43,6000117,3011084,1
,44,6000117,1,50
,45,6000118,120023,1
,46,6000118,1,80
,47,6000119,120023,1
,48,6000119,1,100
,49,6000120,3011114,1
,50,6000120,1,50
,51,6000121,120023,1
,52,6000121,1,80
,53,6000122,120023,1
,54,6000122,1,100
,55,6000123,3011124,1
,56,6000123,1,50
,57,6000124,120023,1
,58,6000124,1,80
,59,6000125,120023,1
,60,6000125,1,100
,61,6000126,3011134,1
,62,6000126,1,50
,63,6000127,120023,1
,64,6000127,1,80
,65,6000128,120023,1
,66,6000128,1,100
,67,6000129,3011144,1
,68,6000129,1,50
,69,6000130,120023,1
,70,6000130,1,80
,71,6000131,120023,1
,72,6000131,1,100
,73,6000132,3011154,1
,74,6000132,1,50
,75,6000133,120023,1
,76,6000133,1,80
,77,6000134,120023,1
,78,6000134,1,100
,79,6000135,3011164,1
,80,6000135,1,50
,81,6000136,120023,1
,82,6000136,1,80
,83,6000137,120023,1
,84,6000137,1,100
,85,6000138,3012014,1
,86,6000138,1,50
,87,6000139,120023,1
,88,6000139,1,80
,89,6000140,120023,1
,90,6000140,1,100
,91,6000141,3013014,1
,92,6000141,1,50
,93,6000142,120023,1
,94,6000142,1,80
,95,6000143,120023,1
,96,6000143,1,100
,97,6000144,3013024,1
,98,6000144,1,50
,99,6000145,120023,1
,100,6000145,1,80
,101,6000146,120023,1
,102,6000146,1,100
,103,6000147,3014014,1
,104,6000147,1,50
