,required,required,required,required
,uint32,uint32,uint32,uint32
,id,times_type,times,cost
备注,流水号,次数类型,第几次,花费
购买竞技场挑战次数花费,1,9,1,50
,2,9,2,100
,3,9,3,100
,4,9,4,150
,5,9,5,150
,6,9,6,150
,7,9,7,200
,8,9,8,200
,9,9,9,200
,10,9,10,300
好友分享次数,11,15,1,50
,12,15,2,50
,13,15,3,100
,14,15,4,100
,15,15,5,100
,16,15,6,200
,17,15,7,200
,18,15,8,200
,19,15,9,200
,20,15,10,300
,21,15,11,300
,22,15,12,300
,23,15,13,300
,24,15,14,300
,25,15,15,300
,201,2,1,50
,202,2,2,50
,203,2,3,50
,4901,49,1,100
,4902,49,2,100
,4903,49,3,100
,4904,49,4,200
,4905,49,5,200
,4906,49,6,200
,4907,49,7,200
,4908,49,8,200
,4909,49,9,300
,4910,49,10,300
,4911,49,11,300
,4912,49,12,300
,4913,49,13,300
,4914,49,14,300
,4915,49,15,300
,4916,49,16,300
,4917,49,17,300
,4918,49,18,300
,4919,49,19,300
,4920,49,20,300
,6000,60,0,200
,6101,61,1,5000
,6102,61,2,5000
,6103,61,3,5000
,6104,61,4,10000
,6105,61,5,10000
,6106,61,6,10000
,6107,61,7,10000
,6108,61,8,10000
,6109,61,9,15000
,6110,61,10,15000
,6111,61,11,15000
,6112,61,12,15000
,6113,61,13,15000
,6114,61,14,15000
,6115,61,15,15000
,6116,61,16,15000
,6117,61,17,15000
,6118,61,18,15000
,6119,61,19,15000
,6120,61,20,15000
,6121,61,21,20000
,6122,61,22,20000
,6123,61,23,20000
,6124,61,24,20000
,6125,61,25,20000
,6126,61,26,20000
,6127,61,27,20000
,6128,61,28,20000
,6129,61,29,20000
,6130,61,30,20000
,6131,61,31,20000
,6132,61,32,20000
,6133,61,33,20000
,6134,61,34,20000
,6135,61,35,20000
,6136,61,36,20000
,6137,61,37,20000
,6138,61,38,20000
,6139,61,39,20000
,6140,61,40,20000
,6141,61,41,30000
,6142,61,42,30000
,6143,61,43,30000
,6144,61,44,30000
,6145,61,45,30000
,6146,61,46,30000
,6147,61,47,30000
,6148,61,48,30000
,6149,61,49,30000
,6150,61,50,30000
,6151,61,51,30000
,6152,61,52,30000
,6153,61,53,30000
,6154,61,54,30000
,6155,61,55,30000
,6156,61,56,30000
,6157,61,57,30000
,6158,61,58,30000
,6159,61,59,30000
,6160,61,60,30000
,6161,61,61,30000
,6162,61,62,30000
,6163,61,63,30000
,6164,61,64,30000
,6165,61,65,30000
,6166,61,66,30000
,6167,61,67,30000
,6168,61,68,30000
,6169,61,69,30000
,6170,61,70,30000
,6171,61,71,30000
,6172,61,72,30000
,6173,61,73,30000
,6174,61,74,30000
,6175,61,75,30000
,6176,61,76,30000
,6177,61,77,30000
,6178,61,78,30000
,6179,61,79,30000
,6180,61,80,30000
,6181,61,81,30000
,6182,61,82,30000
,6183,61,83,30000
,6184,61,84,30000
,6185,61,85,30000
,6186,61,86,30000
,6187,61,87,30000
,6188,61,88,30000
,6189,61,89,30000
,6190,61,90,30000
,6191,61,91,30000
,6192,61,92,30000
,6193,61,93,30000
,6194,61,94,30000
,6195,61,95,30000
,6196,61,96,30000
,6197,61,97,30000
,6198,61,98,30000
,6199,61,99,30000
,6201,62,1,5000
,6202,62,2,5000
,6203,62,3,5000
,6204,62,4,10000
,6205,62,5,10000
,6206,62,6,10000
,6207,62,7,10000
,6208,62,8,10000
,6209,62,9,15000
,6210,62,10,15000
,6211,62,11,15000
,6212,62,12,15000
,6213,62,13,15000
,6214,62,14,15000
,6215,62,15,15000
,6216,62,16,15000
,6217,62,17,15000
,6218,62,18,15000
,6219,62,19,15000
,6220,62,20,15000
,6221,62,21,20000
,6222,62,22,20000
,6223,62,23,20000
,6224,62,24,20000
,6225,62,25,20000
,6226,62,26,20000
,6227,62,27,20000
,6228,62,28,20000
,6229,62,29,20000
,6230,62,30,20000
,6231,62,31,20000
,6232,62,32,20000
,6233,62,33,20000
,6234,62,34,20000
,6235,62,35,20000
,6236,62,36,20000
,6237,62,37,20000
,6238,62,38,20000
,6239,62,39,20000
,6240,62,40,20000
,6241,62,41,30000
,6242,62,42,30000
,6243,62,43,30000
,6244,62,44,30000
,6245,62,45,30000
,6246,62,46,30000
,6247,62,47,30000
,6248,62,48,30000
,6249,62,49,30000
,6250,62,50,30000
,6251,62,51,30000
,6252,62,52,30000
,6253,62,53,30000
,6254,62,54,30000
,6255,62,55,30000
,6256,62,56,30000
,6257,62,57,30000
,6258,62,58,30000
,6259,62,59,30000
,6260,62,60,30000
,6261,62,61,30000
,6262,62,62,30000
,6263,62,63,30000
,6264,62,64,30000
,6265,62,65,30000
,6266,62,66,30000
,6267,62,67,30000
,6268,62,68,30000
,6269,62,69,30000
,6270,62,70,30000
,6271,62,71,30000
,6272,62,72,30000
,6273,62,73,30000
,6274,62,74,30000
,6275,62,75,30000
,6276,62,76,30000
,6277,62,77,30000
,6278,62,78,30000
,6279,62,79,30000
,6280,62,80,30000
,6281,62,81,30000
,6282,62,82,30000
,6283,62,83,30000
,6284,62,84,30000
,6285,62,85,30000
,6286,62,86,30000
,6287,62,87,30000
,6288,62,88,30000
,6289,62,89,30000
,6290,62,90,30000
,6291,62,91,30000
,6292,62,92,30000
,6293,62,93,30000
,6294,62,94,30000
,6295,62,95,30000
,6296,62,96,30000
,6297,62,97,30000
,6298,62,98,30000
,6299,62,99,30000
