,required,required,required,required,required
,uint32,uint32,uint32,uint32,string
,id,reward1,reward2,reward3,task_id
备注,英雄id拼接任务索引,结局1的奖励id,结局2的奖励id,结局3的奖励id,任务id列表
,10101,2000592,2000593,0,"70284,70285,70286"
,10102,2000627,2000628,0,"70323,70324,70325,70326,70328,70329"
,10103,2000636,2000637,0,"70423,70425,70426,70427,70428,70429,70430,70433"
,10201,2000680,0,0,70526
,10202,2000684,0,0,70542
,10301,2000667,0,0,70475
,10302,2000664,0,0,70463
,10401,2000667,0,0,70572
,10402,2000788,0,0,70570
,10501,2000777,0,0,70483
,10502,2000778,0,0,70524
,10601,2000789,0,0,70571
,10602,2000782,0,0,70560
,10701,2000663,0,0,70462
,10702,2000668,0,0,70472
,10801,2000676,0,0,70522
,10802,2000675,0,0,70521
,11101,2000678,0,0,70525
,11102,2000674,0,0,70520
,11201,2000681,0,0,70527
,11202,2000772,0,0,70550
,11301,2000781,0,0,70474
,11302,2000669,0,0,70473
,11401,2000677,0,0,70523
,11402,2000791,0,0,70573
,20101,2000623,2000624,0,"70341,70343,70344,70345"
,20102,2000619,2000620,0,"70346,70347,70348,70349,70351"
,20103,2000629,0,0,"70415,70416,70417,70418,70420"
,30101,2000625,0,0,"70317,70318,70319"
,30102,2000491,2000492,0,"70288,70297,70289,70290,70291,70292"
,30103,2000626,0,0,"70405,70406,70407,70408"
,30201,2000665,2000666,0,"70465,70466,70467"
,30202,2000779,2000780,0,"70452,70453,70454"
,40102,2000792,0,0,70574
