,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,uint32,uint32,uint32
,id,goal_id,action,data,once_point,point_max,is_special
备注,流水ID,目标标识,action类型,数值,单次积分,积分最大值,是否高级目标
参与领主讨伐1次,1,1,5,1000,5,1120,0
开启探索出宝箱1次,2,2,0,,10,112,0
开启好友宝箱1次,3,3,5,1800,25,280,0
完成委托任务1次,4,4,5,420,10,336,0
通过任意秘境探索1次,5,5,5,2200,5,560,0
完成巡查任务1次,6,6,5,420,25,280,0
通关任意每日副本1次,7,7,5,1500,15,504,0
通关温丽梦境关卡1次,8,8,5,1400,10,560,0
击败1只探索层怪物,9,9,0,,10,560,0
完成1次友达速递,10,10,5,700,25,560,0
完成1次艾恩速递,11,11,5,700,100,2240,1
完成1次好友切磋,12,12,5,1900,50,560,1
参与最高级领主讨伐1次(紫色),13,13,5,1000,50,1120,1
开启最高级好友宝箱1次(紫色),14,14,5,1800,100,1120,1
开启最高级探索层宝箱1次(紫色),15,15,0,,100,1120,1
通关多人副本1次,16,16,5,2500,50,1120,1
