,optional,optional,optional,optional,optional,optional
,uint32,uint32,uint32,uint32,uint32,uint32
,id,raffle_type,award_type,award_rarity,award_ratio,award_is_up
Mark,,抽取类型,道具类型,稀有度,分类总概率,是否up
,1,1,1,4,205,0
,2,1,1,3,1300,0
,3,1,2,4,380,0
,4,1,2,3,1663,0
,5,1,2,2,6452,0
,6,2,2,5,380,0
,7,2,2,4,850,0
,8,2,2,3,1663,0
,9,2,2,2,7107,0
,10,3,2,3,60,0
,11,3,2,2,1200,0
,12,3,4,0,8740,0
,13,4,1,4,1000,0
,14,4,2,4,1250,0
,15,4,2,3,2000,0
,16,4,2,2,5750,0
,17,5,1,4,205,0
,18,5,1,3,1300,0
,19,5,2,4,380,0
,20,5,2,3,1663,0
,21,5,2,2,6452,0
,22,7,1,4,205,0
,23,7,1,3,1300,0
,24,7,2,4,380,0
,25,7,2,3,1663,0
,26,7,2,2,6452,0
