,required,required,required
,uint32,uint32,uint32
,id,lookface,hint_vis
备注,怪物ID,模型ID,0不可见1可
,5000,5000,1
,5004,5004,1
,5007,5007,1
,8000,8000,1
愤怒,9000,9000,1
尼格斯,9001,9001,1
恶魔修帝,9002,9002,1
蜘蛛女王,9003,9003,1
,9004,9004,1
普通盗贼,10001,10001,1
部落精英战士,10002,10002,1
草原游侠,10003,10003,1
部落战士,10004,10004,1
金钱哥布林,10005,10005,1
草原哥布林,10007,10007,1
阿噗,10008,10008,1
宝箱怪,10009,10009,1
草原蝎子,10010,10010,1
哈蒙,10012,10012,1
丧尸法师,10013,10013,1
山岭巨人,10014,10014,1
武装熊人战士,10015,10015,1
先驱者一号,10016,10016,1
小石头人,10017,10017,1
A型感染者,10019,10019,1
大鱼妖,10020,10020,1
黑色荆棘,10021,10021,1
绝世舞姬,10022,10022,1
狼人战士,10023,10023,1
鹿角兽队长,10024,10024,1
杀人蜂,10025,10025,1
武装狼人,10026,10026,1
蝎怪,10027,10027,1
鱼妖,10028,10028,1
白兰奇,10030,10030,1
贪婪,10031,10031,1
卫队长莱克,10032,10032,1
狂化阿噗,10033,10033,1
鹿角怪,10034,10034,1
萨米尔,10035,10035,1
四蹄神,10036,10036,1
默希娅,10037,10037,1
感染的冒险者,10038,10038,1
寄居熊,10039,10039,1
僵尸老婆,10040,10040,1
卡司族阿噗,10041,10041,1
枯叶蜂蜂王,10042,10042,1
泪目狼人,10044,10044,1
受惊的僵尸,10045,10045,1
采矿工兵,10046,10046,1
小鱼龙,10047,10047,1
要塞守卫官,10048,10048,1
萤火熊,10049,10049,1
锤子团首领,10050,10050,1
森林猎手,10051,10051,1
沙漠巨人,10052,10052,1
神秘兽,10053,10053,1
荒原女巫,10054,10054,1
,10058,10058,1
,11031,10031,1
西蒙,20101,101,1
泰雷,20102,102,1
兰奇,20103,103,1
森慧,20104,104,1
碧洛丝,20105,105,1
檐鬼,20106,106,1
该影,20107,107,1
德鲁伊,20108,108,1
纳塔娜,20113,113,1
温丽,20201,201,1
爱林娜,20301,301,1
爱琪,20302,302,1
乔伊,20401,401,1
,52001,52001,1
战魂之殇,52002,52002,1
嗜血战魂,52003,52003,1
蜘蛛使徒火,52004,52004,1
战魂之灵冰,52005,52005,1
战魂之灵暗,52006,52006,1
战魂之灵光,52007,52007,1
暗黑战魂,52008,52008,1
白袍法师,52009,52009,1
黑暗法师,52010,52010,1
白银盾战,52011,52011,1
,52012,52012,1
,52013,52013,1
,52014,52014,1
,52015,52015,1
,52016,52016,1
,52017,52017,1
海魔,52018,52018,1
黑龙战士,52020,52020,1
黄金首领,52021,52021,1
机械石像,52022,52022,1
锡波,52023,52023,1
J博士,52024,52024,1
剧情用泰雷,701102,102,1
剧情用兰奇,701103,103,1
剧情用西蒙,702101,101,1
剧情用温丽,702201,201,1
剧情用爱琳娜,702301,301,1
战斗教学3温丽,802201,201,0
,805107,107,0
战斗教学怪,806201,201,1
,807301,301,1
,812107,107,1
,814102,102,1
尸体,1000078,10019,1
尸体,1000079,10045,1
制杖丧尸,1000080,10013,1
尸体,1000081,10032,1
制杖丧尸,1000082,10013,1
制杖丧尸,1000083,10013,1
尸体,1000084,10019,1
制杖丧尸,1000085,10013,1
制杖丧尸,1000086,10013,1
制杖丧尸,1000087,10013,1
,1000091,10004,1
铁甲哥布林,1000092,10007,1
先驱者1号,1000093,10016,1
,1000094,10019,1
,1000095,10002,1
,1000096,10012,1
先驱者1号,1000097,10016,1
食人魔·哈蒙,1000098,10012,1
狐克斯,1000099,10008,1
,1000100,52010,1
草原蝎子,1000101,10010,1
,1000102,10033,1
赤瞳战狼,1000111,10023,1
碎魂狼王,1000113,10026,1
黑袍哥布林,1000114,10007,1
左相府卫兵,1000121,52011,1
金钱哥布林,1000124,10005,1
泪目狼人,1000127,10044,1
鹿角兽,1000128,10034,1
巨刃鹿角兽,1000129,10034,1
食魂鹿角兽,1000130,5004,1
鹿角兽队长,1000131,10024,1
亡魂死徒,1000132,52001,8
亡魂死士,1000133,52002,8
黑骑士佩兰,1000134,52003,1
狮心魔骑巴兹,1000135,52008,1
野蛮孤狼,1000136,10023,1
碎魂狼王乌迪尔,1000137,10026,1
草原蝎子,1000138,10010,1
蝎怪,1000139,10027,1
贪婪,1000140,10031,1
沙河虫,1000143,10010,1
吞骨沙虫,1000144,10010,1
毒尾蝎,1000145,10010,1
沙原魔蝎斯科恩,1000146,10027,1
采矿工兵,1000147,10046,1
采矿工兵,1000148,10046,1
矮巨人指挥官,1000149,8000,1
檐鬼,1000151,106,1
女巫仆从,1000153,10058,1
女巫菲梅,1000154,10054,1
,1000156,10042,1
,1000157,10034,1
,1000158,10015,1
,1000159,8000,1
,1000160,10042,1
,1000161,10045,1
,1000166,10003,1
,1000167,10038,1
,1000168,10022,1
,1000169,10021,1
,1000170,10024,0
,1000171,10034,0
,1000172,10034,0
,1000173,10034,0
,1000174,5004,0
,1000175,10050,1
,1000176,10048,1
,1000177,10037,1
,1000178,10019,1
,1000179,10045,1
,1000180,10033,1
,1000181,10013,1
亡魂死士,1000182,52002,1
绝望之魂,1000183,52003,1
黑骑战魂,1000184,52008,1
暗渊法师,1000185,52010,1
巡逻哈扎特,1000191,10005,1
发疯的哥布林,1000193,10007,1
食人魔佣兵,1000195,10012,1
BOSS哈扎特,1000196,10005,1
野蛮孤狼1,1000198,10023,1
,1000199,10053,1
偷袭怪狼人1,1000200,10044,1
,1000201,10049,1
,1000202,10026,1
武装狼人,1000203,52022,1
部落精英战士,1000204,10002,1
绝世舞姬,1000205,10012,1
要塞守卫官,1000206,10048,1
锤子团首领,1000207,10050,1
沙漠巨人,1000208,10052,1
枯叶蜂蜂王,1000209,10042,1
黑色荆棘,1000210,10021,1
暗黑战魂,1000211,52008,1
嗜血战魂,1000212,52003,1
部落战士,1000213,10002,1
女巫仆从,1000215,10058,1
卡司族阿噗,1000216,10041,1
草原蝎子,1000217,10010,1
民工鹿角兽,1000218,10031,1
,1000219,10037,1
萤火熊,1000220,10049,1
A型感染者,1000221,9003,1
受惊的僵尸,1000222,10045,1
僵尸妈妈,1000223,10040,1
战魂之殇,1000224,10015,1
,1000225,8000,1
,1000226,10048,1
魔导箱守卫萨泽,1000228,10005,1
魔导箱守卫波尔,1000229,10002,1
魔导箱守卫普坦,1000230,10012,1
,1000232,10050,1
,1000233,10048,1
沙河虫,1000234,10056,1
吞骨沙虫,1000235,10055,1
毒尾蝎,1000236,10010,1
沙原魔蝎斯科恩,1000237,10027,1
,1000238,10046,1
,1000239,8000,1
,1000240,106,1
,1000241,8000,1
,1000242,10025,1
受惊的僵尸,1000247,10045,1
僵尸妈妈,1000248,10040,1
A型感染者,1000249,10019,1
魅魔,1000250,10057,1
僵尸妈妈,1000252,10040,1
A型感染者,1000253,10019,1
荆棘花妖,1000255,5000,1
精灵族剑士,1000256,52016,1
精灵族射手,1000257,52017,1
魅魔修狄斯,1000258,10057,1
石像鬼塔比瑟,1000259,9002,1
蜘蛛女王艾达,1000260,9003,1
魔导箱守卫伊登,1000261,10027,1
魔导箱守卫哈伦,1000262,10015,1
魔导箱守卫科克,1000263,10014,1
,1000264,10019,1
,1000265,10045,1
,1000266,10040,1
,1000267,10045,1
,1000268,10057,1
双枪毒蝎,1000271,10010,1
荆棘花妖,1000272,5000,1
精灵族剑士,1000273,52016,1
精灵族射手,1000274,52017,1
暗幕蛛王,1000278,9003,1
,1000279,10021,1
,1000280,10042,1
,1000281,10013,1
,1000282,10002,1
,1000283,52003,1
,1000284,10022,1
,1000285,10027,1
,1000286,10013,1
,1000287,52001,1
,1000289,10007,1
发疯哥布林,1000290,10007,1
食人魔佣兵,1000292,10012,1
偷袭白狼,1000293,10044,1
,1000294,10053,1
碎魂狼王,1000296,10026,1
,1000297,10049,1
,1000298,52010,1
,1000299,10057,1
,1000300,9002,1
,1000301,52001,1
,1000302,10034,1
,1000303,52002,1
,1000304,10034,1
,1000305,10033,1
,1000306,52001,1
,1000307,52002,1
,1000308,52003,1
,1000309,10034,1
,1000310,10034,1
,1000311,10024,1
,1000312,5004,1
,1000313,52008,1
,1000314,10035,1
,1000315,10013,1
,1000316,8000,1
,1000317,52014,1
,1000318,10010,1
,1000319,10010,1
,1000320,52018,1
,1000321,52012,1
,1000322,52012,1
蝎怪,1000334,10027,1
黑暗法师,1000335,52010,1
大女巫,1000336,10057,1
贪婪,1000337,10031,1
黑色荆棘,1000338,10021,1
绝世舞姬,1000339,10022,1
萨米尔,1000340,10035,1
默希娅,1000341,10037,1
蝎怪,1000342,10027,1
黑暗法师,1000343,52010,1
大女巫,1000344,10057,1
贪婪,1000345,10031,1
黑色荆棘,1000346,10021,1
绝世舞姬,1000347,10022,1
萨米尔,1000348,10035,1
默希娅,1000349,10037,1
蝎怪,1000350,10027,1
黑暗法师,1000351,52010,1
大女巫,1000352,10057,1
贪婪,1000353,10031,1
黑色荆棘,1000354,10021,1
绝世舞姬,1000355,10022,1
萨米尔,1000356,10035,1
默希娅,1000357,10037,1
,1000368,52008,1
,1000369,10023,1
,1000374,10009,1
异雾鬼手,1000375,10031,1
烈火斧兽,1000376,10036,1
迷梦魔蛛,1000377,9003,1
遗忘徘徊者,1000378,52010,1
铁斧魔兵,1000379,10035,1
深红魔人,1000380,9000,1
石窟蝎怪,1000381,10027,1
幽藤巫医,1000382,10057,1
悲叹巫女,1000383,10037,1
鬼面恶魔,1000384,9002,1
罪恶之鞭,1000385,10021,1
憎恨血刃,1000386,10022,1
虚妄鬼手,1000387,10031,1
炽炎斧魔,1000388,10036,1
烈毒魔蛛,1000389,9003,1
邪魇支配者,1000390,52010,1
利斧尖兵,1000391,10035,1
赤血魔人,1000392,9000,1
地穴蝎兽,1000393,10027,1
森骨巫医,1000394,10057,1
逆潮巫女,1000395,10037,1
魔瞳恶魔,1000396,9002,1
荆棘之鞭,1000397,10021,1
银月逆刃,1000398,10022,1
邪纹鬼手达克,1000399,10031,1
熔岩巨兽索恩,1000400,10036,1
绯影魔蛛瑟西,1000401,9003,1
噩梦预言者凯文,1000402,52010,1
尖嚎锐斧巴克,1000403,10035,1
狂暴魔人贝尔特,1000404,9000,1
黯蚀蝎魔索恩斯,1000405,10027,1
冥夜巫医艾凛,1000406,10057,1
绯红巫女卡珊德,1000407,10037,1
