,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,pet_id,star,attr_type1,add_type1,attr_data1,attr_type2,add_type2,attr_data2,money,pet_num,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3,replace_pet
"备注,",id,幻兽id,星级,属性类型1,属性加成方式1,属性值1,属性类型2,属性加成方式2,属性值2,所需金币,所需幻兽数量,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,可替代本命
,1,4012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,4012,1,5,1,2000,0,0,0,10000,1,6003003,5,0,0,0,0,0
,3,4012,2,1,1,1400,0,0,0,10000,1,6003003,10,0,0,0,0,0
,4,4012,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,5,4012,4,15,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,6,4012,5,18,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,7,4012,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,8,4012,7,12,1,300,0,0,0,10000,1,6003003,25,0,0,0,0,0
,9,4022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10,4022,1,4,1,2000,0,0,0,10000,1,6003003,5,0,0,0,0,0
,11,4022,2,1,1,1400,0,0,0,10000,1,6003003,10,0,0,0,0,0
,12,4022,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,13,4022,4,15,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,14,4022,5,16,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,15,4022,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,16,4022,7,32,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,17,4032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,18,4032,1,1,1,1400,0,0,0,10000,1,6003003,5,0,0,0,0,0
,19,4032,2,2,1,800,0,0,0,10000,1,6003003,10,0,0,0,0,0
,20,4032,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,21,4032,4,16,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,22,4032,5,11,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,23,4032,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,24,4032,7,15,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,25,4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,26,4042,1,1,1,1400,0,0,0,10000,1,6003003,5,0,0,0,0,0
,27,4042,2,3,1,800,0,0,0,10000,1,6003003,10,0,0,0,0,0
,28,4042,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,29,4042,4,32,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,30,4042,5,13,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,31,4042,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,32,4042,7,12,1,300,0,0,0,10000,1,6003003,25,0,0,0,0,0
,33,4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,34,4052,1,3,1,800,0,0,0,10000,1,6003003,5,0,0,0,0,0
,35,4052,2,5,1,2000,0,0,0,10000,1,6003003,10,0,0,0,0,0
,36,4052,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,37,4052,4,13,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,38,4052,5,14,1,1200,0,0,0,10000,1,6003003,25,0,0,0,0,0
,39,4052,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,40,4052,7,11,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,41,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,42,4062,1,2,1,800,0,0,0,10000,1,6003003,5,0,0,0,0,0
,43,4062,2,4,1,2000,0,0,0,10000,1,6003003,10,0,0,0,0,0
,44,4062,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
,45,4062,4,11,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,46,4062,5,18,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,47,4062,6,0,0,0,0,0,0,10000,1,6003003,25,0,0,0,0,0
,48,4062,7,16,1,600,0,0,0,10000,1,6003003,25,0,0,0,0,0
,49,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,50,4072,1,4,1,2000,0,0,0,10000,1,6003003,5,0,0,0,0,0
,51,4072,2,5,1,2000,0,0,0,10000,1,6003003,10,0,0,0,0,0
,52,4072,3,0,0,0,0,0,0,10000,1,6003003,15,0,0,0,0,0
