,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,boss_id,order_level,item1_id,item2_id,item3_id
备注,ID,boss_id,"品质0绿,1蓝,2紫,3橙",掉落id,掉落id,掉落id
,800000,800000,1,410023,410022,410021
,800001,800001,2,410024,410023,410022
,800002,800002,1,410023,410022,410021
,800003,800003,2,410024,410023,410022
,800004,800004,1,410023,410022,410021
,800005,800005,2,410024,410023,410022
,800006,800006,1,410023,410022,410021
,800007,800007,2,410024,410023,410022
,800008,800008,1,410023,410022,410021
,800009,800009,2,410024,410023,410022
,800010,800010,1,410023,410022,410021
,800011,800011,2,410024,410023,410022
,800012,800012,1,410023,410022,410021
,800013,800013,2,410024,410023,410022
,800014,800014,1,410023,410022,410021
,800015,800015,2,410024,410023,410022
,800016,800016,1,410023,410022,410021
,800017,800017,2,410024,410023,410022
,800018,800018,1,410023,410022,410021
,800019,800019,2,410024,410023,410022
,800020,800020,1,410023,410022,410021
,800021,800021,2,410024,410023,410022
,800022,800022,1,410023,410022,410021
,800023,800023,2,410024,410023,410022
,800215,800215,0,18,410021,0
,800216,800216,1,18,410022,0
,800217,800217,2,18,410023,0
,800218,800218,3,18,410024,0
,800219,800219,0,18,410021,0
,800220,800220,1,18,410022,0
,800221,800221,2,18,410023,0
,800222,800222,3,18,410024,0
,800223,800223,0,18,410021,0
,800224,800224,1,18,410022,0
,800225,800225,2,18,410023,0
,800226,800226,3,18,410024,0
,800227,800227,0,18,410021,0
,800228,800228,1,18,410022,0
,800229,800229,2,18,410023,0
,800230,800230,3,18,410024,0
,800239,800239,1,410021,0,0
,800240,800240,1,410021,0,0
,800241,800241,1,410021,0,0
,800242,800242,1,410021,0,0
,800243,800243,1,410021,0,0
,800244,800244,1,410021,0,0
,800245,800245,1,410021,0,0
,800246,800246,1,410021,0,0
,800247,800247,1,410021,0,0
,800248,800248,2,410022,0,0
,800249,800249,2,410022,0,0
,800250,800250,2,410022,0,0
,800251,800251,2,410022,0,0
,800252,800252,2,410022,0,0
,800253,800253,2,410022,0,0
,800254,800254,2,410022,0,0
,800255,800255,2,410022,0,0
,800256,800256,2,410022,0,0
,800257,800257,2,410022,0,0
,800258,800258,2,410022,0,0
,800259,800259,2,410022,0,0
,800260,800260,3,410023,0,0
,800261,800261,3,410023,0,0
,800262,800262,3,410023,0,0
,800263,800263,3,410023,0,0
,800264,800264,3,410024,0,0
,800265,800265,3,410024,0,0
,800266,800266,1,410021,0,0
,800267,800267,1,410021,0,0
,800268,800268,1,410021,0,0
,800269,800269,1,410021,0,0
,800270,800270,1,410021,0,0
,800271,800271,1,410021,0,0
,800272,800272,1,410021,0,0
,800273,800273,1,410021,0,0
,800274,800274,1,410021,0,0
,800275,800275,2,410022,0,0
,800276,800276,2,410022,0,0
,800277,800277,2,410022,0,0
,800278,800278,2,410022,0,0
,800279,800279,2,410022,0,0
,800280,800280,2,410022,0,0
,800281,800281,2,410022,0,0
,800282,800282,2,410022,0,0
,800283,800283,2,410022,0,0
,800284,800284,2,410022,0,0
,800285,800285,2,410022,0,0
,800286,800286,2,410022,0,0
,800287,800287,3,410023,0,0
,800288,800288,3,410023,0,0
,800289,800289,3,410023,0,0
,800290,800290,3,410023,0,0
,800291,800291,3,410024,0,0
,800292,800292,3,410024,0,0
,800293,800293,1,410021,0,0
,800294,800294,1,410021,0,0
,800295,800295,1,410021,0,0
,800296,800296,1,410021,0,0
,800297,800297,1,410021,0,0
,800298,800298,1,410021,0,0
,800299,800299,1,410021,0,0
,800300,800300,1,410021,0,0
,800301,800301,1,410021,0,0
,800302,800302,2,410022,0,0
,800303,800303,2,410022,0,0
,800304,800304,2,410022,0,0
,800305,800305,2,410022,0,0
,800306,800306,2,410022,0,0
,800307,800307,2,410022,0,0
,800308,800308,2,410022,0,0
,800309,800309,2,410022,0,0
,800310,800310,2,410022,0,0
,800311,800311,2,410022,0,0
,800312,800312,2,410022,0,0
,800313,800313,2,410022,0,0
,800314,800314,3,410023,0,0
,800315,800315,3,410023,0,0
,800316,800316,3,410023,0,0
,800317,800317,3,410023,0,0
,800318,800318,3,410024,0,0
,800319,800319,3,410024,0,0
,800320,800320,1,410021,0,0
,800321,800321,1,410021,0,0
,800322,800322,1,410021,0,0
,800323,800323,1,410021,0,0
,800324,800324,1,410021,0,0
,800325,800325,1,410021,0,0
,800326,800326,1,410021,0,0
,800327,800327,1,410021,0,0
,800328,800328,1,410021,0,0
,800329,800329,2,410022,0,0
,800330,800330,2,410022,0,0
,800331,800331,2,410022,0,0
,800332,800332,2,410022,0,0
,800333,800333,2,410022,0,0
,800334,800334,2,410022,0,0
,800335,800335,2,410022,0,0
,800336,800336,2,410022,0,0
,800337,800337,2,410022,0,0
,800338,800338,2,410022,0,0
,800339,800339,2,410022,0,0
,800340,800340,2,410022,0,0
,800341,800341,3,410023,0,0
,800342,800342,3,410023,0,0
,800343,800343,3,410023,0,0
,800344,800344,3,410023,0,0
,800345,800345,3,410024,0,0
,800346,800346,3,410024,0,0
,800347,800347,1,410021,0,0
,800348,800348,1,410021,0,0
,800349,800349,1,410021,0,0
,800350,800350,1,410021,0,0
,800351,800351,1,410021,0,0
,800352,800352,1,410021,0,0
,800353,800353,1,410021,0,0
,800354,800354,1,410021,0,0
,800355,800355,1,410021,0,0
,800356,800356,2,410022,0,0
,800357,800357,2,410022,0,0
,800358,800358,2,410022,0,0
