,required,optional,optional,optional,optional,optional,optional,repeated,optional,optional,optional,repeated,optional,optional,optional,optional,optional,repeated,optional,repeated,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,skillmain_id,level,type,skill0_type,skill0_unicity,next_type,cd,affect_faction,target_rule,combos,cost_type,cost_data,use_time,count_type,count_data,status,status_start,special_effects,hp_cost,xp_cost,xp_revert,level_up,gold_require,item_require1,item_require1_num,item_require2,item_require2_num,item_require3,item_require3_num,item_require4,item_require4_num,level_require,qte
备注,流水号,name,主技能ID,技能等级,技能类型0普通技能1奥义技能,本命天赋技能类型,本命天赋技能唯一性,技能可连招类型,技能CD时间（毫秒）,"技能作用阵营0敌方,1我方,2全体不分敌我",技能目标规则0单体，1全体,技能连招队列,释放此技能需要消耗的能量类型,消耗的数量,此技能每回合可以使用的次数,需要计数的能量类型，对应status表的type_id字段,当计数达到多少时满足条件,选定技能所触发的状态,"状态生效的时机,默认0选定技能时立即起效，1技能结束时起效",特殊效果,hp需求,xp需求,xp回复,该等级技能是否可以通过升级来达到 0不可以 1可以,金币需求数量,材料需求,材料需求数量,材料需求,材料需求数量,材料需求,材料需求数量,材料需求,材料需求数量,升级所需英雄等级,表示该技能是否为qte技能
,4011,,401,1,91,101,0,0,0,0,0,,0,0,0,0,0,,0,4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4012,,401,2,91,101,0,0,0,0,0,,0,0,0,0,0,,0,4012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4013,,401,3,91,101,0,0,0,0,0,,0,0,0,0,0,,0,4013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4014,,401,4,91,101,0,0,0,0,0,,0,0,0,0,0,,0,4014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4021,,402,1,91,102,0,0,0,0,0,,0,0,0,0,0,,0,4021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4022,,402,2,91,102,0,0,0,0,0,,0,0,0,0,0,,0,4022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4023,,402,3,91,102,0,0,0,0,0,,0,0,0,0,0,,0,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4024,,402,4,91,102,0,0,0,0,0,,0,0,0,0,0,,0,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4031,,403,1,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4032,,403,2,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4033,,403,3,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4034,,403,4,91,1,0,0,0,0,0,,0,0,0,0,0,,0,4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4041,,404,1,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4042,,404,2,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4043,,404,3,91,2,0,0,0,0,0,,0,0,0,0,0,,0,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
