,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,name,percent,position,isalive,listen_actor,trigger_type,trigger_arg1,trigger_arg2,trigger_arg3,trigger_arg4,respond_actor,respond_type,respond_arg1,respond_arg2,respond_arg3,respond_arg4
备注,流水号,name,生效概率,所在位置才触发,存活状态才触发,监听触发的角色,触发事件的类型,触发事件条件参数1,触发事件条件参数2,触发事件条件参数3,触发事件条件参数4,响应事件的角色,响应事件的类型,响应事件参数1,响应事件参数2,响应事件参数3,响应事件参数4
减少受到的物理伤害70%,1011,物理屏障,10000,0,1,0,1,0,0,0,0,10,36,1,7000,0,
怪物词条,1012,物理屏障,10000,0,1,0,1,0,0,0,0,10,36,1,3000,0,
减少受到的魔法伤害70%,1021,魔能护盾,10000,0,1,0,1,0,0,0,0,10,36,2,7000,0,
,1022,魔能护盾,10000,0,1,0,1,0,0,0,0,10,36,2,3000,0,
攻击男性单位时暴击率+100%,1031,少女敌意,10000,0,1,0,1,0,0,0,0,10,99,103101,103102,0,
攻击女性单位时暴击率+100%,1041,雄性统治,10000,0,1,0,1,0,0,0,0,10,99,104101,104102,0,
反弹50%伤害给攻击方（反弹的伤害不会被二次反弹）,1051,反弹,10000,0,1,0,1,0,0,0,0,10,62,0,5000,0,
限制换人、防守技能,1061,永固沼泽,10000,1,1,0,1,0,0,0,0,10,99,106101,106102,0,
免疫任何debuff,1071,神之仲裁,10000,0,1,0,1,0,0,0,0,10,64,1,0,0,
奥义值上限降低2000,1081,惩戒,10000,1,1,0,1,0,0,0,0,40,11,60,1,2000,
英雄死亡后 怪物士气上升，攻防增加,1091,野蛮鼓舞,10000,0,1,0,1,0,0,0,0,10,99,109101,109104,0,
血量越低伤害越高,1101,狂战,10000,0,1,10,32,1,73,0,0,10,34,10000,30000,20,
攻击较高,1121,攻击特长,10000,0,1,0,1,0,0,0,0,10,99,112101,112102,0,
降低自身受到的伤害,1131,堡垒,10000,0,1,0,1,0,0,0,0,10,36,0,4000,0,
暴击和暴击伤害较高,1141,暴击专精,10000,0,1,0,1,0,0,0,0,10,99,114101,114102,114103,
格挡和格挡减伤较高,1151,铁壁,10000,0,1,0,1,0,0,0,0,10,99,115101,115102,0,
目标血越低伤害越高,1161,斩杀,10000,0,1,20,32,1,73,0,0,10,34,10000,20000,20,
目标上叠减防状态,1171,崩灭堆叠,5000,0,1,10,44,0,0,0,0,20,21,500301,1,0,
换人冷却延长,1181,救援延迟,2000,0,1,10,40,0,0,0,0,20,40,80,0,15000,
低连击免伤（技能加免伤状态，敌方使用主动技和奥义技结束后会 移除自己一层状态）,1191,免伤护盾,10000,0,1,0,1,0,0,0,0,10,99,119101,119102,0,
奥义值消耗量增加,1201,超负荷,10000,0,1,0,1,0,0,0,0,10,99,120101,120102,120103,
封奥义值技能，用状态封（奥义值多到没处用）,1211,终极沉默,2000,1,0,10,40,0,0,0,0,20,21,500401,1,0,
暴击低，一旦暴击就会叠加暴击和暴击伤害buff，体验就是暴击率越来越高，暴击伤害越来越高,1221,怒火叠击,10000,1,0,10,31,2,1,0,0,10,21,500501,1,0,
负抗300冰，正抗火100,1231,冰霜恐惧,10000,0,1,0,1,0,0,0,0,10,99,123101,123102,0,
负抗300火，正抗冰100,1241,火焰恐惧,10000,0,1,0,1,0,0,0,0,10,99,124101,124102,0,
负抗300光，正抗暗100,1251,光明恐惧,10000,0,1,0,1,0,0,0,0,10,99,125101,125102,0,
负抗300暗，正抗光100,1261,黑暗恐惧,10000,0,1,0,1,0,0,0,0,10,99,126101,126102,0,
玩家在使用自动技、主动技和奥义技能(进攻)时，且自己在场下活着，有概率自己激活换人技能,1271,救援,1000,2,1,20,40,4,0,0,0,10,80,0,0,0,
玩家在使用自动技、主动技和奥义技能(进攻)时，有概率自己激活打断技能,1281,压制,10000,2,1,20,40,4,0,0,0,10,81,0,0,0,
在条件满足时，下次出手的技能序列改为指定的技能序列，仅针对下次出手,1291,霸权,10000,2,1,20,40,4,0,0,0,10,82,0,0,0,"1,4,5"
每次攻击回复一定生命值,1301,生命偷取,10000,0,1,10,44,0,0,0,0,10,11,73,5,200,
技能会造成目标中尸毒，每次行动会损失部分生命值,1311,腐化,10000,0,1,10,44,0,0,0,0,20,21,700201,1,0,
技能会造成目标中尸毒，每次行动会损失部分生命值,1321,致命腐化,10000,0,1,10,44,0,0,0,0,20,21,700301,1,0,
技能造成流血,1331,流血,10000,0,1,10,44,0,0,0,0,20,21,700004,1,0,
任意技能有概率封印目标所有技能,1341,黑色诅咒,2000,0,1,10,44,0,0,0,0,20,21,800012,1,0,
,1643,,10000,2,1,10,1,0,0,0,0,10,62,0,50000,0,
,1644,,10000,0,0,12,50,0,0,0,0,10,99,73,164401,164402,
回血30%,2001,,10000,0,1,10,44,0,0,0,0,10,11,73,5,1000,
回血50%,2002,,10000,0,1,10,44,0,0,0,0,10,11,73,5,2000,
无法被换离场,2003,,10000,0,0,10,1,0,0,0,0,30,42,80,0,0,
技能自带吸血,3001,吸血,10000,0,1,10,44,0,0,0,0,10,11,73,5,1000,
10倍伤害,3002,,10000,0,1,0,1,0,0,0,0,10,31,0,90000,0,
技能自带吸血,3003,,10000,0,1,10,44,0,0,0,0,10,11,73,5,500,
"高攻,高暴击",3004,狂暴,10000,0,1,0,1,0,0,0,0,10,99,1121,1141,0,
,3005,贪婪变身,10000,0,0,10,50,0,0,0,0,10,201,11031,0,0,1151
boss专用（防止怪没有伤害）,3010,忽视防御,10000,0,1,0,1,0,0,0,0,10,99,301001,301002,301003,
,4011,,10000,0,1,10,1,0,0,0,0,10,11,16,0,800,
,4012,,10000,0,1,10,1,0,0,0,0,10,11,16,0,1200,
,4013,,10000,0,1,10,1,0,0,0,0,10,11,16,0,1600,
,4014,,10000,0,1,10,1,0,0,0,0,10,11,16,0,2000,
,4021,,10000,0,1,10,1,0,0,0,0,10,11,12,0,300,
,4022,,10000,0,1,10,1,0,0,0,0,10,11,12,0,400,
,4023,,10000,0,1,10,1,0,0,0,0,10,11,12,0,600,
,4024,,10000,0,1,10,1,0,0,0,0,10,11,12,0,800,
,4031,,10000,0,1,10,1,0,0,0,0,10,11,4,5,500,
,4032,,10000,0,1,10,1,0,0,0,0,10,11,4,5,700,
