,required,required,required,required
,uint32,uint32,uint32,string
,id,special_effect_id,type,data
备注,id,特殊效果id,指定类型,参数
,1,9001,2,1
,2,9007,2,2
,3,9013,2,4
,4,9019,2,5
,5,9005,2,6
,6,9006,2,1
,7,9012,2,2
,8,9018,2,4
,9,9004,2,5
,10,9010,2,6
,11,9011,2,1
,12,9017,2,2
,13,9003,2,4
,14,9009,2,5
,15,9015,2,6
,16,9016,2,1
,17,9002,2,2
,18,9008,2,4
,19,9014,2,5
,20,9020,2,6
,21,9001,2,1
,22,9007,2,2
,23,9013,2,4
,24,9019,2,5
,25,9005,2,6
,26,9006,2,1
,27,9012,2,2
,28,9018,2,4
,29,9004,2,5
,30,9010,2,6
,31,9011,2,1
,32,9017,2,2
,33,9003,2,4
,34,9009,2,5
,35,9015,2,6
,36,9016,2,1
,37,9002,2,2
,38,9008,2,4
,39,9014,2,5
,40,9020,2,6
,41,9001,2,1
,42,9007,2,2
,43,9013,2,4
,44,9019,2,5
,45,9005,2,6
,46,9006,2,1
,47,9012,2,2
,48,9018,2,4
,49,9004,2,5
,50,9010,2,6
,51,9011,2,1
,52,9017,2,2
,53,9003,2,4
,54,9009,2,5
,55,9015,2,6
,56,9016,2,1
,57,9002,2,2
,58,9008,2,4
,59,9014,2,5
,60,9020,2,6
,61,9001,2,1
,62,9007,2,2
,63,9013,2,4
,64,9019,2,5
,65,9005,2,6
,66,9006,2,1
,67,9012,2,2
,68,9018,2,4
,69,9004,2,5
,70,9010,2,6
,71,9011,2,1
,72,9017,2,2
,73,9003,2,4
,74,9009,2,5
,75,9015,2,6
,76,9016,2,1
,77,9002,2,2
,78,9008,2,4
,79,9014,2,5
,80,9020,2,6
,81,9001,2,1
,82,9007,2,2
,83,9013,2,4
,84,9019,2,5
,85,9005,2,6
,86,9006,2,1
,87,9012,2,2
,88,9018,2,4
,89,9004,2,5
,90,9010,2,6
,91,9011,2,1
,92,9017,2,2
,93,9003,2,4
,94,9009,2,5
,95,9015,2,6
,96,9016,2,1
,97,9002,2,2
,98,9008,2,4
,99,9014,2,5
,100,9020,2,6
