,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,optional,repeated,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,type_id,affect_faction,target_rule,duration,end_condition,end_data,trigger_interval,trigger_percent,ishelpful,override_id,max_superposition,clear,special_effects,parm1,parm2,parm3,attr_exp1,attr_class1,attr_value1,attr_exp2,attr_class2,attr_value2,attr_exp3,attr_class3,attr_value3
Mark,状态ID(状态来自skill.xlsx表技能状态 id规则为：技能id 后面再加2位数字),name,buff类型ID,作用阵营,状态目标,buff时间（毫秒）,结束条件0时间内有效1值消耗完2持续到本次出手完,结束参数值,触发间隔,状态触发概率,0:良性状态 1:不良状态,覆盖的类型,状态叠加的最大层数,能否清除,特殊效果,buff值,buff值2,buff值3,属性数值公式 0:Add加 1:Sub减 2:Mul乘 3:Div除 4:Set直接设 5:PercentAdd百分比加 6:PercentSub百分比减,属性类型,属性值,属性数值公式 0:Add加 1:Sub减 2:Mul乘 3:Div除 4:Set直接设 5:PercentAdd百分比加 6:PercentSub百分比减,属性类型,属性值,属性数值公式 0:Add加 1:Sub减 2:Mul乘 3:Div除 4:Set直接设 5:PercentAdd百分比加 6:PercentSub百分比减,属性类型,属性值
风沙堡变身Buff,1001,,10,1,0,0,0,0,0,10000,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
,1002,,10,1,0,0,0,0,0,10000,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
,1003,,10,1,0,0,0,0,0,10000,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
,7002,,10,1,0,0,0,0,0,10000,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
物理防御降低5%，持续10招。不可叠加。,100101,,1001,0,0,0,13,20,0,10000,1,,1,0,,0,0,0,6,4,500,0,0,0,0,0,0
下个技能伤害额外提升40%，持续1招。不可叠加。,100301,,1003,1,0,0,13,1,0,10000,0,,1,0,,0,0,0,0,31,4000,0,0,0,0,0,0
持续损失生命值，持续20招。不可叠加。,100802,裂伤,1008,0,0,0,13,20,0,10000,1,1008;1016,1,0,,1000,0,0,0,0,0,0,0,0,0,0,0
"持续损失生命值,持续5招，不可叠加",101411,腐化,1014,0,0,0,0,0,0,10000,1,,1,0,,2000,0,0,0,0,0,0,0,0,0,0,0
"持续损失生命值,持续5招，不可叠加",101412,腐化,1014,0,0,0,0,0,0,10000,1,,1,0,,3000,0,0,0,0,0,0,0,0,0,0,0
"持续损失生命值,持续5招，不可叠加",101413,腐化,1014,0,0,0,0,0,0,10000,1,,1,0,,4000,0,0,0,0,0,0,0,0,0,0,0
"持续损失生命值,持续5招，不可叠加",101414,腐化,1014,0,0,0,0,0,0,10000,1,,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
将敌方10%攻击力转化为自身的物理攻击力，上限为自身物理攻击力的20%，持续到本轮攻击结束。不可叠加。,101801,,1018,1,0,0,23,1,0,10000,0,0,1,0,,1000,2000,0,0,0,0,0,0,0,0,0,0
持续损失生命值，持续20招。不可叠加。,101901,,1019,0,0,0,13,20,0,10000,1,,1,0,,200,0,0,0,0,0,0,0,0,0,0,0
奥义值恢复量降低50%，持续5招。不可叠加。,102001,,1020,0,0,0,13,5,0,10000,1,1020,1,0,20138,0,0,0,0,0,0,0,0,0,0,0,0
攻击力降低5%，持续到本轮攻击结束。不可叠加。,102101,虚弱,1021,0,0,0,23,1,0,10000,1,1021,1,0,,0,0,0,6,2,1500,6,3,1500,0,0,0
