,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,data1,data2,data3,itemtype_ID1,itemtype_num1,itemtype_ID2,itemtype_num2,itemtype_ID3,itemtype_num3,itemtype_ID4,itemtype_num4
备注,流水ID,活动类型,表示奖励的参数,表示奖励的参数,表示奖励的参数,奖励物品1ID,奖励物品1数量,奖励物品2ID,奖励物品2数量,奖励物品3ID,奖励物品3数量,奖励物品4ID,奖励物品4数量
,256,4,10019,666,0,8000305,1,0,0,0,0,0,0
,257,4,10020,666,0,8000315,1,0,0,0,0,0,0
,10008,7,0,1,50,120012,2,3,20000,12,100,0,0
,10009,7,0,2,100,410023,1,210000,5,12,150,0,0
,10010,7,0,3,150,410024,1,6003003,2,12,200,0,0
,10011,7,0,4,200,1,500,3030013,2,120012,5,12,300
,10318,3,11,0,0,120023,1,15,500,3030013,2,0,0
,10319,3,12,0,0,120023,1,15,500,3060030,3,0,0
,10320,3,13,0,0,120023,1,15,500,31,150,0,0
,10321,3,14,0,0,120023,1,15,500,2000074,1,0,0
,10322,3,15,0,0,120023,3,15,500,1,1000,0,0
,10323,3,21,0,0,120023,1,15,500,3030013,2,0,0
,10324,3,22,0,0,120023,1,15,500,3060030,3,0,0
,10325,3,23,0,0,120023,1,15,500,31,150,0,0
,10326,9,0,53,54,1,1000,15,1500,0,0,0,0
,10327,9,0,52,53,1,900,15,1400,0,0,0,0
,10328,9,0,51,52,1,800,15,1300,0,0,0,0
,10329,9,0,43,51,1,700,15,1200,0,0,0,0
,10330,9,0,42,43,1,600,15,1100,0,0,0,0
,10331,9,0,41,42,1,500,15,1050,0,0,0,0
,10332,9,0,32,41,1,450,15,1000,0,0,0,0
,10333,9,0,31,32,1,400,15,950,0,0,0,0
,10334,9,0,22,31,1,350,15,900,0,0,0,0
,10335,9,0,21,22,1,300,15,850,0,0,0,0
,10336,9,0,11,21,1,250,15,800,0,0,0,0
,10337,9,0,0,11,1,200,15,750,0,0,0,0
,10338,3,24,0,0,120023,1,15,500,2000074,1,0,0
,10339,3,25,0,0,120023,3,15,500,1,1000,0,0
,10340,3,31,0,0,120023,1,15,500,3030013,2,0,0
,10341,3,32,0,0,120023,1,15,500,3060030,3,0,0
,10342,3,33,0,0,120023,1,15,500,31,150,0,0
,10343,3,34,0,0,120023,1,15,500,2000074,1,0,0
,10344,3,35,0,0,120023,3,15,500,1,1000,0,0
,10345,3,41,0,0,120023,1,15,500,3030013,2,0,0
,10346,3,42,0,0,120023,1,15,500,3060030,3,0,0
,10347,3,43,0,0,120023,1,15,500,31,150,0,0
,10348,3,44,0,0,120023,1,15,500,2000074,1,0,0
,10349,3,45,0,0,120023,3,15,500,1,1000,0,0
,10350,3,51,0,0,120023,1,15,500,3030013,2,0,0
,10351,3,52,0,0,120023,1,15,500,3060030,3,0,0
,10352,3,53,0,0,120023,1,15,500,31,150,0,0
,10353,3,54,0,0,120023,1,15,500,2000074,1,0,0
,10354,3,55,0,0,120023,3,15,500,1,1000,0,0
,10355,3,61,0,0,120023,1,15,500,3030013,2,0,0
,10356,3,62,0,0,120023,1,15,500,3060030,3,0,0
,10357,3,63,0,0,120023,1,15,500,31,150,0,0
,10358,3,64,0,0,120023,1,15,500,2000074,1,0,0
,10359,3,65,0,0,120023,3,15,500,1,1000,0,0
