,required,required,required,optional,required,optional,optional
,int32,int32,string,int32,int32,string,int32
,id,type,Task,level,functionId,Path,guide
备注,系统功能ID,系统功能类型,解锁需要完成的所有任务ID,解锁任务对应的等级,对应主界面功能图标表ID,对应图标路径,引导Id
羁绊,2,2,10216,14,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
英雄升级,3,2,10108、10107、10110、10111、10266,8,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,105
英雄突破,4,3,10133,11,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,305
装备强化,5,2,10130,10,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,108
符文镶嵌,9,2,10160,15,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,303
符文升级,10,3,10160,15,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
本命助力,11,2,-1、10677,9,2,Textures\Atlas\Dyn\UnlockIcon\iconChongWu.png,0
装备进阶,6,2,10144,12,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,112
装备升星,7,3,10130,10,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
技能升级,8,3,10248,31,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
本命升级,12,3,10677,9,2,Textures\Atlas\Dyn\UnlockIcon\iconChongWu.png,109
本命升星,13,3,-1、10677,9,2,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
速递,14,2,10132,11,8,Textures\Atlas\Dyn\UnlockIcon\iconZhanBu.png,111
编队,16,2,10112,8,4,Textures\Atlas\Dyn\UnlockIcon\icon_team.png,106
公会,17,2,10428,17,7,Textures\Atlas\Dyn\UnlockIcon\iconGongHui.png,0
帝国红蓝特典,19,2,10185,25,3,Textures\Atlas\Dyn\UnlockIcon\iconJingJi.png,0
改名,20,3,-1、10223,9,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
好友,21,2,10223,9,0,Textures\Atlas\Dyn\UnlockIcon\icon_friend.png,0
好友宝箱,22,2,,10,13,Textures\Atlas\Dyn\UnlockIcon\iconBaoXiang.png,0
商城,23,3,10132,11,10,Textures\Atlas\Dyn\UnlockIcon\iconShangCheng.png,0
讨伐领主,24,2,,17,9,Textures\Atlas\Dyn\UnlockIcon\iconTaoFaLingZhu.png,0
多人副本,25,2,,21,14,Textures\Atlas\Dyn\UnlockIcon\icon_activity_02.png,0
自律联盟,26,3,,13,12,Textures\Atlas\Dyn\UnlockIcon\iconDailyAct.png,0
每日副本,27,3,,13,12,Textures\Atlas\Dyn\UnlockIcon\iconDailyAct.png,0
温丽的梦境,28,3,,21,12,Textures\Atlas\Dyn\UnlockIcon\iconDailyAct.png,0
每日课程,29,3,10270,13,0,Textures\Atlas\Dyn\UnlockIcon\iconDailyAct.png,0
问卷1,30,3,,0,17,Textures\Atlas\Dyn\UnlockIcon\icon_questionnaire.png,0
问卷2,31,3,,0,18,Textures\Atlas\Dyn\UnlockIcon\icon_questionnaire.png,0
危机黯月城,32,3,,28,14,Textures\Atlas\Dyn\UnlockIcon\icon_activity_02.png,0
佣兵考核,33,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
战技研习,34,2,10126,10,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
英雄特训,35,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
福利,36,2,10100,4,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
风迹速递,37,3,,22,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
秘境探索,38,2,,13,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,128
王牌通缉,39,3,,23,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
战力显示,40,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
奥兹家族,41,2,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
魔法议会,42,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
奇迹学院,43,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
密林国度,44,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
圣界活动,45,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
英豪领域,46,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
冒险方略,47,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
新插入的CBT1版本问卷,48,3,,0,0,Textures\Atlas\Dyn\UnlockIcon\icon_questionnaire.png,0
勇者商店,52,3,,0,0,,0
,53,2,,23,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
,54,2,,21,12,Textures\Atlas\Dyn\UnlockIcon\iconDailyAct.png,0
,55,2,,0,0,,0
,56,2,,0,0,,0
