,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,type,times,limit_tag,recover_time,refresh_time,type_desc
备注,流水号,次数类型,次数类型上限,是否购买可超过上限0不可1可,次数回复时间（分钟）0不可恢复,刷新时间,描述
副本次数上限,1,1,999,0,0,5,单人本挑战次数每天5点刷新
佣兵刷新次数,2,2,1,0,0,5,委托任务刷新次数每天5点刷新
佣兵任务次数,3,3,3,0,0,5,委托任务完成次数每天5点刷新
佣兵日常任务数,4,4,200,0,0,5,日常任务完成次数每天5点刷新
多人副本3,5,5,2,0,0,5,多人副本挑战次数每天5点刷新
跑腿任务次数上限,6,6,1,0,0,5,跑腿任务完成次数每天5点刷新
巡查任务次数上限,7,7,2,0,0,5,巡查任务完成次数每天5点刷新
军团捐献次数上限,8,8,20,0,0,5,军团捐献次数每天5点刷新
竞技场挑战次数,9,9,5,0,0,5,竞技场挑战次数每天5点刷新
骑士考核挑战次数,10,10,5,0,60,5,骑士考核挑战次数每天5点刷新
骑士考核的刷新次数,11,11,5,0,0,5,骑士考核的刷新次数每天5点刷新
军团悬赏次数,12,12,2,0,0,5,军团悬赏次数每天5点刷新
多人副本奖励上限,13,13,2,0,0,5,多人副本奖励次数每天5点刷新
军团红包每日开启上限,14,14,20,0,0,5,军团红包每日开启次数每天5点刷新
分享BOSS可讨伐次数,15,15,15,1,60,5,分享BOSS购买次数每天5点刷新
金钱试炼场（金钱副本）,18,18,1,0,0,5,每日金钱副本挑战次数每天5点刷新
羁绊试炼场（材料副本）,19,19,1,0,0,5,每日材料副本挑战次数每天5点刷新
神锋试炼场（经验副本）,20,20,1,0,0,5,每日经验副本挑战次数每天5点刷新
温丽梦境,21,21,5,0,0,5,温丽梦境挑战次数每天5点刷新
剧情副本次数,22,22,1,0,0,5,剧情副本（哀嚎神殿）次数每天5点刷新
剧情副本次数,23,23,1,0,0,5,剧情副本（不冬岛铁矿）次数每天5点刷新
剧情副本次数,24,24,1,0,0,5,剧情副本（玫瑰团驻地）次数每天5点刷新
剧情副本次数,25,25,1,0,0,5,剧情副本（凋零之地）次数每天5点刷新
剧情副本次数,26,26,1,0,0,5,剧情副本（哥布林巢穴）次数每天5点刷新
剧情副本次数,27,27,1,0,0,5,剧情副本（风沙堡）次数每天5点刷新
剧情副本次数,28,28,1,0,0,5,剧情副本（荒原古堡）次数每天5点刷新
剧情副本次数,29,29,1,0,0,5,剧情副本（饿狼巢穴）次数每天5点刷新
剧情副本次数,30,30,1,0,0,5,剧情副本（雷克兽巢穴）次数每天5点刷新
剧情副本次数,31,31,1,0,0,5,剧情副本（雷克兽巢穴）次数每天5点刷新
剧情副本次数,32,32,1,0,0,5,剧情副本（雷克兽巢穴）次数每天5点刷新
剧情副本次数,33,33,1,0,0,5,剧情副本（露西蒂尼之墓）次数每天5点刷新
剧情副本次数,34,34,1,0,0,5,剧情副本（魔族之心）次数每天5点刷新
剧情副本次数,35,35,1,0,0,5,剧情副本（沙海虫巢）次数每天5点刷新
剧情副本次数,36,36,1,0,0,5,剧情副本（树心街）次数每天5点刷新
剧情副本次数,37,37,1,0,0,5,剧情副本（枭鹰巢穴）次数每天5点刷新
剧情副本次数,38,38,1,0,0,5,剧情副本（银母矿洞）次数每天5点刷新
剧情副本次数,39,39,1,0,0,5,剧情副本（诡异的左相府）次数每天5点刷新
3D版本解谜,40,40,1,0,0,5,剧情副本（3D版本解谜）次数每天5点刷新
神迹实验室,41,41,1,0,0,5,剧情副本（神迹实验室）次数每天5点刷新
命案现场,42,42,1,0,0,5,剧情副本（命案现场）次数每天5点刷新
黄金立方剧情副本,44,44,1,0,0,5,剧情副本（黄金立方）次数每天5点刷新
黑龙战舰副本次数,45,45,1,0,0,5,剧情副本（黑龙战舰）次数每天5点刷新
解谜博士的家,46,46,1,0,0,5,剧情副本（解谜博士的家）次数每天5点刷新
深海实验室,47,47,1,0,0,5,剧情副本（深海实验室）次数每天5点刷新
失事飞船次数,48,48,1,0,0,5,剧情副本（失事飞船）次数每天5点刷新
,49,49,0,1,0,5,速递商店刷新次数每天5点刷新
,51,51,2,0,0,5,王牌通缉刷新次数每天5点刷新
,57,57,1,0,0,5,黄金怪副本次数每天5点刷新
,59,59,1,0,0,5,黄金怪盗前置副本次数每天5点刷新
,60,60,999,0,0,5,体力系统购买次数每天5点刷新
,61,61,0,1,0,5,公会商店刷新次数每天5点刷新
,62,62,0,1,0,5,梦境商店刷新次数每天5点刷新
,63,63,1,0,0,5,14日循环活动目标刷新次数每天5点刷新
,64,64,0,0,0,5,好感度上限重置时间每天5点刷新
,66,66,50,0,0,5,抽卡版署每日限制次数每天5点刷新
,67,67,1,0,0,5,每日课程每天5点刷新
