,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3160001,,3160,1,40368,0,1,0,0,0,0,0,"-139.00,-21.25,6.151",-130,1
,3160002,,3160,1,40368,0,1,0,0,0,0,0,"-203.10,-21.16,-23.1",180,1
,3160003,,3160,1,40368,0,1,0,0,0,0,0,"-228.65,-21.16,8.358",180,1
,3160004,,3160,1,40368,0,1,0,0,0,0,0,"-230.70,-21.16,52.81",180,1
,3160005,,3160,1,40368,0,1,0,0,0,0,0,"-235.70,-12.66,97.61",180,1
,3160006,,3160,1,40368,0,1,0,0,0,0,0,"-264.40,-21.16,-24.8",180,1
,3160007,,3160,1,40368,0,1,0,0,0,0,0,"-313.60,-21.16,11.14",90,1
,3160008,,3160,1,40368,0,1,0,0,0,0,0,"-295.10,-21.16,41.81",-90,1
,3160009,,3160,1,40369,0,1,0,0,0,0,0,"-234.50,-21.16,-63.8",0,1
,3160010,,3160,1,40369,0,1,0,0,0,0,0,"-299.90,-21.16,85.05",180,1
,3160011,,3160,1,40370,0,1,0,0,0,0,0,"-233.50,-21.16,-30.6",0,1
,3160012,,3160,2,200852,0,1,1,0,0,0,0,,0,1
,3160013,,3160,2,200853,0,1,1,0,0,0,0,,0,1
,3160014,,3160,2,200854,0,1,1,0,0,0,0,,0,1
,3160015,,3160,2,200855,0,1,1,0,0,0,0,,0,1
,3160016,,3160,2,200856,0,1,1,0,0,0,0,,0,1
,3160017,,3160,2,200857,0,1,1,0,0,0,0,,0,1
,3160018,,3160,1,60504,0,1,0,0,0,0,0,"-137.10,-21.25,-11.89",-0,1
,3160019,,3160,1,60504,0,1,0,0,0,0,0,"-162.80,-21.16,8.4787",-0,1
,3160020,,3160,1,60504,0,1,0,0,0,0,0,"-173.60,-21.16,-17.71",-0,1
,3160021,,3160,1,60504,0,1,0,0,0,0,0,"-214.70,-21.16,-26.81",-0,1
,3160022,,3160,1,60504,0,1,0,0,0,0,0,"-241.50,-21.16,4.5028",-0,1
,3160023,,3160,1,60504,0,1,0,0,0,0,0,"-305.60,-21.16,-29.06",-0,1
,3160024,,3160,1,60504,0,1,0,0,0,0,0,"-297.00,-21.16,-3.351",-0,1
,3160025,,3160,1,60504,0,1,0,0,0,0,0,"-312.30,-21.16,50.603",-0,1
,3160026,,3160,4,1147,0,1,0,0,0,0,0,"-164.14,-21.16,-28.01",0,1
,3160027,,3160,4,1148,0,1,0,0,0,0,0,"-170.40,-21.16,-3.451",0,1
,3160028,,3160,4,1148,0,1,0,0,0,0,0,"-221.90,-21.16,-28.75",0,1
,3160029,,3160,4,1148,0,1,0,0,0,0,0,"-234.50,-21.16,-16.73",90,1
,3160030,,3160,4,1148,0,1,0,0,0,0,0,"-247.22,-21.16,-29.34",0,1
,3160031,,3160,4,1148,0,1,0,0,0,0,0,"-234.50,-21.16,-42.71",90,1
,3160032,,3160,4,1148,0,1,0,0,0,0,0,"-236.20,-12.98,75.851",90,1
,3160033,,3160,4,1148,0,1,0,0,0,0,0,"-303.30,-21.16,21.786",90,1
,3160034,,3160,4,1148,0,1,0,0,0,0,0,"-303.20,-21.16,67.061",90,1
,3160035,,3160,4,1149,0,1,0,0,0,0,0,"-236.10,-21.16,48.221",0,1
,3160036,,3160,4,1149,0,1,0,0,0,0,0,"-179.00,-21.16,4.4501",0,1
,3160037,,3160,4,1149,0,1,0,0,0,0,0,"-295.20,-21.16,52.321",0,1
,3160038,,3160,4,1149,0,1,0,0,0,0,0,"-199.90,-21.16,-33.21",0,1
,3160039,,3160,4,1150,0,1,0,0,0,0,0,"-311.03,-21.16,11.421",0,1
,3160040,,3160,4,1150,0,1,0,0,0,0,0,"-158.80,-21.16,-28.61",0,1
,3160041,,3160,4,1150,0,1,0,0,0,0,0,"-306.80,-21.16,61.799",0,1
,3160042,,3160,4,1150,0,1,0,0,0,0,0,"-242.10,-12.66,90.671",0,1
,3160043,,3160,4,1150,0,1,0,0,0,0,0,"-307.70,-21.16,78.464",0,1
,3160044,,3160,4,1150,0,1,0,0,0,0,0,"-168.40,-21.18,-31.73",0,1
,3160045,,3160,4,1151,0,1,0,0,0,0,0,"-266.40,-21.16,-35.77",0,1
,3160046,,3160,4,1151,0,1,0,0,0,0,0,"-240.70,-21.16,-59.91",0,1
,3160047,,3160,4,1151,0,1,0,0,0,0,0,"-312.00,-21.16,38.021",0,1
,3160048,,3160,4,1151,0,1,0,0,0,0,0,"-239.60,-21.16,-0.511",0,1
,3160049,,3160,4,1151,0,1,0,0,0,0,0,"-225.60,-21.16,-20.05",0,1
,3160050,,3160,4,1151,0,1,0,0,0,0,0,"-230.10,-12.66,90.671",0,1
