,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,713801,,终于进来这个破地方了。宝藏，我来了！,,,,
,713901,,这里一直在汇聚死灵之气，气息太过浓厚了，没有办法强行突破。为了安全，我们还是绕路走吧。,,,,
,714001,,这是魔族之前遗留下的法阵。根据我之前看过的文献，颜色相同的法阵是可以相互传送的。,,,,
,714101,,这是什么怪物！？真是扫了我寻宝的兴致，看我一拳打爆你。,,,,
,714201,魔魂之仆,无知的人类，不准打扰魔族战士的灵魂！魔神大人的伟业终将会实现！,,,,
,714301,怨魔之灵,嗷……嗷呜呜呜呜！,,,,
,714401,毒戾法师,就像那群愚蠢的泰坦一样，败在我的手下吧！一同成为魔神大人征服森林的献祭品吧！,,,,
,714501,赤血魔魂,放开你的手！魔族战士的宝物，象征着荣耀与功勋！卑贱的人类没有资格触碰！,,,,
,714601,泰坦战士,是谁！又来侵犯森林的和平！泰坦一族就算战斗到最后一人，也要保护森林的宁静！,,,,
,714701,,（已经找到全部宝物了，现在可以离开这里了。）,,,,
,721101,,入口随时会被风沙掩盖，离开后将无法再度进入。,我要离开。,再找找其他宝物。,,
,721301,毒戾法师,不，我怎么可能输掉！我可是魔族中首屈一指的法师，要不是……要不是那群泰坦，我怎么可能被困在这里！,,,,
,721401,赤血魔魂,我的宝物！我好不容易掠夺来的宝物，怎么能就这样落入人类的手中！,,,,
,721501,泰坦战士,啊，你们的身上有亲切的精灵气息。原来如此，看来我们泰坦一族成功守护了古加尼尔啊……,,,,
