,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,713801,,地底竟然会有这样建筑空间，看来这就是我们要找的地方了。不过，这四处都弥漫着死灵之气，前进的时候还是小心一些吧。,,,,
,713901,,这里一直在汇聚死灵之气，气息太过浓厚了，没有办法强行突破。为了安全，我们还是绕路走吧。,,,,
,714001,,这是魔族之前遗留下的法阵。根据我之前看过的文献，颜色相同的法阵是可以相互传送的。,,,,
,714101,,（宝箱突然化身为可怕的魔物，向西蒙他们扑来）,,,,
,714102,,这是什么怪物！？真是扫了我寻宝的兴致，看我一拳打爆你。,,,,
,714201,魔魂之仆,被封印了这么多年了，终于又遇到人类了！就让你的灵魂成为高贵魔族的养料吧！,,,,
,714301,怨魔之灵,嗷……嗷呜呜呜呜！,,,,
,714401,毒戾法师,真是好久没有见到人类了！就让你的灵魂成为魔神大人征服森林的献祭品吧！,,,,
,714501,赤血魔魂,许久没有闻到这样美味灵魂的气息了……人类！你能被魔族吞噬灵魂，是你的荣幸！,,,,
,714601,泰坦战士,是谁！又来侵犯森林的和平！你么这些可恶的魔族，接受神的制裁吧！,,,,
,714602,,这个大块头已经神志不清，就让我这个未来帝国第一剑士把你打醒吧！,,,,
,714701,,（已经找到全部宝物了，现在可以离开这里了。）,,,,
,721101,,入口随时会被风沙掩盖，离开后将无法再度进入。,我要离开。,再找找其他宝物。,,
,721301,毒戾法师,不，我怎么可能输掉！我可是魔族中首屈一指的法师，要不是……要不是那群泰坦，我怎么可能被困在这里！,,,,
,721401,赤血魔魂,我好不容易掠夺来的宝物，怎么能就这样落入你们的手中！人类，放开你们的脏手！,,,,
,721501,泰坦战士,啊，你们的身上有亲切的精灵气息。原来如此，你们是精灵的援军啊，看来我们泰坦一族成功守护了古加尼尔……,,,,
,721502,,为了自己的信念，守候了这么久。泰坦一族的勇士真是令人钦佩。,,,,
