,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1355301,13553,1,301,-1,0,-1,0,301,0,0,1
,1355401,13554,1,301,301,0,-1,0,-1,0,0,1
,1355402,13554,2,3005,301,0,-1,0,3005,0,0,1
,1355403,13554,3,201,201,0,-1,0,3005,0,0,1
,1355404,13554,4,3005,201,0,-1,0,3005,0,0,1
,1355405,13554,5,3005,201,0,-1,0,3005,0,0,1
,1355406,13554,6,201,201,100205,-1,0,3005,0,0,1
,1355407,13554,7,101,101,0,-1,0,3005,0,0,1
,1355408,13554,8,3005,101,0,-1,0,3005,0,0,1
,1355409,13554,9,101,101,0,-1,0,3005,0,0,1
,1355410,13554,10,3005,101,0,-1,0,3005,0,0,1
,1355411,13554,11,3005,101,0,-1,0,3005,0,0,1
,1355412,13554,12,301,301,0,-1,0,3005,0,0,1
,1355501,13555,1,101,101,0,-1,0,-1,0,0,1
,1355502,13555,2,301,101,0,-1,0,301,0,0,1
,1355601,13556,1,201,201,0,-1,0,-1,0,0,1
,1355602,13556,2,3985,201,0,-1,0,3985,0,0,1
,1355603,13556,3,201,201,0,-1,0,3985,0,0,1
,1355604,13556,4,3985,201,0,-1,0,3985,0,0,1
,1355605,13556,5,201,201,0,-1,0,3985,0,0,1
,1355701,13557,1,301,301,0,-1,0,-1,0,0,1
,1355702,13557,2,201,301,0,-1,0,201,100205,0,1
,1355703,13557,3,101,301,0,-1,0,101,0,0,1
,1355704,13557,4,301,301,0,-1,0,101,0,0,1
,1355801,13558,1,9999,-1,0,-1,0,9999,283001,0,1
,1355802,13558,2,4239,4239,0,-1,0,9999,283001,0,1
,1355803,13558,3,9999,4239,0,-1,0,9999,283001,0,1
,1355804,13558,4,4239,4239,0,-1,0,9999,283001,0,1
,1355901,13559,1,9999,-1,0,-1,0,9999,283001,0,1
,1355902,13559,2,301,301,100308,-1,0,-1,0,0,1
,1355903,13559,3,4239,301,100308,-1,0,4239,0,0,1
,1355904,13559,4,301,301,100308,-1,0,4239,0,0,1
,1355905,13559,5,4239,301,100308,-1,0,4239,0,0,1
,1355906,13559,6,101,101,100115,-1,0,4239,0,0,1
,1355907,13559,7,4239,101,100115,-1,0,4239,0,0,1
,1355908,13559,8,201,201,100205,-1,0,4239,0,0,1
,1355909,13559,9,4239,201,100205,-1,0,4239,0,0,1
,1355910,13559,10,4239,201,100205,-1,0,4239,0,0,1
,1355911,13559,11,201,201,100205,-1,0,4239,0,0,1
,1355912,13559,12,4239,201,100205,-1,0,4239,0,0,1
,1355913,13559,13,301,301,0,-1,0,4239,0,0,1
,1355914,13559,14,4239,301,0,-1,0,4239,0,0,1
,1355915,13559,15,301,301,0,-1,0,4239,0,0,1
,1355916,13559,16,4239,301,0,-1,0,4239,0,0,1
,1355917,13559,17,301,301,0,-1,0,4239,0,0,1
,1355918,13559,18,4239,301,0,-1,0,4239,0,0,1
,1355919,13559,19,301,301,0,-1,0,4239,0,0,1
,1356001,13560,1,-1,-1,0,-1,0,-1,0,0,1
,1356002,13560,2,3005,-1,0,-1,0,3005,0,0,1
,1356003,13560,3,201,201,100205,-1,0,3005,0,0,1
,1356004,13560,4,3005,201,100205,-1,0,3005,0,0,1
,1356005,13560,5,101,101,100111,-1,0,3005,0,0,1
,1356006,13560,6,301,301,0,-1,0,3005,0,0,1
,1356007,13560,7,3005,301,0,-1,0,3005,0,0,1
,1356008,13560,8,3005,301,0,-1,0,3005,0,0,1
,1356009,13560,9,3005,301,0,-1,0,3005,0,0,1
,1358801,13588,1,-1,-1,0,-1,0,-1,0,0,1
,1358802,13588,2,3005,-1,0,-1,0,3005,0,0,1
,1358803,13588,3,3005,-1,0,-1,0,3005,0,0,1
,1358804,13588,4,3005,-1,0,-1,0,3005,0,0,1
,1358901,13589,1,-1,-1,0,-1,0,-1,0,0,1
,1359101,13591,1,101,101,100102,-1,0,-1,0,0,1
,1359102,13591,2,9999,101,100102,-1,0,9999,283001,0,1
,1359103,13591,3,201,201,100207,-1,0,9999,283001,0,1
,1359104,13591,4,9999,201,100207,-1,0,9999,283001,0,1
,1359105,13591,5,301,301,100308,-1,0,9999,283001,0,1
,1359201,13592,1,-1,-1,0,-1,0,-1,0,0,1
